CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
NAP,Milão,Itália,2023,2,19.33,29.665128205128205,26.67,2023-04-17 14:14:48
NAP,Palma de Maiorca,Espanha,2023,2,20.22,33.005,28.22,2023-04-17 14:14:48
NAP,Trieste,Itália,2023,3,20.25,75.42640625,60.63,2023-04-17 14:14:48
NAP,Catânia,Itália,2023,5,21.06,35.82344155844156,33.06,2023-04-17 14:14:48
NAP,Catânia,Itália,2023,2,21.14,30.512500000000003,26.67,2023-04-17 14:14:48
NAP,Veneza,Itália,2023,6,22.87,53.55714285714286,45.14,2023-04-17 14:14:48
NAP,Luqa,Malta,2023,2,23.91,51.77870967741936,48.74,2023-04-17 14:14:48
NAP,Algueiro,Itália,2023,3,24.66,117.81700000000001,72.935,2023-04-17 14:14:48
NAP,Trieste,Itália,2023,5,24.69,55.47724637681159,50.4,2023-04-17 14:14:48
NAP,Milão,Itália,2023,3,24.76,34.232166666666664,32.92,2023-04-17 14:14:48
NAP,Trieste,Itália,2023,2,24.78,138.91923076923075,130.65,2023-04-17 14:14:48
NAP,Veneza,Itália,2023,2,24.82,34.526666666666664,34.97,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,3,24.83,43.58716049382716,33.19,2023-04-17 14:14:48
NAP,Catânia,Itália,2023,3,24.84,38.76534090909091,31.765,2023-04-17 14:14:48
NAP,Londres,Reino Unido,2023,2,25.74,40.160000000000004,39.115,2023-04-17 14:14:48
NAP,Verona,Itália,2023,3,26.07,110.81703703703704,42.05,2023-04-17 14:14:48
NAP,Veneza,Itália,2023,5,26.16,35.95235294117647,30.84,2023-04-17 14:14:48
NAP,Luqa,Malta,2023,4,26.19,44.12171052631579,42.88,2023-04-17 14:14:48
NAP,Veneza,Itália,2023,3,26.27,46.60183908045977,40.47,2023-04-17 14:14:48
NAP,Turim,Itália,2023,3,26.44,45.475,34.855000000000004,2023-04-17 14:14:48
NAP,Turim,Itália,2023,4,26.52,53.79547619047619,47.96,2023-04-17 14:14:48
NAP,Turim,Itália,2023,2,26.62,36.17769230769231,27.155,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,2,26.66,33.67315789473684,34.88,2023-04-17 14:14:48
NAP,Catânia,Itália,2023,4,27.06,61.239210526315794,40.45,2023-04-17 14:14:48
NAP,Veneza,Itália,2023,4,27.06,38.3089010989011,30.79,2023-04-17 14:14:48
NAP,Cagliari,Itália,2023,5,27.44,40.123513513513515,36.785,2023-04-17 14:14:48
NAP,Verona,Itália,2023,2,28.49,58.52060606060606,58.36,2023-04-17 14:14:48
NAP,Bérgamo,Itália,2023,2,28.53,39.81636363636364,34.05,2023-04-17 14:14:48
NAP,Milão,Itália,2023,5,28.6,34.59344827586207,34.14,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,4,28.71,42.5210294117647,44.395,2023-04-17 14:14:48
NAP,Milão,Itália,2023,4,28.87,43.23307692307692,38.56,2023-04-17 14:14:48
NAP,Londres,Reino Unido,2023,3,29.0,47.23517985611511,40.47,2023-04-17 14:14:48
NAP,Trapani,Itália,2023,5,29.01,64.24798387096774,67.43,2023-04-17 14:14:48
NAP,Olbia,Itália,2023,7,29.74,82.75829787234042,52.57,2023-04-17 14:14:48
NAP,Pantelária,Itália,2023,5,29.74,84.56,48.58,2023-04-17 14:14:48
NAP,Olbia,Itália,2023,6,30.08,58.69,48.72,2023-04-17 14:14:48
NAP,Turim,Itália,2023,5,30.21,43.25567164179105,38.51,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,6,30.27,49.391627906976744,47.06,2023-04-17 14:14:48
NAP,Génova,Itália,2023,3,30.33,75.39236363636364,70.13,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,5,30.48,42.8204,40.480000000000004,2023-04-17 14:14:48
NAP,Palermo,Itália,2023,7,30.62,46.37130434782608,45.2,2023-04-17 14:14:48
NAP,Cagliari,Itália,2023,4,30.73,63.55308823529411,59.0,2023-04-17 14:14:48
NAP,Palma de Maiorca,Espanha,2023,3,31.18,51.459315068493154,40.18,2023-04-17 14:14:48
