CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
NAP,Bergen,Noruega,2023,6,174.68,312.18,312.18,2023-03-31 02:35:57
NAP,Phuket,Tailândia,2023,6,808.11,1044.91,1060.71,2023-03-31 02:35:57
NAP,Bordéus,França,2023,7,128.71,159.64714285714285,171.18,2023-03-31 02:35:57
NAP,Lamezia Terme,Itália,2023,9,117.68,173.14399999999998,170.03,2023-03-31 02:35:57
NAP,Marsa Alam,Egito,2023,4,328.21,526.9473333333334,540.48,2023-03-31 02:35:57
NAP,Mumbai,Índia,2023,4,425.66,746.5865384615385,685.7,2023-03-31 02:35:57
NAP,Fes,Marrocos,2023,4,132.39,219.8711111111111,200.59,2023-03-31 02:35:57
NAP,Verona,Itália,2023,5,35.86,59.341875,56.370000000000005,2023-03-31 02:35:57
NAP,Berlim,Alemanha,2023,5,87.34,132.9053846153846,108.74,2023-03-31 02:35:57
NAP,Zurique,Suíça,2023,7,60.68,82.32083333333334,73.87,2023-03-31 02:35:57
NAP,Bilbau,Espanha,2023,9,127.79,175.99666666666667,199.89,2023-03-31 02:35:57
NAP,Escíato,Grécia,2023,6,48.73,111.77428571428571,86.535,2023-03-31 02:35:57
NAP,Frankfurt,Alemanha,2023,10,173.76,174.33,174.33,2023-03-31 02:35:57
NAP,Condado de Derry,Reino Unido,2023,4,161.81,162.435,162.435,2023-03-31 02:35:57
NAP,Madrid,Espanha,2023,9,85.5,117.06222222222222,117.09,2023-03-31 02:35:57
NAP,Mascate,Omã,2023,4,288.68,984.8826666666666,641.86,2023-03-31 02:35:57
NAP,Carachi,Paquistão,2023,4,482.66,484.525,484.525,2023-03-31 02:35:57
NAP,León,Espanha,2023,6,399.92,401.3833333333334,401.22,2023-03-31 02:35:57
NAP,Karlsruhe,Alemanha,2023,7,79.99,149.25,80.35,2023-03-31 02:35:57
NAP,Hamilton,Bermudas,2023,4,877.06,879.91,879.91,2023-03-31 02:35:57
NAP,Dusseldorf,Alemanha,2023,10,141.58,165.2475,142.04,2023-03-31 02:35:57
NAP,São Francisco,Estados Unidos,2023,6,557.13,687.6575,761.6949999999999,2023-03-31 02:35:57
NAP,Bishkek,Quirguizistão,2023,9,741.92,744.7850000000001,744.7850000000001,2023-03-31 02:35:57
NAP,Fortaleza,Brasil,2024,2,723.53,725.88,725.88,2023-03-31 02:35:57
NAP,San José,Costa Rica,2023,4,714.34,757.4394736842105,747.08,2023-03-31 02:35:57
NAP,Fukuoka,Japão,2023,4,1401.09,1405.64,1405.64,2023-03-31 02:35:57
NAP,Rijeka,Croácia,2023,6,246.39,251.587,247.49,2023-03-31 02:35:57
NAP,Hanói,Vietname,2023,4,1010.37,1026.0381818181818,1014.89,2023-03-31 02:35:57
NAP,Hermópolis,Grécia,2023,8,412.79,414.97272727272724,414.64,2023-03-31 02:35:57
NAP,Insbruque,Áustria,2023,7,175.6,176.214,176.17,2023-03-31 02:35:57
NAP,Kralendijk,Países Baixos Caribenhos,2023,7,1543.59,1551.158,1550.49,2023-03-31 02:35:57
NAP,Angeles City,Filipinas,2023,4,1217.22,1221.92,1221.92,2023-03-31 02:35:57
NAP,Singapura,Singapura,2023,12,1146.43,1150.15,1150.15,2023-03-31 02:35:57
NAP,Natal,Brasil,2024,2,856.84,859.62,859.62,2023-03-31 02:35:57
NAP,Pequim,China,2023,5,952.45,977.9950000000001,980.0450000000001,2023-03-31 02:35:57
NAP,Banjul,Gâmbia,2023,6,628.84,631.034,630.88,2023-03-31 02:35:57
NAP,Nottingham,Reino Unido,2023,9,157.21,157.72,157.72,2023-03-31 02:35:57
NAP,Calama,Chile,2023,5,1125.29,1129.63,1129.63,2023-03-31 02:35:57
NAP,Antofagasta,Chile,2023,5,1211.71,1216.3850000000002,1216.3850000000002,2023-03-31 02:35:57
NAP,Saint John's,Antígua e Barbuda,2023,4,1184.13,1190.3818181818183,1189.42,2023-03-31 02:35:57
NAP,Dubai,Emirados Árabes Unidos,2024,1,444.05,445.49,445.49,2023-03-31 02:35:57
NAP,Spokane,Estados Unidos,2023,4,888.1,890.98,890.98,2023-03-31 02:35:57
NAP,Saba Island,Países Baixos Caribenhos,2024,1,1131.72,1135.9857142857143,1135.39,2023-03-31 02:35:57
NAP,Siem Reap,Cambodja,2023,3,1375.35,1412.72,1381.5,2023-03-31 02:35:57
NAP,Palm Springs,Estados Unidos,2023,10,1026.92,1030.25,1030.25,2023-03-31 02:35:57
NAP,Puerto Iguazú,Argentina,2023,4,4009.29,4023.274,4022.29,2023-03-31 02:35:57
NAP,Oranjestad,Aruba,2023,12,2504.31,2512.43,2512.43,2023-03-31 02:35:57
NAP,Balikpapan,Indonésia,2023,4,1390.98,1398.3290909090908,1397.2,2023-03-31 02:35:57
NAP,San Pedro,Honduras,2023,4,1051.74,1055.795,1055.795,2023-03-31 02:35:57
NAP,Cartagena,Colômbia,2023,6,1292.61,1297.4814285714288,1296.8,2023-03-31 02:35:57
NAP,Nairobi,Quénia,2024,1,876.15,921.54375,879.525,2023-03-31 02:35:57
NAP,Papete,Polinésia Francesa,2023,4,2020.74,2027.786,2027.29,2023-03-31 02:35:57
NAP,Kassel,Alemanha,2023,5,502.89,504.72666666666663,504.52,2023-03-31 02:35:57
NAP,Luanda,Angola,2023,4,866.95,870.2185714285714,869.76,2023-03-31 02:35:57
NAP,Katmandu,Nepal,2023,8,953.37,2002.349375,1998.925,2023-03-31 02:35:57
NAP,Port Lincoln,Austrália,2023,4,3526.63,3538.06,3538.06,2023-03-31 02:35:57
NAP,Vaitape,Polinésia Francesa,2023,4,2261.61,2292.1079999999997,2277.51,2023-03-31 02:35:57
NAP,Malmo,Suécia,2023,4,632.52,634.57,634.57,2023-03-31 02:35:57
NAP,Rapid City,Estados Unidos,2023,9,848.57,851.528,851.32,2023-03-31 02:35:57
NAP,Praya,Indonésia,2023,4,1289.85,1296.6645454545453,1295.62,2023-03-31 02:35:57
NAP,Bolzano,Itália,2023,5,752.95,755.6999999999999,755.39,2023-03-31 02:35:57
NAP,Dallas,Estados Unidos,2023,7,1151.03,1155.044,1154.76,2023-03-31 02:35:57
NAP,Adelaide,Austrália,2023,4,1947.19,1967.36,1953.5,2023-03-31 02:35:57
NAP,Reno,Estados Unidos,2023,4,796.16,798.74,798.74,2023-03-31 02:35:57
NAP,Jacarta,Indonésia,2023,11,786.97,789.52,789.52,2023-03-31 02:35:57
NAP,Kingston,Jamaica,2023,8,1037.03,1578.3260975609758,1605.59,2023-03-31 02:35:57
NAP,Caiena,Guiana Francesa,2023,6,1209.87,1216.26,1215.28,2023-03-31 02:35:57
NAP,Hanover,Alemanha,2023,5,172.84,198.79416666666668,200.485,2023-03-31 02:35:57
NAP,Nouakchott,Mauritânia,2023,5,706.99,711.67625,709.7149999999999,2023-03-31 02:35:57
NAP,Antananarivo,Madagáscar,2023,9,1265.95,1724.9133333333332,1946.31,2023-03-31 02:35:57
NAP,Joinville,Brasil,2023,8,1213.55,1217.48,1217.48,2023-03-31 02:35:57
NAP,Cidade da Praia,Cabo Verde,2023,8,1031.52,1034.86,1034.86,2023-03-31 02:35:57
NAP,Karpathos,Grécia,2023,4,549.78,551.56,551.56,2023-03-31 02:35:57
NAP,Salvador,Brasil,2024,2,719.86,722.19,722.19,2023-03-31 02:35:57
NAP,Myrtle Beach,Estados Unidos,2023,4,642.63,747.1442105263158,648.47,2023-03-31 02:35:57
NAP,Austin,Estados Unidos,2023,7,1087.6,1105.9083333333333,1091.12,2023-03-31 02:35:57
NAP,Cataratas Vitória,Zimbábue,2023,9,1257.68,1261.75,1261.75,2023-03-31 02:35:57
NAP,Burgas,Bulgária,2023,6,222.49,223.21,223.21,2023-03-31 02:35:57
NAP,Okinawa,Japão,2023,8,1427.76,1534.7635714285716,1583.75,2023-03-31 02:35:57
NAP,Kuala Lumpur,Malásia,2023,12,914.76,917.72,917.72,2023-03-31 02:35:57
NAP,Cleveland,Estados Unidos,2023,4,605.86,609.0581818181819,608.57,2023-03-31 02:35:57
NAP,Durban,África do Sul,2023,10,689.52,692.175,692.175,2023-03-31 02:35:57
NAP,Préveza,Grécia,2023,8,102.05,436.3253191489362,202.28,2023-03-31 02:35:57
NAP,Turim,Itália,2023,5,34.02,45.1785,37.78,2023-03-31 02:35:57
NAP,Richmond,Estados Unidos,2023,5,847.65,850.39,850.39,2023-03-31 02:35:57
NAP,Leipzig,Alemanha,2023,4,194.91,232.56428571428572,235.17,2023-03-31 02:35:57
NAP,Monastir,Tunísia,2023,8,516.68,539.434,549.58,2023-03-31 02:35:57
NAP,Nis,Sérvia,2023,4,287.76,288.69,288.69,2023-03-31 02:35:57
NAP,Riga,Letónia,2023,11,219.73,220.494,220.44,2023-03-31 02:35:57
NAP,Kinshasa,República Democrática do Congo,2023,4,718.02,803.6911428571428,749.54,2023-03-31 02:35:57
NAP,Pamplona,Espanha,2023,7,405.44,406.9166666666667,406.75,2023-03-31 02:35:57
NAP,Tallin,Estónia,2023,4,244.55,386.0252380952381,424.84,2023-03-31 02:35:57
NAP,Lagos,Nigéria,2023,6,606.78,608.74,608.74,2023-03-31 02:35:57
NAP,Kythira,Grécia,2023,5,303.39,304.53285714285715,304.37,2023-03-31 02:35:57
NAP,Tampere,Finlândia,2023,5,294.2,295.33,295.33,2023-03-31 02:35:57
