CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
LIS,Oujda,Marrocos,2023,6,168.26,244.8013888888889,256.46,2023-04-06 02:31:46
LIS,Corvo Island,Portugal,2023,6,134.43,188.20250000000001,202.05,2023-04-06 02:31:46
LIS,São Sebastião,Espanha,2023,9,143.57,196.69842105263157,188.57,2023-04-06 02:31:46
LIS,Teresina,Brasil,2023,8,819.33,976.8219999999999,954.62,2023-04-06 02:31:46
LIS,Praga,República Checa,2024,1,110.65,144.965,129.67,2023-04-06 02:31:46
LIS,Miami,Estados Unidos,2024,2,386.81,410.44,410.44,2023-04-06 02:31:46
LIS,Sydney,Austrália,2023,5,1192.42,1512.921395348837,1561.04,2023-04-06 02:31:46
LIS,Bordéus,França,2023,5,23.78,44.58269230769231,42.48,2023-04-06 02:31:46
LIS,Gdansk,Polónia,2023,10,180.15,182.79,182.8,2023-04-06 02:31:46
LIS,Antália,Turquia,2023,5,220.38,278.6404444444444,263.08,2023-04-06 02:31:46
LIS,Quito,Equador,2023,4,817.51,1145.562588235294,1137.03,2023-04-06 02:31:46
LIS,Cracóvia,Polónia,2023,5,100.59,150.65515151515152,145.65,2023-04-06 02:31:46
LIS,Florença,Itália,2023,6,131.68,182.1606976744186,170.01,2023-04-06 02:31:46
LIS,Bristol,Reino Unido,2024,3,82.3,82.38,82.38,2023-04-06 02:31:46
LIS,Ouarzazate,Marrocos,2023,4,238.67,333.94384615384615,262.88,2023-04-06 02:31:46
LIS,Calamata,Grécia,2023,8,352.97,489.6891304347826,525.26,2023-04-06 02:31:46
LIS,Craiova,Roménia,2023,4,176.49,263.96478260869566,266.1,2023-04-06 02:31:46
LIS,Klagenfurt,Áustria,2023,4,166.43,244.05057142857143,191.19,2023-04-06 02:31:46
LIS,Amesterdão,Holanda,2023,12,83.22,106.83739130434782,99.57,2023-04-06 02:31:46
LIS,Bodø,Noruega,2023,6,378.58,380.12,380.12,2023-04-06 02:31:46
LIS,Girona,Espanha,2023,4,189.29,270.83954545454543,273.405,2023-04-06 02:31:46
LIS,Dublin,Irlanda,2023,9,63.1,77.62333333333332,72.41,2023-04-06 02:31:46
LIS,Atlanta,Estados Unidos,2023,11,620.9,787.830909090909,674.22,2023-04-06 02:31:46
LIS,West Palm Beach,Estados Unidos,2023,10,463.62,544.205,544.205,2023-04-06 02:31:46
LIS,Querétaro,México,2023,5,885.17,886.0099999999999,886.01,2023-04-06 02:31:46
LIS,Foggia,Itália,2023,6,221.3,260.17875,222.2,2023-04-06 02:31:46
LIS,Vitória da Conquista,Brasil,2023,10,758.98,759.7,759.7,2023-04-06 02:31:46
LIS,Perugia,Itália,2023,7,179.23,314.27720930232556,343.72,2023-04-06 02:31:46
LIS,Cincinnati,Estados Unidos,2023,5,674.85,765.8368085106383,712.37,2023-04-06 02:31:46
LIS,Biarritz,França,2023,5,158.2,189.0915,184.24,2023-04-06 02:31:46
LIS,Edremit,Turquia,2023,6,548.66,549.18,549.18,2023-04-06 02:31:46
LIS,Anchorage,Estados Unidos,2023,5,822.99,823.77,823.77,2023-04-06 02:31:46
LIS,Brindisi,Itália,2023,5,137.17,310.8485,296.425,2023-04-06 02:31:46
LIS,Jacksonville,Estados Unidos,2023,6,622.73,738.0025925925926,729.45,2023-04-06 02:31:46
LIS,Escópia,Macedónia do Norte,2023,8,348.4,348.73,348.73,2023-04-06 02:31:46
LIS,Hanói,Vietname,2023,10,802.87,2410.389090909091,841.81,2023-04-06 02:31:46
LIS,Pequim,China,2023,12,876.94,1090.3616666666667,1195.225,2023-04-06 02:31:46
LIS,La Paz,México,2023,6,972.04,976.0,976.0,2023-04-06 02:31:46
LIS,Dallas,Estados Unidos,2023,5,676.68,687.512,681.55,2023-04-06 02:31:46
LIS,Sibiu,Roménia,2023,5,317.31,338.485,319.6,2023-04-06 02:31:46
LIS,Sfax,Tunísia,2023,4,645.59,646.2,646.2,2023-04-06 02:31:46
LIS,Louisville,Estados Unidos,2023,4,698.63,699.29,699.29,2023-04-06 02:31:46
LIS,Lexington,Estados Unidos,2023,9,698.63,699.29,699.29,2023-04-06 02:31:46
LIS,Albany,Estados Unidos,2023,9,804.7,807.975,807.975,2023-04-06 02:31:46
LIS,Kota Kinabalu,Malásia,2023,7,1356.1,1357.38,1357.38,2023-04-06 02:31:46
LIS,Cascavel,Brasil,2023,5,1101.89,1106.941111111111,1109.82,2023-04-06 02:31:46
LIS,San Luis Potosí,México,2023,5,900.72,901.57,901.57,2023-04-06 02:31:46
LIS,Rzeszów,Polónia,2023,6,180.15,225.0869696969697,246.28,2023-04-06 02:31:46
LIS,Nelspruit,África do Sul,2023,11,773.61,778.14,776.76,2023-04-06 02:31:46
LIS,Beira,Moçambique,2023,5,1006.79,1197.2811111111112,1292.38,2023-04-06 02:31:46
