CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
MAD,Montevidéu,Uruguai,2023,6,418.03,850.1418181818182,832.77,2023-04-13 02:31:40
MAD,Salta,Argentina,2023,5,923.68,1554.3870000000002,1561.055,2023-04-13 02:31:40
MAD,Natal,Brasil,2023,5,700.06,1127.691,1083.0949999999998,2023-04-13 02:31:40
MAD,Namsos,Noruega,2023,5,431.72,728.8945454545454,677.38,2023-04-13 02:31:40
MAD,Kutaisi,Geórgia,2023,5,195.33,286.38,273.24,2023-04-13 02:31:40
MAD,Liverpool,Reino Unido,2023,6,43.82,137.16083333333333,155.27499999999998,2023-04-13 02:31:40
MAD,Baku,Azerbeijão,2023,10,335.89,516.4257142857143,530.86,2023-04-13 02:31:40
MAD,Grand'Anse Praslin,Seicheles,2023,7,1933.15,2467.24,2467.24,2023-04-13 02:31:40
MAD,Trondheim,Noruega,2023,9,226.36,309.3253846153846,295.82,2023-04-13 02:31:40
MAD,Túnis,Tunísia,2023,6,113.18,166.97883720930233,156.78,2023-04-13 02:31:40
MAD,Montego Bay,Jamaica,2023,7,1287.85,1546.366,1560.48,2023-04-13 02:31:40
MAD,Porto de Espanha,Trinidad e Tobago,2023,9,1012.21,1221.8336363636363,1183.22,2023-04-13 02:31:40
MAD,Phitsanulok,Tailândia,2023,5,1145.47,1368.977,1408.62,2023-04-13 02:31:40
MAD,Brest,França,2023,5,227.27,311.8825,264.71,2023-04-13 02:31:40
MAD,Kuwait,Koweit,2023,6,332.24,373.6475,378.39,2023-04-13 02:31:40
MAD,Pasco,Estados Unidos,2023,5,880.78,947.45,947.45,2023-04-13 02:31:40
MAD,Omaha,Estados Unidos,2023,5,749.35,940.2900000000001,992.99,2023-04-13 02:31:40
MAD,Kaunas,Lituânia,2023,5,111.36,156.64642857142857,147.555,2023-04-13 02:31:40
MAD,Manchester,Reino Unido,2023,6,69.37,96.75461538461538,85.22,2023-04-13 02:31:40
MAD,Cidade do México,México,2024,2,679.07,708.26,708.26,2023-04-13 02:31:40
MAD,Toronto,Canadá,2023,9,439.94,497.6192307692308,488.17,2023-04-13 02:31:40
MAD,Lampang,Tailândia,2023,5,891.73,976.586,928.17,2023-04-13 02:31:40
MAD,Maceió,Brasil,2023,12,856.14,883.62,883.62,2023-04-13 02:31:40
MAD,Verona,Itália,2023,8,197.15,214.76399999999998,211.23,2023-04-13 02:31:40
MAD,Zonguldak,Turquia,2023,6,421.68,487.1488235294118,430.95,2023-04-13 02:31:40
MAD,Aqaba,Jordânia,2023,5,420.77,467.7831034482758,440.88,2023-04-13 02:31:40
MAD,Tashkent,Uzbequistão,2023,11,585.97,603.779,603.24,2023-04-13 02:31:40
MAD,Tijuana,México,2023,5,821.45,989.0435294117648,965.2,2023-04-13 02:31:40
MAD,La Paz,Bolívia,2023,11,941.93,1008.6333333333332,951.62,2023-04-13 02:31:40
MAD,Salzburgo,Áustria,2023,10,259.22,264.625,264.625,2023-04-13 02:31:40
MAD,Bilbau,Espanha,2023,6,35.6,50.46536082474227,50.62,2023-04-13 02:31:40
MAD,La Corunha,Espanha,2023,10,31.95,48.53,53.98,2023-04-13 02:31:40
MAD,Funchal,Portugal,2023,11,86.71,98.04142857142857,93.75,2023-04-13 02:31:40
MAD,Marselha,França,2023,5,36.51,46.97689655172414,40.59,2023-04-13 02:31:40
MAD,Tours,França,2023,6,219.97,258.0246153846154,274.47,2023-04-13 02:31:40
