CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
OPO,Budapeste,Hungria,2023,9,88.83,149.17809523809524,145.38,2023-04-15 02:31:16
OPO,Alexandria,Egito,2023,8,675.28,1009.45,1009.45,2023-04-15 02:31:16
OPO,Akureyri,Islândia,2023,8,775.89,1137.64,1137.64,2023-04-15 02:31:16
OPO,Vancouver,Canadá,2023,12,623.62,868.84,868.84,2023-04-15 02:31:16
OPO,Parikia,Grécia,2023,5,339.0,631.5583333333333,631.81,2023-04-15 02:31:16
OPO,Tânger,Marrocos,2023,6,122.37,156.916,153.58,2023-04-15 02:31:16
OPO,Argostoli,Grécia,2023,9,300.93,402.1966666666667,410.37,2023-04-15 02:31:16
OPO,Reus,Espanha,2023,6,168.6,379.94274193548387,360.67,2023-04-15 02:31:16
OPO,Míconos,Grécia,2023,5,170.41,238.52599999999998,213.04,2023-04-15 02:31:16
OPO,Krabi,Tailândia,2023,4,1281.67,1403.624,1392.64,2023-04-15 02:31:16
OPO,Fortaleza,Brasil,2023,12,944.48,1193.3809523809523,1015.02,2023-04-15 02:31:16
OPO,Luqa,Malta,2023,10,77.96,108.43933333333332,112.37,2023-04-15 02:31:16
OPO,Billund,Dinamarca,2023,6,53.48,104.702,79.73,2023-04-15 02:31:16
OPO,Vigo,Espanha,2023,5,116.93,125.48952380952382,128.22,2023-04-15 02:31:16
OPO,Biarritz,França,2023,5,146.84,214.6716,213.71,2023-04-15 02:31:16
OPO,Verona,Itália,2023,9,152.28,152.70000000000002,152.38,2023-04-15 02:31:16
OPO,Rabate,Marrocos,2023,6,122.37,150.77826086956523,149.03,2023-04-15 02:31:16
OPO,Iași,Roménia,2023,9,230.23,249.67849999999999,251.84,2023-04-15 02:31:16
OPO,Sept Iles,Canadá,2023,5,494.9,496.5614285714286,495.22,2023-04-15 02:31:16
OPO,Münster,Alemanha,2023,8,356.22,8147.765,10743.35,2023-04-15 02:31:16
OPO,Dortmund,Alemanha,2023,8,170.41,513.2866666666666,684.67,2023-04-15 02:31:16
OPO,Birmingham,Reino Unido,2023,11,139.59,139.9,139.68,2023-04-15 02:31:16
OPO,Boston,Estados Unidos,2024,2,435.08,435.36,435.36,2023-04-15 02:31:16
OPO,Southampton,Reino Unido,2023,9,389.76,464.5316666666667,500.52,2023-04-15 02:31:16
OPO,Paderborn,Alemanha,2023,8,452.3,9870.195,10724.455,2023-04-15 02:31:16
OPO,Adana,Turquia,2023,11,436.89,437.17,437.17,2023-04-15 02:31:16
OPO,Corvera,Espanha,2023,9,280.99,281.17,281.17,2023-04-15 02:31:16
OPO,Bratislava,Eslováquia,2023,8,265.58,274.81666666666666,279.35,2023-04-15 02:31:16
OPO,Kuwait,Koweit,2023,10,470.43,470.73,470.73,2023-04-15 02:31:16
OPO,Oran,Argélia,2023,10,313.62,314.21799999999996,313.82,2023-04-15 02:31:16
OPO,Rimini,Itália,2023,8,392.48,394.32222222222225,395.21,2023-04-15 02:31:16
OPO,Pernem,Índia,2023,8,944.48,946.2760000000001,945.08,2023-04-15 02:31:16
OPO,Bissau,Guiné-Bissau,2023,5,881.94,884.36,882.5,2023-04-15 02:31:16
OPO,Santa Marta,Colômbia,2023,11,1071.38,1074.9657142857143,1072.06,2023-04-15 02:31:16
OPO,Abidjã,Costa do Marfim,2024,4,740.54,742.8860000000001,741.01,2023-04-15 02:31:16
OPO,Nador,Marrocos,2023,9,204.85,205.63,205.63,2023-04-15 02:31:16
OPO,Tashkent,Uzbequistão,2023,10,821.21,860.582857142857,866.97,2023-04-15 02:31:16
OPO,Xangai,China,2023,9,1263.54,1264.34,1264.34,2023-04-15 02:31:16
OPO,Marabá,Brasil,2023,5,1992.29,1999.8550000000002,1999.855,2023-04-15 02:31:16
OPO,Pequim,China,2023,5,743.26,832.6628571428572,748.44,2023-04-15 02:31:16
OPO,Tampa,Estados Unidos,2023,6,1012.46,1018.95625,1020.49,2023-04-15 02:31:16
OPO,Chania,Grécia,2023,9,174.04,321.65416666666664,263.895,2023-04-15 02:31:16
OPO,Comiso,Itália,2023,5,174.04,174.85555555555555,175.25,2023-04-15 02:31:16
OPO,Salalah,Omã,2023,7,901.88,905.3050000000001,905.3050000000001,2023-04-15 02:31:16
OPO,Grand-Case,São Martinho (Saint-Martin),2023,12,2058.46,2059.76,2059.76,2023-04-15 02:31:16
