CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
MXP,Alta,Noruega,2023,7,328.51,480.71826086956526,508.24,2023-06-09 03:03:04
MXP,Longyearbyen,Noruega,2023,12,315.48,457.81311111111114,444.8,2023-06-09 03:03:04
MXP,Vólos,Grécia,2023,9,598.38,1022.7416129032258,791.09,2023-06-09 03:03:04
MXP,Nantong,China,2023,7,1381.95,1647.8972727272726,1647.75,2023-06-09 03:03:04
MXP,Santiago,República Dominicana,2023,10,681.2,787.99,787.99,2023-06-09 03:03:04
MXP,Reno,Estados Unidos,2023,7,1237.7,1348.71,1348.71,2023-06-09 03:03:04
MXP,San Pedro,Honduras,2023,7,1316.8,1426.2,1426.2,2023-06-09 03:03:04
MXP,Rovaniemi,Finlândia,2023,12,250.34,453.8267213114754,480.8,2023-06-09 03:03:04
MXP,Dusseldorf,Alemanha,2023,10,127.5,139.25,138.86,2023-06-09 03:03:04
MXP,Shenyang,China,2023,9,867.32,1047.8773913043478,1115.46,2023-06-09 03:03:04
MXP,Corfú,Grécia,2023,9,61.42,81.66252173913044,81.17,2023-06-09 03:03:04
MXP,Barcelona,Espanha,2023,9,29.78,41.78690476190476,41.54,2023-06-09 03:03:04
MXP,Narvik,Noruega,2023,12,230.79,388.7,388.8,2023-06-09 03:03:04
MXP,Nantes,França,2023,10,90.27,90.66,90.66,2023-06-09 03:03:04
MXP,Esmirna,Turquia,2023,6,194.5,271.3427329192547,256.97,2023-06-09 03:03:04
MXP,Bergen,Noruega,2024,3,194.5,195.34,195.34,2023-06-09 03:03:04
MXP,Milltown (Kerry),Irlanda,2023,8,199.15,242.72473684210524,258.44,2023-06-09 03:03:04
MXP,Ålesund,Noruega,2023,10,254.99,256.09,256.09,2023-06-09 03:03:04
MXP,Kiruna,Suécia,2023,7,542.54,544.88,544.88,2023-06-09 03:03:04
MXP,Ancara,Turquia,2023,12,292.21,293.47,293.47,2023-06-09 03:03:04
MXP,Salvador,Brasil,2023,7,789.15,990.0158333333334,924.655,2023-06-09 03:03:04
MXP,Fukuoka,Japão,2023,11,882.21,886.01,886.01,2023-06-09 03:03:04
MXP,Columbia,Estados Unidos,2023,6,726.8,762.0799999999999,762.0799999999999,2023-06-09 03:03:04
MXP,Sihanoukville,Cambodja,2023,10,801.25,804.7,804.7,2023-06-09 03:03:04
MXP,Lahore,Paquistão,2023,7,566.74,766.8935294117647,752.37,2023-06-09 03:03:04
MXP,Kirkwall,Reino Unido,2023,8,603.96,606.56,606.56,2023-06-09 03:03:04
MXP,Dar Es Salaam,Tanzânia,2024,3,664.45,667.31,667.31,2023-06-09 03:03:04
MXP,Hyderabad,Índia,2023,7,757.51,1330.3719999999998,1799.07,2023-06-09 03:03:04
MXP,Leknes,Noruega,2023,10,402.02,477.71000000000004,496.09,2023-06-09 03:03:04
MXP,Okinawa,Japão,2023,10,1224.67,1233.1575,1229.94,2023-06-09 03:03:04
MXP,Faisalabad,Paquistão,2023,7,813.35,816.85,816.85,2023-06-09 03:03:04
MXP,Cody,Estados Unidos,2023,7,1471.28,1477.61,1477.61,2023-06-09 03:03:04
MXP,Casper,Estados Unidos,2023,7,1471.28,1477.61,1477.61,2023-06-09 03:03:04
MXP,Indianápolis,Estados Unidos,2023,7,1032.04,1040.6799999999998,1042.08,2023-06-09 03:03:04
MXP,Livingstone,Zâmbia,2023,8,1046.0,1235.28,1257.5,2023-06-09 03:03:04
MXP,Panglao,Filipinas,2023,6,1362.4,1368.26,1368.26,2023-06-09 03:03:04
MXP,San Andrés,Colômbia,2023,7,1394.97,1400.97,1400.97,2023-06-09 03:03:04
MXP,Boston,Estados Unidos,2023,7,718.43,814.0771428571428,850.29,2023-06-09 03:03:04
MXP,Abu Simbel,Egito,2023,7,969.69,973.86,973.86,2023-06-09 03:03:04
MXP,São José do Rio Preto,Brasil,2023,6,988.3,992.55,992.55,2023-06-09 03:03:04
MXP,Ushuaia,Argentina,2023,9,1890.98,3308.6015384615384,3923.71,2023-06-09 03:03:04
MXP,Fortaleza,Brasil,2023,7,804.97,878.0813333333333,871.32,2023-06-09 03:03:04
MXP,Sorkjosen,Noruega,2024,2,525.79,528.05,528.05,2023-06-09 03:03:04
MXP,Tampico,México,2023,12,1870.51,1878.55,1878.55,2023-06-09 03:03:04
MXP,Pereira,Colômbia,2023,7,2303.24,2313.14,2313.14,2023-06-09 03:03:04
MXP,San Carlos DeBariloche,Argentina,2023,9,1744.88,1752.38,1752.38,2023-06-09 03:03:04
MXP,Jackson,Estados Unidos,2023,7,1372.64,1798.7689999999998,1844.0549999999998,2023-06-09 03:03:04
MXP,New Windsor,Estados Unidos,2024,2,400.16,455.13199999999995,481.98,2023-06-09 03:03:04
MXP,Cantão,China,2023,8,1116.73,1230.687,1277.4099999999999,2023-06-09 03:03:04
MXP,George Town,Bahamas,2023,11,1023.67,1028.07,1028.07,2023-06-09 03:03:04
MXP,Seattle,Estados Unidos,2023,9,609.55,704.4236666666667,691.92,2023-06-09 03:03:04
MXP,Joanesburgo,África do Sul,2024,1,730.53,733.67,733.67,2023-06-09 03:03:04
MXP,Mitilene,Grécia,2023,8,279.19,405.164,450.71500000000003,2023-06-09 03:03:04
MXP,Edimburgo,Reino Unido,2023,12,69.8,100.55428571428571,78.75,2023-06-09 03:03:04
MXP,Acapulco,México,2023,6,2473.54,2484.17,2484.17,2023-06-09 03:03:04
MXP,Arequipa,Perú,2023,7,1277.72,1647.3176923076924,1710.45,2023-06-09 03:03:04
MXP,Querétaro,México,2023,12,1273.07,1278.54,1278.54,2023-06-09 03:03:04
MXP,Fairbanks,Estados Unidos,2023,10,938.05,942.08,942.08,2023-06-09 03:03:04
MXP,Manágua,Nicarágua,2023,10,817.07,820.58,820.58,2023-06-09 03:03:04
MXP,Marabá,Brasil,2023,6,2125.5,2134.63,2134.63,2023-06-09 03:03:04
MXP,Monterrei,México,2023,12,1117.66,1122.46,1122.46,2023-06-09 03:03:04
MXP,Mfuwe,Zâmbia,2023,8,1492.69,1499.1,1499.1,2023-06-09 03:03:04
MXP,Everett,Estados Unidos,2023,9,885.01,1007.516875,979.47,2023-06-09 03:03:04
MXP,Grande Caimão,Ilhas Cayman,2023,7,1306.57,1758.0091666666667,1904.13,2023-06-09 03:03:04
MXP,Los Angeles,Estados Unidos,2024,3,407.61,441.37250000000006,430.625,2023-06-09 03:03:04
MXP,Bardufoss,Noruega,2024,2,300.59,338.04785714285714,352.41,2023-06-09 03:03:04
MXP,Medellín,Colômbia,2023,12,887.8,891.61,891.61,2023-06-09 03:03:04
MXP,Carachi,Paquistão,2024,2,545.34,547.68,547.68,2023-06-09 03:03:04
MXP,Al Muharraq,Bahrain,2023,7,489.5,534.5866666666667,548.6,2023-06-09 03:03:04
MXP,Long Beach,Estados Unidos,2023,11,669.11,796.1876923076924,887.55,2023-06-09 03:03:04
MXP,Graz,Áustria,2023,9,198.22,205.45700000000002,205.465,2023-06-09 03:03:04
MXP,Casablanca,Marrocos,2023,8,188.92,524.92,331.01,2023-06-09 03:03:04
MXP,Zagreb,Croácia,2023,12,179.61,180.38,180.38,2023-06-09 03:03:04
MXP,Frejorgues,França,2023,6,174.96,210.993125,199.64,2023-06-09 03:03:04
MXP,Banja Luka,Bósnia-Herzegóvina,2023,10,161.0,161.69,161.69,2023-06-09 03:03:04
MXP,Bishkek,Quirguizistão,2023,7,513.7,715.6228571428571,666.85,2023-06-09 03:03:04
