City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Abu Dhabi,Emirados Árabes Unidos,1100,251.56,Várias companhias aéreas,AUH,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-AUH/2023-06-10/2023-06-17/
Agadir,Marrocos,745,313.52,Várias companhias aéreas,AGA,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-AGA/2023-06-17/2023-06-24/
Agios Kirykos,Grécia,1300,275.6,Várias companhias aéreas,JIK,2023-06-18,2023-06-25,http://kayak.com/flights/MXP-JIK/2023-06-18/2023-06-25/
Ajácio,França,1120,261.73,Várias companhias aéreas,AJA,2023-06-16,2023-06-20,http://kayak.com/flights/MXP-AJA/2023-06-16/2023-06-20/
Algueiro,Itália,75,42.55,easyJet,AHO,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-AHO/2023-06-04/2023-06-11/
Alicante,Espanha,500,112.83,Ryanair,ALC,2023-06-23,2023-06-27,http://kayak.com/flights/MXP-ALC/2023-06-23/2023-06-27/
Alta,Noruega,1390,553.98,Scandinavian Airlines,ALF,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-ALF/2023-06-24/2023-06-30/
Amesterdão,Holanda,115,85.09,easyJet,AMS,2023-06-17,2023-06-24,http://kayak.com/flights/MXP-AMS/2023-06-17/2023-06-24/
Amã,Jordânia,1610,355.14,Aegean Airlines,AMM,2023-06-19,2023-06-26,http://kayak.com/flights/MXP-AMM/2023-06-19/2023-06-26/
Antananarivo,Madagáscar,970,894.32,Ethiopian Air,TNR,2023-06-12,2023-06-18,http://kayak.com/flights/MXP-TNR/2023-06-12/2023-06-18/
Antália,Turquia,505,341.27,Várias companhias aéreas,AYT,2023-06-04,2023-06-11,http://kayak.com/flights/MXP-AYT/2023-06-04/2023-06-11/
Argostoli,Grécia,1200,255.26,Aegean Airlines,EFL,2023-06-23,2023-06-29,http://kayak.com/flights/MXP-EFL/2023-06-23/2023-06-29/
Arrecife,Espanha,250,57.34,easyJet,ACE,2023-06-06,2023-06-13,http://kayak.com/flights/MXP-ACE/2023-06-06/2023-06-13/
Astypálaia,Grécia,1185,541.03,Várias companhias aéreas,JTY,2023-06-15,2023-06-22,http://kayak.com/flights/MXP-JTY/2023-06-15/2023-06-22/
