City,Country,Duration,Price,Airline,Airport,Depart,Return,Link
Addis Abeba,Etiópia,1760,630.74,Turkish Airlines,ADD,2023-06-24,2023-06-30,http://kayak.com/flights/OPO-ADD/2023-06-24/2023-06-30/
Agadir,Marrocos,125,73.07,Ryanair,AGA,2023-06-16,2023-06-23,http://kayak.com/flights/OPO-AGA/2023-06-16/2023-06-23/
Algueiro,Itália,540,132.26,Ryanair,AHO,2023-06-20,2023-06-27,http://kayak.com/flights/OPO-AHO/2023-06-20/2023-06-27/
Alicante,Espanha,915,87.86,Air Europa,ALC,2023-06-12,2023-06-17,http://kayak.com/flights/OPO-ALC/2023-06-12/2023-06-17/
Amesterdão,Holanda,995,129.48,Várias companhias aéreas,AMS,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-AMS/2023-06-08/2023-06-12/
Antália,Turquia,785,423.58,Várias companhias aéreas,AYT,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-AYT/2023-06-06/2023-06-10/
Arrecife,Espanha,555,135.03,Várias companhias aéreas,ACE,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-ACE/2023-06-01/2023-06-08/
Atenas,Grécia,985,218.26,Várias companhias aéreas,ATH,2023-06-16,2023-06-21,http://kayak.com/flights/OPO-ATH/2023-06-16/2023-06-21/
Banguecoque,Tailândia,2510,845.3,Várias companhias aéreas,BKK,2023-06-09,2023-06-16,http://kayak.com/flights/OPO-BKK/2023-06-09/2023-06-16/
Barcelona,Espanha,115,76.77,Várias companhias aéreas,BCN,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-BCN/2023-06-08/2023-06-12/
Bari,Itália,205,94.34,Ryanair,BRI,2023-06-09,2023-06-16,http://kayak.com/flights/OPO-BRI/2023-06-09/2023-06-16/
Batam,Indonésia,2220,1422.39,Várias companhias aéreas,BTH,2023-06-15,2023-06-22,http://kayak.com/flights/OPO-BTH/2023-06-15/2023-06-22/
Belo Horizonte,Brasil,1750,814.78,LATAM Airlines,BHZ,2023-06-09,2023-06-16,http://kayak.com/flights/OPO-BHZ/2023-06-09/2023-06-16/
Berlim,Alemanha,205,122.08,Várias companhias aéreas,BER,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-BER/2023-06-26/2023-06-30/
Bilbau,Espanha,645,114.68,Air Europa,BIO,2023-06-21,2023-06-25,http://kayak.com/flights/OPO-BIO/2023-06-21/2023-06-25/
Billund,Dinamarca,600,156.3,Várias companhias aéreas,BLL,2023-06-08,2023-06-13,http://kayak.com/flights/OPO-BLL/2023-06-08/2023-06-13/
Birmingham,Reino Unido,140,82.31,Ryanair,BHX,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-BHX/2023-06-06/2023-06-10/
Bolonha,Itália,975,109.13,Várias companhias aéreas,BLQ,2023-06-13,2023-06-17,http://kayak.com/flights/OPO-BLQ/2023-06-13/2023-06-17/
Brasília,Brasil,1595,1113.5,Azul,BSB,2023-06-20,2023-06-26,http://kayak.com/flights/OPO-BSB/2023-06-20/2023-06-26/
Breslavia,Polónia,1675,224.74,KLM,WRO,2023-06-13,2023-06-20,http://kayak.com/flights/OPO-WRO/2023-06-13/2023-06-20/
Bruxelas,Bélgica,735,104.51,Várias companhias aéreas,BRU,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-BRU/2023-06-01/2023-06-08/
Budapeste,Hungria,610,176.65,Várias companhias aéreas,BUD,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-BUD/2023-06-07/2023-06-11/
Bérgamo,Itália,165,54.57,Ryanair,BGY,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-BGY/2023-06-01/2023-06-05/
Cagliari,Itália,1020,350.52,Várias companhias aéreas,CAG,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-CAG/2023-06-07/2023-06-11/
Cairo,Egito,870,532.71,Várias companhias aéreas,CAI,2023-06-09,2023-06-13,http://kayak.com/flights/OPO-CAI/2023-06-09/2023-06-13/
Chania,Grécia,1170,331.09,Várias companhias aéreas,CHQ,2023-06-20,2023-06-25,http://kayak.com/flights/OPO-CHQ/2023-06-20/2023-06-25/
Chiang Rai,Tailândia,1650,1031.19,Várias companhias aéreas,CEI,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-CEI/2023-06-03/2023-06-10/
Châlons-en-Champagne,França,145,86.94,Ryanair,XCR,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-XCR/2023-06-26/2023-06-30/
Cidade da Praia,Cabo Verde,550,525.31,TAP AIR PORTUGAL,RAI,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-RAI/2023-06-03/2023-06-07/
Cidade do México,México,1150,680.68,KLM,MEX,2023-06-20,2023-06-25,http://kayak.com/flights/OPO-MEX/2023-06-20/2023-06-25/
Clermont-Ferrand,França,1300,133.18,Várias companhias aéreas,CFE,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-CFE/2023-06-08/2023-06-12/
Corfú,Grécia,1000,358.84,Várias companhias aéreas,CFU,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-CFU/2023-06-06/2023-06-10/
Denpasar,Indonésia,2610,993.27,Iberia,DPS,2023-06-17,2023-06-24,http://kayak.com/flights/OPO-DPS/2023-06-17/2023-06-24/
Dublin,Irlanda,610,364.39,Várias companhias aéreas,DUB,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-DUB/2023-06-07/2023-06-11/
Dubrovnik,Croácia,1040,266.36,Lufthansa,DBV,2023-06-16,2023-06-21,http://kayak.com/flights/OPO-DBV/2023-06-16/2023-06-21/
Dusseldorf,Alemanha,1565,172.95,KLM,DUS,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-DUS/2023-06-05/2023-06-09/
Edimburgo,Reino Unido,945,156.3,easyJet,EDI,2023-06-11,2023-06-17,http://kayak.com/flights/OPO-EDI/2023-06-11/2023-06-17/
Eindhoven,Holanda,160,197.92,Ryanair,EIN,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-EIN/2023-06-01/2023-06-08/
Espargos,Cabo Verde,880,505.89,TAP AIR PORTUGAL,SID,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-SID/2023-06-03/2023-06-07/
Estocolmo,Suécia,1580,154.45,easyJet,STO,2023-06-24,2023-06-28,http://kayak.com/flights/OPO-STO/2023-06-24/2023-06-28/
Faro,Portugal,75,56.42,Ryanair,FAO,2023-06-03,2023-06-09,http://kayak.com/flights/OPO-FAO/2023-06-03/2023-06-09/
Figari,França,970,177.57,Várias companhias aéreas,FSC,2023-06-04,2023-06-11,http://kayak.com/flights/OPO-FSC/2023-06-04/2023-06-11/
Florença,Itália,1450,184.97,Várias companhias aéreas,FLR,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-FLR/2023-06-08/2023-06-12/
Frankfurt,Alemanha,760,125.78,Air Europa,FRA,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-FRA/2023-06-07/2023-06-11/
Funchal,Portugal,120,45.32,easyJet,FNC,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-FNC/2023-06-14/2023-06-21/
Genebra,Suíça,135,63.82,easyJet,GVA,2023-06-18,2023-06-24,http://kayak.com/flights/OPO-GVA/2023-06-18/2023-06-24/
Glasgow,Reino Unido,610,160.93,easyJet,GLA,2023-06-11,2023-06-17,http://kayak.com/flights/OPO-GLA/2023-06-11/2023-06-17/
Goiânia,Brasil,1170,985.87,Várias companhias aéreas,GYN,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-GYN/2023-06-03/2023-06-10/
