City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Paris,França,140,66.43,easyJet,PAR,2023-06-22,2023-06-28,http://kayak.com/flights/NAP-PAR/2023-06-22/2023-06-28/,66.43,1.0
Londres,Reino Unido,450,84.88,easyJet,LON,2023-06-01,2023-06-06,http://kayak.com/flights/NAP-LON/2023-06-01/2023-06-06/,84.88,1.0
Copenhaga,Dinamarca,360,127.32,easyJet,CPH,2023-06-03,2023-06-10,http://kayak.com/flights/NAP-CPH/2023-06-03/2023-06-10/,127.32,1.0
Madrid,Espanha,165,107.95,Ryanair,MAD,2023-06-22,2023-06-26,http://kayak.com/flights/NAP-MAD/2023-06-22/2023-06-26/,107.95,1.0
Barcelona,Espanha,120,47.06,easyJet,BCN,2023-06-07,2023-06-12,http://kayak.com/flights/NAP-BCN/2023-06-07/2023-06-12/,47.06,1.0
Lisboa,Portugal,390,111.64,easyJet,LIS,2023-06-01,2023-06-07,http://kayak.com/flights/NAP-LIS/2023-06-01/2023-06-07/,111.64,1.0
Viena,Áustria,105,137.47,Ryanair,VIE,2023-06-09,2023-06-13,http://kayak.com/flights/NAP-VIE/2023-06-09/2023-06-13/,137.47,1.0
Amesterdão,Holanda,160,69.2,easyJet,AMS,2023-06-21,2023-06-26,http://kayak.com/flights/NAP-AMS/2023-06-21/2023-06-26/,69.2,1.0
Dubai,Emirados Árabes Unidos,1265,518.5,Turkish Airlines,DXB,2023-06-25,2023-06-30,http://kayak.com/flights/NAP-DXB/2023-06-25/2023-06-30/,518.5,1.0
Munique,Alemanha,715,142.08,ITA Airways,MUC,2023-06-05,2023-06-11,http://kayak.com/flights/NAP-MUC/2023-06-05/2023-06-11/,142.08,1.0
Istambul,Turquia,755,215.89,Várias companhias aéreas,IST,2023-06-01,2023-06-05,http://kayak.com/flights/NAP-IST/2023-06-01/2023-06-05/,215.89,1.0
Newark,Estados Unidos,1590,1098.81,Turkish Airlines,EWR,2023-06-22,2023-06-29,http://kayak.com/flights/NAP-EWR/2023-06-22/2023-06-29/,1098.81,1.0
Atenas,Grécia,330,116.25,Várias companhias aéreas,ATH,2023-06-20,2023-06-25,http://kayak.com/flights/NAP-ATH/2023-06-20/2023-06-25/,116.25,1.0
Telavive,Israel,1900,198.36,Várias companhias aéreas,TLV,2023-06-16,2023-06-20,http://kayak.com/flights/NAP-TLV/2023-06-16/2023-06-20/,198.36,1.0
