City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Paris,França,130,49.82,Ryanair,PAR,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-PAR/2023-06-01/2023-06-05/,49.82,1.0
Londres,Reino Unido,145,87.65,TAP AIR PORTUGAL,LON,2023-06-09,2023-06-13,http://kayak.com/flights/OPO-LON/2023-06-09/2023-06-13/,87.65,1.0
Nova Iorque,Estados Unidos,890,430.85,Iberia,NYC,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-NYC/2023-06-07/2023-06-13/,430.85,1.0
Madrid,Espanha,75,47.06,Air Europa,MAD,2023-06-08,2023-06-15,http://kayak.com/flights/OPO-MAD/2023-06-08/2023-06-15/,47.06,1.0
Miami,Estados Unidos,1010,442.85,Air Europa,MIA,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-MIA/2023-06-07/2023-06-13/,442.85,1.0
Barcelona,Espanha,115,64.59,Ryanair,BCN,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-BCN/2023-06-26/2023-06-30/,64.59,1.0
Viena,Áustria,1175,131.01,Várias companhias aéreas,VIE,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-VIE/2023-06-06/2023-06-13/,131.01,1.0
Amesterdão,Holanda,165,137.47,Transavia,AMS,2023-06-09,2023-06-13,http://kayak.com/flights/OPO-AMS/2023-06-09/2023-06-13/,137.47,1.0
Roma,Itália,460,110.72,Várias companhias aéreas,ROM,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-ROM/2023-06-01/2023-06-05/,110.72,1.0
Bogotá,Colômbia,780,534.18,Air Europa,BOG,2023-06-10,2023-06-15,http://kayak.com/flights/OPO-BOG/2023-06-10/2023-06-15/,534.18,1.0
Berlim,Alemanha,425,135.63,Ryanair,BER,2023-06-22,2023-06-26,http://kayak.com/flights/OPO-BER/2023-06-22/2023-06-26/,135.63,1.0
Cidade do México,México,1150,679.03,KLM,MEX,2023-06-20,2023-06-25,http://kayak.com/flights/OPO-MEX/2023-06-20/2023-06-25/,679.03,1.0
Newark,Estados Unidos,1675,486.21,Várias companhias aéreas,EWR,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-EWR/2023-06-07/2023-06-11/,486.21,1.0
Zurique,Suíça,445,107.03,TAP AIR PORTUGAL,ZRH,2023-06-08,2023-06-12,http://kayak.com/flights/OPO-ZRH/2023-06-08/2023-06-12/,107.03,1.0
Atenas,Grécia,615,157.77,Várias companhias aéreas,ATH,2023-06-16,2023-06-21,http://kayak.com/flights/OPO-ATH/2023-06-16/2023-06-21/,157.77,1.0
Milão,Itália,165,48.9,Ryanair,MIL,2023-06-16,2023-06-20,http://kayak.com/flights/OPO-MIL/2023-06-16/2023-06-20/,48.9,1.0
Telavive,Israel,1660,209.43,easyJet,TLV,2023-06-18,2023-06-25,http://kayak.com/flights/OPO-TLV/2023-06-18/2023-06-25/,209.43,1.0
Manchester,Reino Unido,815,142.08,Várias companhias aéreas,MAN,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-MAN/2023-06-26/2023-06-30/,142.08,1.0
Orlando,Estados Unidos,2005,670.73,SWISS,MCO,2023-06-08,2023-06-15,http://kayak.com/flights/OPO-MCO/2023-06-08/2023-06-15/,670.73,1.0
Tóquio,Japão,2875,1031.46,Várias companhias aéreas,NRT,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-NRT/2023-06-07/2023-06-11/,1031.46,1.0
Denpasar,Indonésia,2670,1105.27,Várias companhias aéreas,DPS,2023-06-25,2023-06-30,http://kayak.com/flights/OPO-DPS/2023-06-25/2023-06-30/,1105.27,1.0
Dublin,Irlanda,1025,112.56,Várias companhias aéreas,DUB,2023-06-01,2023-06-07,http://kayak.com/flights/OPO-DUB/2023-06-01/2023-06-07/,112.56,1.0
Dusseldorf,Alemanha,1565,172.53,KLM,DUS,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-DUS/2023-06-05/2023-06-09/,172.53,1.0
Fort Lauderdale,Estados Unidos,2228,767.6,Várias companhias aéreas,FLL,2023-06-23,2023-06-30,http://kayak.com/flights/OPO-FLL/2023-06-23/2023-06-30/,767.6,1.0
Bruxelas,Bélgica,735,104.26,Várias companhias aéreas,BRU,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-BRU/2023-06-01/2023-06-08/,104.26,1.0
Palma de Maiorca,Espanha,475,113.48,Air Europa,PMI,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-PMI/2023-06-06/2023-06-10/,113.48,1.0
Málaga,Espanha,90,67.35,Ryanair,AGP,2023-06-19,2023-06-26,http://kayak.com/flights/OPO-AGP/2023-06-19/2023-06-26/,67.35,1.0
Toronto,Canadá,1460,422.55,Iberia,YYZ,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-YYZ/2023-06-06/2023-06-13/,422.55,1.0
Hamburgo,Alemanha,880,135.63,easyJet,HAM,2023-06-07,2023-06-14,http://kayak.com/flights/OPO-HAM/2023-06-07/2023-06-14/,135.63,1.0
San José,Costa Rica,1930,1204.91,United Airlines,SJO,2023-06-16,2023-06-23,http://kayak.com/flights/OPO-SJO/2023-06-16/2023-06-23/,1204.91,1.0
Veneza,Itália,540,111.64,Ryanair,VCE,2023-06-01,2023-06-05,http://kayak.com/flights/OPO-VCE/2023-06-01/2023-06-05/,111.64,1.0
Estocolmo,Suécia,795,208.51,Várias companhias aéreas,STO,2023-06-11,2023-06-18,http://kayak.com/flights/OPO-STO/2023-06-11/2023-06-18/,208.51,1.0
Budapeste,Hungria,610,176.22,Várias companhias aéreas,BUD,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-BUD/2023-06-07/2023-06-11/,176.22,1.0
Praga,República Checa,1355,125.48,TAP AIR PORTUGAL,PRG,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-PRG/2023-06-05/2023-06-09/,125.48,1.0
Cairo,Egito,870,531.42,Várias companhias aéreas,CAI,2023-06-09,2023-06-13,http://kayak.com/flights/OPO-CAI/2023-06-09/2023-06-13/,531.42,1.0
Genebra,Suíça,135,71.04,easyJet,GVA,2023-06-15,2023-06-20,http://kayak.com/flights/OPO-GVA/2023-06-15/2023-06-20/,71.04,1.0
Nice,França,1435,82.12,Várias companhias aéreas,NCE,2023-06-07,2023-06-13,http://kayak.com/flights/OPO-NCE/2023-06-07/2023-06-13/,82.12,1.0
Marselha,França,130,58.13,Ryanair,MRS,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-MRS/2023-06-03/2023-06-07/,58.13,1.0
Nápoles,Itália,625,101.49,easyJet,NAP,2023-06-06,2023-06-11,http://kayak.com/flights/OPO-NAP/2023-06-06/2023-06-11/,101.49,1.0
Billund,Dinamarca,600,155.92,Várias companhias aéreas,BLL,2023-06-08,2023-06-13,http://kayak.com/flights/OPO-BLL/2023-06-08/2023-06-13/,155.92,1.0
Edimburgo,Reino Unido,1610,259.25,KLM,EDI,2023-06-17,2023-06-21,http://kayak.com/flights/OPO-EDI/2023-06-17/2023-06-21/,259.25,1.0
Marraquexe,Marrocos,285,84.88,Várias companhias aéreas,RAK,2023-06-01,2023-06-07,http://kayak.com/flights/OPO-RAK/2023-06-01/2023-06-07/,84.88,1.0
Salt Lake City,Estados Unidos,1095,780.52,KLM,SLC,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-SLC/2023-06-14/2023-06-21/,780.52,1.0
Rio de Janeiro,Brasil,1205,939.2,Várias companhias aéreas,RIO,2023-06-10,2023-06-15,http://kayak.com/flights/OPO-RIO/2023-06-10/2023-06-15/,939.2,1.0
Alicante,Espanha,100,71.97,Ryanair,ALC,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-ALC/2023-06-07/2023-06-11/,71.97,1.0
Valência,Espanha,390,100.57,Várias companhias aéreas,VLC,2023-06-07,2023-06-12,http://kayak.com/flights/OPO-VLC/2023-06-07/2023-06-12/,100.57,1.0
Punta Cana,República Dominicana,2125,851.56,Várias companhias aéreas,PUJ,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-PUJ/2023-06-01/2023-06-08/,851.56,1.0
Luqa,Malta,490,148.54,Ryanair,MLA,2023-06-14,2023-06-21,http://kayak.com/flights/OPO-MLA/2023-06-14/2023-06-21/,148.54,1.0
Las Palmas,Espanha,165,82.12,Ryanair,LPA,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-LPA/2023-06-06/2023-06-13/,82.12,1.0
Birmingham,Reino Unido,140,82.12,Ryanair,BHX,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-BHX/2023-06-06/2023-06-10/,82.12,1.0
Malé,Maldivas,1480,750.07,Iberia,MLE,2023-06-18,2023-06-25,http://kayak.com/flights/OPO-MLE/2023-06-18/2023-06-25/,750.07,1.0
Funchal,Portugal,120,47.06,easyJet,FNC,2023-06-13,2023-06-20,http://kayak.com/flights/OPO-FNC/2023-06-13/2023-06-20/,47.06,1.0
Santo Domingo,República Dominicana,1050,584.0,Air Europa,SDQ,2023-06-03,2023-06-10,http://kayak.com/flights/OPO-SDQ/2023-06-03/2023-06-10/,584.0,1.0
Sevilha,Espanha,670,109.79,Várias companhias aéreas,SVQ,2023-06-06,2023-06-11,http://kayak.com/flights/OPO-SVQ/2023-06-06/2023-06-11/,109.79,1.0
Bolonha,Itália,975,111.64,Várias companhias aéreas,BLQ,2023-06-13,2023-06-17,http://kayak.com/flights/OPO-BLQ/2023-06-13/2023-06-17/,111.64,1.0
Florença,Itália,510,177.14,TAP AIR PORTUGAL,FLR,2023-06-12,2023-06-17,http://kayak.com/flights/OPO-FLR/2023-06-12/2023-06-17/,177.14,1.0
Faro,Portugal,75,71.97,Ryanair,FAO,2023-06-26,2023-06-30,http://kayak.com/flights/OPO-FAO/2023-06-26/2023-06-30/,71.97,1.0
Antália,Turquia,785,422.55,Várias companhias aéreas,AYT,2023-06-06,2023-06-10,http://kayak.com/flights/OPO-AYT/2023-06-06/2023-06-10/,422.55,1.0
Santa Cruz de Tenerife,Espanha,1280,126.4,Air Europa,TCI,2023-06-04,2023-06-10,http://kayak.com/flights/OPO-TCI/2023-06-04/2023-06-10/,126.4,1.0
Palermo,Itália,2800,235.27,SWISS,PMO,2023-06-20,2023-06-24,http://kayak.com/flights/OPO-PMO/2023-06-20/2023-06-24/,235.27,1.0
Lárnaca,Chipre,3035,234.34,SWISS,LCA,2023-06-08,2023-06-13,http://kayak.com/flights/OPO-LCA/2023-06-08/2023-06-13/,234.34,1.0
Bilbau,Espanha,645,114.41,Air Europa,BIO,2023-06-21,2023-06-25,http://kayak.com/flights/OPO-BIO/2023-06-21/2023-06-25/,114.41,1.0
Salónica,Grécia,1595,277.7,Várias companhias aéreas,SKG,2023-06-11,2023-06-16,http://kayak.com/flights/OPO-SKG/2023-06-11/2023-06-16/,277.7,1.0
Granadilla de Abona,Espanha,490,178.06,Várias companhias aéreas,TFS,2023-06-04,2023-06-10,http://kayak.com/flights/OPO-TFS/2023-06-04/2023-06-10/,178.06,1.0
