City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,3285,624.51,LOT,ICN,2023-06-10,2023-06-17,http://kayak.com/flights/MXP-ICN/2023-06-10/2023-06-17/,624.51,1.0
Paris,França,110,49.74,easyJet,PAR,2023-06-23,2023-06-30,http://kayak.com/flights/MXP-PAR/2023-06-23/2023-06-30/,49.74,1.0
Londres,Reino Unido,120,43.3,Wizz Air,LON,2023-06-11,2023-06-18,http://kayak.com/flights/MXP-LON/2023-06-11/2023-06-18/,43.3,1.0
Nova Iorque,Estados Unidos,1585,360.16,British Airways,NYC,2023-06-01,2023-06-05,http://kayak.com/flights/MXP-NYC/2023-06-01/2023-06-05/,360.16,1.0
Los Angeles,Estados Unidos,1480,472.53,Scandinavian Airlines,LAX,2023-06-02,2023-06-08,http://kayak.com/flights/MXP-LAX/2023-06-02/2023-06-08/,472.53,1.0
Copenhaga,Dinamarca,130,72.77,easyJet,CPH,2023-06-16,2023-06-20,http://kayak.com/flights/MXP-CPH/2023-06-16/2023-06-20/,72.77,1.0
Banguecoque,Tailândia,1685,603.33,Oman Air,BKK,2023-06-19,2023-06-25,http://kayak.com/flights/MXP-BKK/2023-06-19/2023-06-25/,603.33,1.0
Madrid,Espanha,140,56.19,Ryanair,MAD,2023-06-05,2023-06-10,http://kayak.com/flights/MXP-MAD/2023-06-05/2023-06-10/,56.19,1.0
Miami,Estados Unidos,1425,580.3,British Airways,MIA,2023-06-04,2023-06-10,http://kayak.com/flights/MXP-MIA/2023-06-04/2023-06-10/,580.3,1.0
Barcelona,Espanha,105,57.11,Ryanair,BCN,2023-06-18,2023-06-23,http://kayak.com/flights/MXP-BCN/2023-06-18/2023-06-23/,57.11,1.0
Frankfurt,Alemanha,700,161.2,Várias companhias aéreas,FRA,2023-06-22,2023-06-28,http://kayak.com/flights/MXP-FRA/2023-06-22/2023-06-28/,161.2,1.0
São Francisco,Estados Unidos,1070,528.72,British Airways,SFO,2023-06-13,2023-06-20,http://kayak.com/flights/MXP-SFO/2023-06-13/2023-06-20/,528.72,1.0
Lisboa,Portugal,175,55.27,easyJet,LIS,2023-06-11,2023-06-18,http://kayak.com/flights/MXP-LIS/2023-06-11/2023-06-18/,55.27,1.0
Viena,Áustria,85,164.88,Austrian Airlines,VIE,2023-06-01,2023-06-08,http://kayak.com/flights/MXP-VIE/2023-06-01/2023-06-08/,164.88,1.0
Boston,Estados Unidos,1025,547.14,British Airways,BOS,2023-06-23,2023-06-30,http://kayak.com/flights/MXP-BOS/2023-06-23/2023-06-30/,547.14,1.0
