City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2040,514.07,LOT,ICN,2023-11-23,2023-11-28,http://kayak.com/flights/MAD-ICN/2023-11-23/2023-11-28/,514.07,1.0
Paris,França,305,44.15,Ryanair,PAR,2023-03-27,2023-04-01,http://kayak.com/flights/MAD-PAR/2023-03-27/2023-04-01/,44.15,1.0
Londres,Reino Unido,150,28.51,Ryanair,LON,2023-02-11,2023-02-18,http://kayak.com/flights/MAD-LON/2023-02-11/2023-02-18/,28.51,1.0
Nova Iorque,Estados Unidos,1515,269.45,PLAY,NYC,2023-10-18,2023-10-24,http://kayak.com/flights/MAD-NYC/2023-10-18/2023-10-24/,269.45,1.0
Los Angeles,Estados Unidos,1085,514.99,Delta,LAX,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-LAX/2023-02-27/2023-03-06/,514.99,1.0
Copenhaga,Dinamarca,200,63.46,Ryanair,CPH,2023-05-04,2023-05-09,http://kayak.com/flights/MAD-CPH/2023-05-04/2023-05-09/,63.46,1.0
Banguecoque,Tailândia,1520,563.73,Cathay Pacifc,BKK,2023-10-04,2023-10-10,http://kayak.com/flights/MAD-BKK/2023-10-04/2023-10-10/,563.73,1.0
Miami,Estados Unidos,2075,352.22,ITA Airways,MIA,2023-02-09,2023-02-13,http://kayak.com/flights/MAD-MIA/2023-02-09/2023-02-13/,352.22,1.0
Barcelona,Espanha,90,27.59,Air Europa,BCN,2023-02-19,2023-02-23,http://kayak.com/flights/MAD-BCN/2023-02-19/2023-02-23/,27.59,1.0
São Francisco,Estados Unidos,1580,469.93,United Airlines,SFO,2023-09-13,2023-09-19,http://kayak.com/flights/MAD-SFO/2023-09-13/2023-09-19/,469.93,1.0
Frankfurt,Alemanha,870,67.14,Ryanair,FRA,2023-01-31,2023-02-06,http://kayak.com/flights/MAD-FRA/2023-01-31/2023-02-06/,67.14,1.0
Lisboa,Portugal,85,23.91,Várias companhias aéreas,LIS,2023-03-19,2023-03-23,http://kayak.com/flights/MAD-LIS/2023-03-19/2023-03-23/,23.91,1.0
Boston,Estados Unidos,910,376.13,Delta,BOS,2023-02-28,2023-03-07,http://kayak.com/flights/MAD-BOS/2023-02-28/2023-03-07/,376.13,1.0
Viena,Áustria,185,56.1,Ryanair,VIE,2023-05-05,2023-05-10,http://kayak.com/flights/MAD-VIE/2023-05-05/2023-05-10/,56.1,1.0
Amesterdão,Holanda,1530,106.68,Várias companhias aéreas,AMS,2023-04-12,2023-04-18,http://kayak.com/flights/MAD-AMS/2023-04-12/2023-04-18/,106.68,1.0
Manila,Filipinas,3450,801.9,Várias companhias aéreas,MNL,2023-05-16,2023-05-23,http://kayak.com/flights/MAD-MNL/2023-05-16/2023-05-23/,801.9,1.0
Nova Deli,Índia,955,589.48,Finnair,DEL,2023-04-21,2023-04-26,http://kayak.com/flights/MAD-DEL/2023-04-21/2023-04-26/,589.48,1.0
Las Vegas,Estados Unidos,2085,526.94,Várias companhias aéreas,LAS,2023-02-11,2023-02-18,http://kayak.com/flights/MAD-LAS/2023-02-11/2023-02-18/,526.94,1.0
Roma,Itália,160,48.74,Wizz Air,ROM,2023-04-19,2023-04-25,http://kayak.com/flights/MAD-ROM/2023-04-19/2023-04-25/,48.74,1.0
Dubai,Emirados Árabes Unidos,935,317.27,Várias companhias aéreas,DXB,2023-03-15,2023-03-22,http://kayak.com/flights/MAD-DXB/2023-03-15/2023-03-22/,317.27,1.0
Istambul,Turquia,275,125.99,Pegasus Airlines,IST,2023-05-06,2023-05-10,http://kayak.com/flights/MAD-IST/2023-05-06/2023-05-10/,125.99,1.0
Cancún,México,1639,554.53,Aeromexico,CUN,2023-02-09,2023-02-16,http://kayak.com/flights/MAD-CUN/2023-02-09/2023-02-16/,554.53,1.0
Berlim,Alemanha,1455,75.41,Ryanair,BER,2023-04-21,2023-04-25,http://kayak.com/flights/MAD-BER/2023-04-21/2023-04-25/,75.41,1.0
Munique,Alemanha,165,100.24,Air Europa,MUC,2023-03-02,2023-03-06,http://kayak.com/flights/MAD-MUC/2023-03-02/2023-03-06/,100.24,1.0
Bogotá,Colômbia,1520,486.48,KLM,BOG,2023-02-06,2023-02-12,http://kayak.com/flights/MAD-BOG/2023-02-06/2023-02-12/,486.48,1.0
Atlanta,Estados Unidos,1765,608.79,British Airways,ATL,2023-02-21,2023-02-26,http://kayak.com/flights/MAD-ATL/2023-02-21/2023-02-26/,608.79,1.0
Newark,Estados Unidos,670,336.58,TAP AIR PORTUGAL,EWR,2023-10-27,2023-10-31,http://kayak.com/flights/MAD-EWR/2023-10-27/2023-10-31/,336.58,1.0
Singapura,Singapura,1460,632.7,Air France,SIN,2023-05-16,2023-05-22,http://kayak.com/flights/MAD-SIN/2023-05-16/2023-05-22/,632.7,1.0
Zurique,Suíça,140,104.84,Air Europa,ZRH,2023-06-12,2023-06-18,http://kayak.com/flights/MAD-ZRH/2023-06-12/2023-06-18/,104.84,1.0
Seattle,Estados Unidos,1605,704.43,Icelandair,SEA,2023-08-09,2023-08-15,http://kayak.com/flights/MAD-SEA/2023-08-09/2023-08-15/,704.43,1.0
Cidade do México,México,750,470.85,Iberia,MEX,2023-02-14,2023-02-19,http://kayak.com/flights/MAD-MEX/2023-02-14/2023-02-19/,470.85,1.0
Atenas,Grécia,1615,106.68,Várias companhias aéreas,ATH,2023-03-20,2023-03-27,http://kayak.com/flights/MAD-ATH/2023-03-20/2023-03-27/,106.68,1.0
Dallas,Estados Unidos,1476,610.63,Delta,DFW,2023-02-14,2023-02-21,http://kayak.com/flights/MAD-DFW/2023-02-14/2023-02-21/,610.63,1.0
Denver,Estados Unidos,1066,655.69,Várias companhias aéreas,DEN,2023-03-09,2023-03-14,http://kayak.com/flights/MAD-DEN/2023-03-09/2023-03-14/,655.69,1.0
Chicago,Estados Unidos,735,348.54,Air France,ORD,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-ORD/2023-02-27/2023-03-06/,348.54,1.0
Milão,Itália,140,38.63,Ryanair,MIL,2023-03-22,2023-03-26,http://kayak.com/flights/MAD-MIL/2023-03-22/2023-03-26/,38.63,1.0
Telavive,Israel,1635,115.88,Várias companhias aéreas,TLV,2023-01-31,2023-02-07,http://kayak.com/flights/MAD-TLV/2023-01-31/2023-02-07/,115.88,1.0
Varsóvia,Polónia,575,62.54,Ryanair,WAW,2023-03-01,2023-03-06,http://kayak.com/flights/MAD-WAW/2023-03-01/2023-03-06/,62.54,1.0
Orlando,Estados Unidos,1585,492.92,Air Transat,MCO,2023-05-15,2023-05-21,http://kayak.com/flights/MAD-MCO/2023-05-15/2023-05-21/,492.92,1.0
Manchester,Reino Unido,365,85.53,Várias companhias aéreas,MAN,2023-01-31,2023-02-04,http://kayak.com/flights/MAD-MAN/2023-01-31/2023-02-04/,85.53,1.0
Fort Lauderdale,Estados Unidos,1175,422.11,KLM,FLL,2023-02-04,2023-02-11,http://kayak.com/flights/MAD-FLL/2023-02-04/2023-02-11/,422.11,1.0
Tóquio,Japão,2000,615.22,ITA Airways,TYO,2023-11-11,2023-11-18,http://kayak.com/flights/MAD-TYO/2023-11-11/2023-11-18/,615.22,1.0
Dublin,Irlanda,160,48.74,Ryanair,DUB,2023-03-01,2023-03-07,http://kayak.com/flights/MAD-DUB/2023-03-01/2023-03-07/,48.74,1.0
Denpasar,Indonésia,1875,783.51,Iberia,DPS,2023-11-01,2023-11-07,http://kayak.com/flights/MAD-DPS/2023-11-01/2023-11-07/,783.51,1.0
Phoenix,Estados Unidos,3538,865.36,Várias companhias aéreas,PHX,2023-04-02,2023-04-09,http://kayak.com/flights/MAD-PHX/2023-04-02/2023-04-09/,865.36,1.0
"Washington, D.C.",Estados Unidos,1505,287.84,PLAY,WAS,2023-02-03,2023-02-09,http://kayak.com/flights/MAD-WAS/2023-02-03/2023-02-09/,287.84,1.0
Bruxelas,Bélgica,145,41.39,Ryanair,BRU,2023-03-14,2023-03-18,http://kayak.com/flights/MAD-BRU/2023-03-14/2023-03-18/,41.39,1.0
Dusseldorf,Alemanha,340,137.03,Várias companhias aéreas,DUS,2023-02-16,2023-02-21,http://kayak.com/flights/MAD-DUS/2023-02-16/2023-02-21/,137.03,1.0
Porto,Portugal,75,26.67,Ryanair,OPO,2023-04-11,2023-04-17,http://kayak.com/flights/MAD-OPO/2023-04-11/2023-04-17/,26.67,1.0
Málaga,Espanha,380,59.78,Várias companhias aéreas,AGP,2023-03-17,2023-03-21,http://kayak.com/flights/MAD-AGP/2023-03-17/2023-03-21/,59.78,1.0
Mumbai,Índia,2735,556.37,Várias companhias aéreas,BOM,2023-02-04,2023-02-11,http://kayak.com/flights/MAD-BOM/2023-02-04/2023-02-11/,556.37,1.0
Oslo,Noruega,1475,90.13,Várias companhias aéreas,OSL,2023-03-08,2023-03-12,http://kayak.com/flights/MAD-OSL/2023-03-08/2023-03-12/,90.13,1.0
Joanesburgo,África do Sul,1180,535.22,British Airways,JNB,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-JNB/2023-02-27/2023-03-06/,535.22,1.0
Palma de Maiorca,Espanha,90,25.75,Ryanair,PMI,2023-05-14,2023-05-21,http://kayak.com/flights/MAD-PMI/2023-05-14/2023-05-21/,25.75,1.0
Minneapolis,Estados Unidos,1297,652.01,Várias companhias aéreas,MSP,2023-03-16,2023-03-20,http://kayak.com/flights/MAD-MSP/2023-03-16/2023-03-20/,652.01,1.0
Melbourne,Austrália,3200,1139.4,Várias companhias aéreas,MEL,2023-11-13,2023-11-19,http://kayak.com/flights/MAD-MEL/2023-11-13/2023-11-19/,1139.4,1.0
Lima,Perú,730,418.43,Plus Ultra,LIM,2023-03-01,2023-03-06,http://kayak.com/flights/MAD-LIM/2023-03-01/2023-03-06/,418.43,1.0
Helsínquia,Finlândia,815,103.92,Ryanair,HEL,2023-03-21,2023-03-28,http://kayak.com/flights/MAD-HEL/2023-03-21/2023-03-28/,103.92,1.0
Filadélfia,Estados Unidos,1723,445.1,Delta,PHL,2023-02-18,2023-02-25,http://kayak.com/flights/MAD-PHL/2023-02-18/2023-02-25/,445.1,1.0
São Paulo,Brasil,1890,648.33,Delta,SAO,2023-01-31,2023-02-06,http://kayak.com/flights/MAD-SAO/2023-01-31/2023-02-06/,648.33,1.0
Hamburgo,Alemanha,1195,109.44,Ryanair,HAM,2023-04-04,2023-04-11,http://kayak.com/flights/MAD-HAM/2023-04-04/2023-04-11/,109.44,1.0
Toronto,Canadá,880,392.68,Air Transat,YTO,2023-06-14,2023-06-20,http://kayak.com/flights/MAD-YTO/2023-06-14/2023-06-20/,392.68,1.0
Honolulu,Estados Unidos,1395,856.16,Lufthansa,HNL,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-HNL/2023-02-27/2023-03-06/,856.16,1.0
Tampa,Estados Unidos,1135,589.48,KLM,TPA,2023-02-18,2023-02-25,http://kayak.com/flights/MAD-TPA/2023-02-18/2023-02-25/,589.48,1.0
Lyon,França,115,78.17,Iberia,LYS,2023-08-02,2023-08-08,http://kayak.com/flights/MAD-LYS/2023-08-02/2023-08-08/,78.17,1.0
Vancouver,Canadá,1192,592.23,Air Canada,YVR,2023-06-01,2023-06-05,http://kayak.com/flights/MAD-YVR/2023-06-01/2023-06-05/,592.23,1.0
San José,Costa Rica,1528,545.33,Várias companhias aéreas,SJO,2023-05-19,2023-05-26,http://kayak.com/flights/MAD-SJO/2023-05-19/2023-05-26/,545.33,1.0
San Juan,Porto Rico,1459,555.45,Várias companhias aéreas,SJU,2023-01-30,2023-02-04,http://kayak.com/flights/MAD-SJU/2023-01-30/2023-02-04/,555.45,1.0
Estocolmo,Suécia,740,83.69,Ryanair,STO,2023-03-21,2023-03-25,http://kayak.com/flights/MAD-STO/2023-03-21/2023-03-25/,83.69,1.0
Osaka,Japão,2115,899.38,Várias companhias aéreas,KIX,2023-09-13,2023-09-20,http://kayak.com/flights/MAD-KIX/2023-09-13/2023-09-20/,899.38,1.0
Praga,República Checa,185,80.01,Ryanair,PRG,2023-05-20,2023-05-27,http://kayak.com/flights/MAD-PRG/2023-05-20/2023-05-27/,80.01,1.0
Kuala Lumpur,Malásia,1985,811.1,Finnair,KUL,2023-03-28,2023-04-03,http://kayak.com/flights/MAD-KUL/2023-03-28/2023-04-03/,811.1,1.0
Budapeste,Hungria,1480,91.05,Várias companhias aéreas,BUD,2023-03-22,2023-03-26,http://kayak.com/flights/MAD-BUD/2023-03-22/2023-03-26/,91.05,1.0
Veneza,Itália,160,60.7,Ryanair,VCE,2023-05-17,2023-05-22,http://kayak.com/flights/MAD-VCE/2023-05-17/2023-05-22/,60.7,1.0
Cairo,Egito,1695,222.55,Várias companhias aéreas,CAI,2023-11-13,2023-11-20,http://kayak.com/flights/MAD-CAI/2023-11-13/2023-11-20/,222.55,1.0
Seul,Coreia do Sul,2040,514.07,LOT,SEL,2023-11-23,2023-11-28,http://kayak.com/flights/MAD-SEL/2023-11-23/2023-11-28/,514.07,1.0
Santiago,Chile,1695,768.8,Várias companhias aéreas,SCL,2023-05-04,2023-05-08,http://kayak.com/flights/MAD-SCL/2023-05-04/2023-05-08/,768.8,1.0
Genebra,Suíça,125,59.78,easyJet,GVA,2023-03-08,2023-03-13,http://kayak.com/flights/MAD-GVA/2023-03-08/2023-03-13/,59.78,1.0
São Diego,Estados Unidos,1389,621.66,Delta,SAN,2023-02-11,2023-02-18,http://kayak.com/flights/MAD-SAN/2023-02-11/2023-02-18/,621.66,1.0
Buenos Aires,Argentina,1835,789.03,LATAM Airlines,BUE,2023-11-11,2023-11-18,http://kayak.com/flights/MAD-BUE/2023-11-11/2023-11-18/,789.03,1.0
Marselha,França,115,30.35,Ryanair,MRS,2023-03-22,2023-03-27,http://kayak.com/flights/MAD-MRS/2023-03-22/2023-03-27/,30.35,1.0
Cidade de Ho Chi Minh,Vietname,1470,900.3,Iberia,SGN,2023-12-26,2024-01-02,http://kayak.com/flights/MAD-SGN/2023-12-26/2024-01-02/,900.3,1.0
Houston,Estados Unidos,1188,788.11,Várias companhias aéreas,IAH,2023-03-28,2023-04-04,http://kayak.com/flights/MAD-IAH/2023-03-28/2023-04-04/,788.11,1.0
Nice,França,125,78.17,Iberia,NCE,2023-03-22,2023-03-26,http://kayak.com/flights/MAD-NCE/2023-03-22/2023-03-26/,78.17,1.0
Cidade do Cabo,África do Sul,860,598.67,TAAG,CPT,2023-05-12,2023-05-16,http://kayak.com/flights/MAD-CPT/2023-05-12/2023-05-16/,598.67,1.0
Austin,Estados Unidos,1036,609.71,Delta,AUS,2023-02-27,2023-03-06,http://kayak.com/flights/MAD-AUS/2023-02-27/2023-03-06/,609.71,1.0
Nápoles,Itália,165,42.31,Ryanair,NAP,2023-04-19,2023-04-26,http://kayak.com/flights/MAD-NAP/2023-04-19/2023-04-26/,42.31,1.0
Billund,Dinamarca,185,28.51,Ryanair,BLL,2023-02-15,2023-02-22,http://kayak.com/flights/MAD-BLL/2023-02-15/2023-02-22/,28.51,1.0
Charlotte,Estados Unidos,1005,611.55,Lufthansa,CLT,2023-11-18,2023-11-25,http://kayak.com/flights/MAD-CLT/2023-11-18/2023-11-25/,611.55,1.0
Montreal,Canadá,1604,469.01,United Airlines,YUL,2023-09-05,2023-09-11,http://kayak.com/flights/MAD-YUL/2023-09-05/2023-09-11/,469.01,1.0
