City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1165,930.47,Qatar Airways,ICN,2023-03-28,2023-04-03,http://kayak.com/flights/MXP-ICN/2023-03-28/2023-04-03/,930.47,1.0
Paris,França,90,71.58,Vueling,PAR,2023-04-08,2023-04-14,http://kayak.com/flights/MXP-PAR/2023-04-08/2023-04-14/,71.58,1.0
Nova Iorque,Estados Unidos,1425,360.7,Scandinavian Airlines,NYC,2023-09-05,2023-09-12,http://kayak.com/flights/MXP-NYC/2023-09-05/2023-09-12/,360.7,1.0
Los Angeles,Estados Unidos,1480,463.36,Scandinavian Airlines,LAX,2023-10-18,2023-10-24,http://kayak.com/flights/MXP-LAX/2023-10-18/2023-10-24/,463.36,1.0
Londres,Reino Unido,120,62.16,Ryanair,LON,2023-05-01,2023-05-08,http://kayak.com/flights/MXP-LON/2023-05-01/2023-05-08/,62.16,1.0
Copenhaga,Dinamarca,1545,147.86,Ryanair,CPH,2023-05-25,2023-06-01,http://kayak.com/flights/MXP-CPH/2023-05-25/2023-06-01/,147.86,1.0
Banguecoque,Tailândia,1350,569.78,Air China,BKK,2023-05-14,2023-05-20,http://kayak.com/flights/MXP-BKK/2023-05-14/2023-05-20/,569.78,1.0
Madrid,Espanha,140,77.23,Ryanair,MAD,2023-03-30,2023-04-03,http://kayak.com/flights/MXP-MAD/2023-03-30/2023-04-03/,77.23,1.0
Barcelona,Espanha,105,52.74,easyJet,BCN,2023-06-24,2023-06-30,http://kayak.com/flights/MXP-BCN/2023-06-24/2023-06-30/,52.74,1.0
Miami,Estados Unidos,1615,399.32,TAP AIR PORTUGAL,MIA,2023-11-21,2023-11-26,http://kayak.com/flights/MXP-MIA/2023-11-21/2023-11-26/,399.32,1.0
São Francisco,Estados Unidos,1150,510.44,British Airways,SFO,2023-05-21,2023-05-28,http://kayak.com/flights/MXP-SFO/2023-05-21/2023-05-28/,510.44,1.0
Boston,Estados Unidos,1605,647.0,Várias companhias aéreas,BOS,2023-04-15,2023-04-19,http://kayak.com/flights/MXP-BOS/2023-04-15/2023-04-19/,647.0,1.0
Lisboa,Portugal,170,60.28,easyJet,LIS,2023-05-24,2023-05-31,http://kayak.com/flights/MXP-LIS/2023-05-24/2023-05-31/,60.28,1.0
Viena,Áustria,90,44.27,Ryanair,VIE,2023-07-08,2023-07-15,http://kayak.com/flights/MXP-VIE/2023-07-08/2023-07-15/,44.27,1.0
Frankfurt,Alemanha,495,202.49,Várias companhias aéreas,FRA,2023-03-16,2023-03-23,http://kayak.com/flights/MXP-FRA/2023-03-16/2023-03-23/,202.49,1.0
Amesterdão,Holanda,115,89.47,easyJet,AMS,2023-09-10,2023-09-17,http://kayak.com/flights/MXP-AMS/2023-09-10/2023-09-17/,89.47,1.0
Las Vegas,Estados Unidos,1585,709.16,Air Canada,LAS,2023-08-30,2023-09-06,http://kayak.com/flights/MXP-LAS/2023-08-30/2023-09-06/,709.16,1.0
Manila,Filipinas,1240,942.72,Várias companhias aéreas,MNL,2023-03-12,2023-03-19,http://kayak.com/flights/MXP-MNL/2023-03-12/2023-03-19/,942.72,1.0
Newark,Estados Unidos,1425,360.7,Scandinavian Airlines,EWR,2023-09-05,2023-09-12,http://kayak.com/flights/MXP-EWR/2023-09-05/2023-09-12/,360.7,1.0
Atlanta,Estados Unidos,1797,544.35,Várias companhias aéreas,ATL,2023-05-01,2023-05-07,http://kayak.com/flights/MXP-ATL/2023-05-01/2023-05-07/,544.35,1.0
Nova Deli,Índia,1770,522.69,Gulf Air,DEL,2023-04-10,2023-04-17,http://kayak.com/flights/MXP-DEL/2023-04-10/2023-04-17/,522.69,1.0
