City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1585,906.8,Qatar Airways,ICN,2023-10-12,2023-10-17,http://kayak.com/flights/OPO-ICN/2023-10-12/2023-10-17/,906.8,1.0
Paris,França,140,57.77,Vueling,PAR,2024-01-11,2024-01-15,http://kayak.com/flights/OPO-PAR/2024-01-11/2024-01-15/,57.77,1.0
Nova Iorque,Estados Unidos,1121,423.6,Delta,NYC,2023-09-07,2023-09-12,http://kayak.com/flights/OPO-NYC/2023-09-07/2023-09-12/,423.6,1.0
Londres,Reino Unido,720,61.44,Ryanair,LON,2023-05-04,2023-05-08,http://kayak.com/flights/OPO-LON/2023-05-04/2023-05-08/,61.44,1.0
Los Angeles,Estados Unidos,1205,629.9,Várias companhias aéreas,LAX,2023-09-30,2023-10-07,http://kayak.com/flights/OPO-LAX/2023-09-30/2023-10-07/,629.9,1.0
Copenhaga,Dinamarca,775,132.95,SWISS,CPH,2023-09-14,2023-09-18,http://kayak.com/flights/OPO-CPH/2023-09-14/2023-09-18/,132.95,1.0
Barcelona,Espanha,115,42.18,Ryanair,BCN,2023-05-17,2023-05-22,http://kayak.com/flights/OPO-BCN/2023-05-17/2023-05-22/,42.18,1.0
Madrid,Espanha,85,32.1,easyJet,MAD,2023-05-05,2023-05-09,http://kayak.com/flights/OPO-MAD/2023-05-05/2023-05-09/,32.1,1.0
São Francisco,Estados Unidos,875,621.65,Várias companhias aéreas,SFO,2023-09-30,2023-10-07,http://kayak.com/flights/OPO-SFO/2023-09-30/2023-10-07/,621.65,1.0
Banguecoque,Tailândia,1580,1081.92,Várias companhias aéreas,BKK,2023-06-05,2023-06-10,http://kayak.com/flights/OPO-BKK/2023-06-05/2023-06-10/,1081.92,1.0
Miami,Estados Unidos,1906,480.45,American Airlines,MIA,2023-04-27,2023-05-04,http://kayak.com/flights/OPO-MIA/2023-04-27/2023-05-04/,480.45,1.0
Boston,Estados Unidos,985,489.62,Várias companhias aéreas,BOS,2023-09-22,2023-09-28,http://kayak.com/flights/OPO-BOS/2023-09-22/2023-09-28/,489.62,1.0
Lisboa,Portugal,60,79.77,TAP AIR PORTUGAL,LIS,2023-05-04,2023-05-11,http://kayak.com/flights/OPO-LIS/2023-05-04/2023-05-11/,79.77,1.0
Viena,Áustria,585,136.62,Várias companhias aéreas,VIE,2023-05-05,2023-05-09,http://kayak.com/flights/OPO-VIE/2023-05-05/2023-05-09/,136.62,1.0
Frankfurt,Alemanha,2970,130.2,Ryanair,FRA,2023-07-12,2023-07-16,http://kayak.com/flights/OPO-FRA/2023-07-12/2023-07-16/,130.2,1.0
Amesterdão,Holanda,1565,150.37,Várias companhias aéreas,AMS,2023-05-02,2023-05-06,http://kayak.com/flights/OPO-AMS/2023-05-02/2023-05-06/,150.37,1.0
Berlim,Alemanha,1020,121.03,Ryanair,BER,2023-05-10,2023-05-15,http://kayak.com/flights/OPO-BER/2023-05-10/2023-05-15/,121.03,1.0
Roma,Itália,190,62.35,Wizz Air Malta,ROM,2023-11-25,2023-12-02,http://kayak.com/flights/OPO-ROM/2023-11-25/2023-12-02/,62.35,1.0
Istambul,Turquia,1360,273.24,Várias companhias aéreas,IST,2023-05-16,2023-05-21,http://kayak.com/flights/OPO-IST/2023-05-16/2023-05-21/,273.24,1.0
Las Vegas,Estados Unidos,1694,733.51,KLM,LAS,2023-10-08,2023-10-15,http://kayak.com/flights/OPO-LAS/2023-10-08/2023-10-15/,733.51,1.0
Atlanta,Estados Unidos,1443,615.23,Várias companhias aéreas,ATL,2023-04-26,2023-05-01,http://kayak.com/flights/OPO-ATL/2023-04-26/2023-05-01/,615.23,1.0
Manila,Filipinas,1645,954.48,Várias companhias aéreas,MNL,2024-03-21,2024-03-28,http://kayak.com/flights/OPO-MNL/2024-03-21/2024-03-28/,954.48,1.0
Newark,Estados Unidos,1121,423.6,Delta,EWR,2023-09-07,2023-09-12,http://kayak.com/flights/OPO-EWR/2023-09-07/2023-09-12/,423.6,1.0
Munique,Alemanha,765,271.4,Air Europa,MUC,2023-07-24,2023-07-30,http://kayak.com/flights/OPO-MUC/2023-07-24/2023-07-30/,271.4,1.0
Nova Deli,Índia,1995,696.83,Várias companhias aéreas,DEL,2023-05-07,2023-05-11,http://kayak.com/flights/OPO-DEL/2023-05-07/2023-05-11/,696.83,1.0
Dubai,Emirados Árabes Unidos,1780,540.96,SWISS,DXB,2023-11-28,2023-12-02,http://kayak.com/flights/OPO-DXB/2023-11-28/2023-12-02/,540.96,1.0
Seattle,Estados Unidos,2005,996.65,Turkish Airlines,SEA,2023-06-12,2023-06-19,http://kayak.com/flights/OPO-SEA/2023-06-12/2023-06-19/,996.65,1.0
Atenas,Grécia,1610,253.98,SWISS,ATH,2023-05-06,2023-05-13,http://kayak.com/flights/OPO-ATH/2023-05-06/2023-05-13/,253.98,1.0
Cidade do México,México,1356,688.58,American Airlines,MEX,2023-05-04,2023-05-09,http://kayak.com/flights/OPO-MEX/2023-05-04/2023-05-09/,688.58,1.0
Dallas,Estados Unidos,3564,1102.09,KLM,DFW,2023-06-24,2023-07-01,http://kayak.com/flights/OPO-DFW/2023-06-24/2023-07-01/,1102.09,1.0
Palma de Maiorca,Espanha,530,79.77,Várias companhias aéreas,PMI,2023-05-27,2023-06-03,http://kayak.com/flights/OPO-PMI/2023-05-27/2023-06-03/,79.77,1.0
Zurique,Suíça,155,85.27,easyJet,ZRH,2023-05-18,2023-05-23,http://kayak.com/flights/OPO-ZRH/2023-05-18/2023-05-23/,85.27,1.0
Singapura,Singapura,1850,1199.28,SWISS,SIN,2023-07-02,2023-07-08,http://kayak.com/flights/OPO-SIN/2023-07-02/2023-07-08/,1199.28,1.0
Bogotá,Colômbia,890,756.43,Várias companhias aéreas,BOG,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-BOG/2023-09-06/2023-09-13/,756.43,1.0
Milão,Itália,160,76.11,easyJet,MIL,2023-05-11,2023-05-15,http://kayak.com/flights/OPO-MIL/2023-05-11/2023-05-15/,76.11,1.0
Sydney,Austrália,3550,1656.81,Várias companhias aéreas,SYD,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-SYD/2023-05-09/2023-05-16/,1656.81,1.0
Chicago,Estados Unidos,1031,635.4,Várias companhias aéreas,ORD,2023-05-17,2023-05-21,http://kayak.com/flights/OPO-ORD/2023-05-17/2023-05-21/,635.4,1.0
Telavive,Israel,1505,215.47,Várias companhias aéreas,TLV,2023-05-05,2023-05-10,http://kayak.com/flights/OPO-TLV/2023-05-05/2023-05-10/,215.47,1.0
Bruxelas,Bélgica,1465,166.88,Ryanair,BRU,2023-05-01,2023-05-05,http://kayak.com/flights/OPO-BRU/2023-05-01/2023-05-05/,166.88,1.0
Toronto,Canadá,990,871.04,Várias companhias aéreas,YYZ,2023-08-10,2023-08-14,http://kayak.com/flights/OPO-YYZ/2023-08-10/2023-08-14/,871.04,1.0
Málaga,Espanha,805,85.27,Ryanair,AGP,2023-05-14,2023-05-19,http://kayak.com/flights/OPO-AGP/2023-05-14/2023-05-19/,85.27,1.0
Orlando,Estados Unidos,1033,688.58,KLM,MCO,2023-08-22,2023-08-29,http://kayak.com/flights/OPO-MCO/2023-08-22/2023-08-29/,688.58,1.0
Estocolmo,Suécia,1555,88.94,Ryanair,STO,2023-05-18,2023-05-23,http://kayak.com/flights/OPO-STO/2023-05-18/2023-05-23/,88.94,1.0
Dublin,Irlanda,150,84.36,Ryanair,DUB,2023-08-24,2023-08-28,http://kayak.com/flights/OPO-DUB/2023-08-24/2023-08-28/,84.36,1.0
Joanesburgo,África do Sul,920,631.74,Várias companhias aéreas,JNB,2023-05-10,2023-05-16,http://kayak.com/flights/OPO-JNB/2023-05-10/2023-05-16/,631.74,1.0
Manchester,Reino Unido,145,63.27,Ryanair,MAN,2023-05-17,2023-05-22,http://kayak.com/flights/OPO-MAN/2023-05-17/2023-05-22/,63.27,1.0
"Washington, D.C.",Estados Unidos,1240,452.94,Várias companhias aéreas,WAS,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-WAS/2023-09-18/2023-09-25/,452.94,1.0
Oslo,Noruega,2180,147.62,Várias companhias aéreas,OSL,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-OSL/2023-05-09/2023-05-16/,147.62,1.0
Cancún,México,1628,519.88,American Airlines,CUN,2023-08-31,2023-09-06,http://kayak.com/flights/OPO-CUN/2023-08-31/2023-09-06/,519.88,1.0
Praga,República Checa,980,117.37,Ryanair,PRG,2023-06-15,2023-06-20,http://kayak.com/flights/OPO-PRG/2023-06-15/2023-06-20/,117.37,1.0
Vancouver,Canadá,2030,859.12,Várias companhias aéreas,YVR,2023-06-12,2023-06-19,http://kayak.com/flights/OPO-YVR/2023-06-12/2023-06-19/,859.12,1.0
Tóquio,Japão,2005,1042.5,Várias companhias aéreas,TYO,2023-06-06,2023-06-13,http://kayak.com/flights/OPO-TYO/2023-06-06/2023-06-13/,1042.5,1.0
Fort Lauderdale,Estados Unidos,2092,508.87,Iberia,FLL,2023-10-24,2023-10-28,http://kayak.com/flights/OPO-FLL/2023-10-24/2023-10-28/,508.87,1.0
Lyon,França,130,138.45,easyJet,LYS,2023-04-29,2023-05-03,http://kayak.com/flights/OPO-LYS/2023-04-29/2023-05-03/,138.45,1.0
Helsínquia,Finlândia,1730,218.22,Ryanair,HEL,2023-06-22,2023-06-26,http://kayak.com/flights/OPO-HEL/2023-06-22/2023-06-26/,218.22,1.0
Hamburgo,Alemanha,335,154.96,Lufthansa,HAM,2023-11-30,2023-12-05,http://kayak.com/flights/OPO-HAM/2023-11-30/2023-12-05/,154.96,1.0
Hong Kong,Hong Kong,1255,822.45,Várias companhias aéreas,HKG,2024-03-21,2024-03-28,http://kayak.com/flights/OPO-HKG/2024-03-21/2024-03-28/,822.45,1.0
Cairo,Egito,1000,327.33,Várias companhias aéreas,CAI,2023-10-10,2023-10-16,http://kayak.com/flights/OPO-CAI/2023-10-10/2023-10-16/,327.33,1.0
Nice,França,145,154.04,easyJet,NCE,2023-07-02,2023-07-08,http://kayak.com/flights/OPO-NCE/2023-07-02/2023-07-08/,154.04,1.0
Denpasar,Indonésia,1790,1024.16,Várias companhias aéreas,DPS,2024-01-17,2024-01-22,http://kayak.com/flights/OPO-DPS/2024-01-17/2024-01-22/,1024.16,1.0
Budapeste,Hungria,965,108.2,Várias companhias aéreas,BUD,2023-05-04,2023-05-10,http://kayak.com/flights/OPO-BUD/2023-05-04/2023-05-10/,108.2,1.0
San Juan,Porto Rico,2289,842.62,Várias companhias aéreas,SJU,2023-06-02,2023-06-06,http://kayak.com/flights/OPO-SJU/2023-06-02/2023-06-06/,842.62,1.0
Kuala Lumpur,Malásia,2220,1026.91,Qatar Airways,KUL,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-KUL/2023-05-09/2023-05-16/,1026.91,1.0
Marselha,França,130,83.44,Ryanair,MRS,2023-04-20,2023-04-24,http://kayak.com/flights/OPO-MRS/2023-04-20/2023-04-24/,83.44,1.0
Melbourne,Austrália,3035,1406.5,Várias companhias aéreas,MEL,2023-11-06,2023-11-10,http://kayak.com/flights/OPO-MEL/2023-11-06/2023-11-10/,1406.5,1.0
Tampa,Estados Unidos,2099,1020.49,Várias companhias aéreas,TPA,2023-06-22,2023-06-28,http://kayak.com/flights/OPO-TPA/2023-06-22/2023-06-28/,1020.49,1.0
São Paulo,Brasil,1545,878.38,Air Europa,SAO,2023-05-24,2023-05-31,http://kayak.com/flights/OPO-SAO/2023-05-24/2023-05-31/,878.38,1.0
Osaka,Japão,2300,1240.54,Várias companhias aéreas,KIX,2023-10-14,2023-10-21,http://kayak.com/flights/OPO-KIX/2023-10-14/2023-10-21/,1240.54,1.0
Honolulu,Estados Unidos,3127,904.05,British Airways,HNL,2023-09-06,2023-09-13,http://kayak.com/flights/OPO-HNL/2023-09-06/2023-09-13/,904.05,1.0
Genebra,Suíça,140,89.86,easyJet,GVA,2023-12-01,2023-12-06,http://kayak.com/flights/OPO-GVA/2023-12-01/2023-12-06/,89.86,1.0
Veneza,Itália,1535,141.2,Várias companhias aéreas,VCE,2023-07-03,2023-07-10,http://kayak.com/flights/OPO-VCE/2023-07-03/2023-07-10/,141.2,1.0
Seul,Coreia do Sul,1585,906.8,Qatar Airways,SEL,2023-10-12,2023-10-17,http://kayak.com/flights/OPO-SEL/2023-10-12/2023-10-17/,906.8,1.0
Billund,Dinamarca,190,52.27,Ryanair,BLL,2023-05-16,2023-05-20,http://kayak.com/flights/OPO-BLL/2023-05-16/2023-05-20/,52.27,1.0
Nápoles,Itália,985,130.2,Ryanair,NAP,2023-09-05,2023-09-12,http://kayak.com/flights/OPO-NAP/2023-09-05/2023-09-12/,130.2,1.0
Cidade do Cabo,África do Sul,1440,1390.0,KLM,CPT,2023-07-16,2023-07-23,http://kayak.com/flights/OPO-CPT/2023-07-16/2023-07-23/,1390.0,1.0
San José,Costa Rica,1090,770.18,Várias companhias aéreas,SJO,2023-05-09,2023-05-16,http://kayak.com/flights/OPO-SJO/2023-05-09/2023-05-16/,770.18,1.0
