City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,2085,900.46,Finnair,ICN,2023-08-28,2023-09-03,http://kayak.com/flights/LIS-ICN/2023-08-28/2023-09-03/,900.46,1
Paris,França,155,52.6,Ryanair,PAR,2023-10-12,2023-10-17,http://kayak.com/flights/LIS-PAR/2023-10-12/2023-10-17/,52.6,1
Londres,Reino Unido,170,71.64,Ryanair,LON,2023-11-10,2023-11-14,http://kayak.com/flights/LIS-LON/2023-11-10/2023-11-14/,71.64,1
Nova Iorque,Estados Unidos,1520,342.78,PLAY,NYC,2023-10-16,2023-10-22,http://kayak.com/flights/LIS-NYC/2023-10-16/2023-10-22/,342.78,1
Los Angeles,Estados Unidos,1790,692.8,Várias companhias aéreas,LAX,2023-05-30,2023-06-06,http://kayak.com/flights/LIS-LAX/2023-05-30/2023-06-06/,692.8,1
Copenhaga,Dinamarca,705,133.3,Ryanair,CPH,2023-09-21,2023-09-25,http://kayak.com/flights/LIS-CPH/2023-09-21/2023-09-25/,133.3,1
Madrid,Espanha,85,33.56,easyJet,MAD,2023-05-24,2023-05-30,http://kayak.com/flights/LIS-MAD/2023-05-24/2023-05-30/,33.56,1
Barcelona,Espanha,420,63.48,Vueling,BCN,2023-06-09,2023-06-14,http://kayak.com/flights/LIS-BCN/2023-06-09/2023-06-14/,63.48,1
São Francisco,Estados Unidos,1650,633.86,Várias companhias aéreas,SFO,2023-09-08,2023-09-15,http://kayak.com/flights/LIS-SFO/2023-09-08/2023-09-15/,633.86,1
Frankfurt,Alemanha,190,157.79,TAP AIR PORTUGAL,FRA,2023-11-16,2023-11-22,http://kayak.com/flights/LIS-FRA/2023-11-16/2023-11-22/,157.79,1
Viena,Áustria,925,139.65,Ryanair,VIE,2023-06-20,2023-06-24,http://kayak.com/flights/LIS-VIE/2023-06-20/2023-06-24/,139.65,1
Miami,Estados Unidos,805,383.58,Várias companhias aéreas,MIA,2023-09-25,2023-10-02,http://kayak.com/flights/LIS-MIA/2023-09-25/2023-10-02/,383.58,1
Amesterdão,Holanda,195,120.61,Vueling,AMS,2023-09-15,2023-09-19,http://kayak.com/flights/LIS-AMS/2023-09-15/2023-09-19/,120.61,1
Banguecoque,Tailândia,1415,756.28,Várias companhias aéreas,BKK,2024-01-30,2024-02-05,http://kayak.com/flights/LIS-BKK/2024-01-30/2024-02-05/,756.28,1
Boston,Estados Unidos,810,550.43,Várias companhias aéreas,BOS,2023-05-18,2023-05-23,http://kayak.com/flights/LIS-BOS/2023-05-18/2023-05-23/,550.43,1
Istambul,Turquia,1315,216.73,Várias companhias aéreas,IST,2023-12-06,2023-12-10,http://kayak.com/flights/LIS-IST/2023-12-06/2023-12-10/,216.73,1
Roma,Itália,190,59.85,Ryanair,ROM,2023-10-19,2023-10-25,http://kayak.com/flights/LIS-ROM/2023-10-19/2023-10-25/,59.85,1
Berlim,Alemanha,2090,158.7,Ryanair,BER,2023-06-30,2023-07-05,http://kayak.com/flights/LIS-BER/2023-06-30/2023-07-05/,158.7,1
Telavive,Israel,1280,187.71,Várias companhias aéreas,TLV,2024-02-16,2024-02-21,http://kayak.com/flights/LIS-TLV/2024-02-16/2024-02-21/,187.71,1
