City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Incheon,Coreia do Sul,1825,664.51,Turkish Airlines,ICN,2023-11-20,2023-11-24,http://kayak.com/flights/NAP-ICN/2023-11-20/2023-11-24/,664.51,1.0
Paris,França,500,95.07,Ryanair,PAR,2023-06-19,2023-06-23,http://kayak.com/flights/NAP-PAR/2023-06-19/2023-06-23/,95.07,1.0
Nova Iorque,Estados Unidos,2232,480.91,United Airlines,NYC,2024-01-01,2024-01-07,http://kayak.com/flights/NAP-NYC/2024-01-01/2024-01-07/,480.91,1.0
Los Angeles,Estados Unidos,1355,976.72,ITA Airways,LAX,2023-06-25,2023-07-02,http://kayak.com/flights/NAP-LAX/2023-06-25/2023-07-02/,976.72,1.0
Londres,Reino Unido,755,93.2,Ryanair,LON,2023-08-03,2023-08-08,http://kayak.com/flights/NAP-LON/2023-08-03/2023-08-08/,93.2,1.0
Copenhaga,Dinamarca,170,197.58,Ryanair,CPH,2023-09-07,2023-09-12,http://kayak.com/flights/NAP-CPH/2023-09-07/2023-09-12/,197.58,1.0
São Francisco,Estados Unidos,1230,463.2,Várias companhias aéreas,SFO,2023-11-23,2023-11-30,http://kayak.com/flights/NAP-SFO/2023-11-23/2023-11-30/,463.2,1.0
Madrid,Espanha,165,84.82,Iberia,MAD,2024-01-31,2024-02-04,http://kayak.com/flights/NAP-MAD/2024-01-31/2024-02-04/,84.82,1.0
Banguecoque,Tailândia,2425,857.43,SWISS,BKK,2023-06-24,2023-07-01,http://kayak.com/flights/NAP-BKK/2023-06-24/2023-07-01/,857.43,1.0
Barcelona,Espanha,360,91.34,Várias companhias aéreas,BCN,2023-09-23,2023-09-30,http://kayak.com/flights/NAP-BCN/2023-09-23/2023-09-30/,91.34,1.0
Miami,Estados Unidos,1570,648.66,Turkish Airlines,MIA,2023-10-14,2023-10-20,http://kayak.com/flights/NAP-MIA/2023-10-14/2023-10-20/,648.66,1.0
Boston,Estados Unidos,1195,744.66,Várias companhias aéreas,BOS,2023-06-26,2023-07-02,http://kayak.com/flights/NAP-BOS/2023-06-26/2023-07-02/,744.66,1.0
Viena,Áustria,105,60.58,Ryanair,VIE,2023-11-06,2023-11-13,http://kayak.com/flights/NAP-VIE/2023-11-06/2023-11-13/,60.58,1.0
Frankfurt,Alemanha,735,176.15,ITA Airways,FRA,2023-08-17,2023-08-21,http://kayak.com/flights/NAP-FRA/2023-08-17/2023-08-21/,176.15,1.0
Lisboa,Portugal,1390,171.49,Várias companhias aéreas,LIS,2023-06-07,2023-06-12,http://kayak.com/flights/NAP-LIS/2023-06-07/2023-06-12/,171.49,1.0
Amesterdão,Holanda,515,163.1,Várias companhias aéreas,AMS,2023-06-23,2023-06-28,http://kayak.com/flights/NAP-AMS/2023-06-23/2023-06-28/,163.1,1.0
Nova Deli,Índia,2010,716.7,Várias companhias aéreas,DEL,2023-05-26,2023-06-02,http://kayak.com/flights/NAP-DEL/2023-05-26/2023-06-02/,716.7,1.0
Istambul,Turquia,1180,291.71,Várias companhias aéreas,IST,2023-06-11,2023-06-17,http://kayak.com/flights/NAP-IST/2023-06-11/2023-06-17/,291.71,1.0
Las Vegas,Estados Unidos,1212,1066.19,British Airways,LAS,2023-08-18,2023-08-25,http://kayak.com/flights/NAP-LAS/2023-08-18/2023-08-25/,1066.19,1.0
Dubai,Emirados Árabes Unidos,1460,586.22,Turkish Airlines,DXB,2023-09-17,2023-09-23,http://kayak.com/flights/NAP-DXB/2023-09-17/2023-09-23/,586.22,1.0
Seattle,Estados Unidos,1504,856.49,United Airlines,SEA,2023-06-01,2023-06-07,http://kayak.com/flights/NAP-SEA/2023-06-01/2023-06-07/,856.49,1.0
Newark,Estados Unidos,1765,520.05,Várias companhias aéreas,EWR,2024-01-01,2024-01-07,http://kayak.com/flights/NAP-EWR/2024-01-01/2024-01-07/,520.05,1.0
Roma,Itália,855,111.84,Ryanair,ROM,2023-10-21,2023-10-28,http://kayak.com/flights/NAP-ROM/2023-10-21/2023-10-28/,111.84,1.0
Telavive,Israel,825,218.09,Várias companhias aéreas,TLV,2023-08-18,2023-08-22,http://kayak.com/flights/NAP-TLV/2023-08-18/2023-08-22/,218.09,1.0
Berlim,Alemanha,845,106.25,Ryanair,BER,2023-08-31,2023-09-04,http://kayak.com/flights/NAP-BER/2023-08-31/2023-09-04/,106.25,1.0
Bogotá,Colômbia,2225,1100.67,Várias companhias aéreas,BOG,2023-05-26,2023-06-02,http://kayak.com/flights/NAP-BOG/2023-05-26/2023-06-02/,1100.67,1.0
Singapura,Singapura,2375,1852.78,Ethiopian Air,SIN,2023-12-26,2024-01-02,http://kayak.com/flights/NAP-SIN/2023-12-26/2024-01-02/,1852.78,1.0
Atenas,Grécia,835,138.87,Várias companhias aéreas,ATH,2023-07-03,2023-07-09,http://kayak.com/flights/NAP-ATH/2023-07-03/2023-07-09/,138.87,1.0
Munique,Alemanha,105,350.43,Lufthansa,MUC,2023-06-05,2023-06-09,http://kayak.com/flights/NAP-MUC/2023-06-05/2023-06-09/,350.43,1.0
Sydney,Austrália,3145,1583.44,Turkish Airlines,SYD,2023-05-26,2023-06-02,http://kayak.com/flights/NAP-SYD/2023-05-26/2023-06-02/,1583.44,1.0
Zurique,Suíça,220,158.44,ITA Airways,ZRH,2023-09-21,2023-09-25,http://kayak.com/flights/NAP-ZRH/2023-09-21/2023-09-25/,158.44,1.0
Cidade do México,México,1650,1329.94,Várias companhias aéreas,MEX,2023-12-27,2024-01-03,http://kayak.com/flights/NAP-MEX/2023-12-27/2024-01-03/,1329.94,1.0
Chicago,Estados Unidos,1830,857.43,Várias companhias aéreas,ORD,2023-06-11,2023-06-18,http://kayak.com/flights/NAP-ORD/2023-06-11/2023-06-18/,857.43,1.0
