CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
MXP,Londres,Reino Unido,2023,3,13.81,25.502298136645962,20.24,2023-03-25 09:12:26
MXP,Nápoles,Itália,2023,3,16.56,34.89557377049181,32.65,2023-03-25 09:12:26
MXP,Londres,Reino Unido,2023,1,16.58,16.58,16.58,2023-03-25 09:12:26
MXP,Londres,Reino Unido,2023,2,17.47,20.987777777777776,21.46,2023-03-25 09:12:26
MXP,Lamezia Terme,Itália,2023,3,18.62,29.985149253731343,29.045,2023-03-25 09:12:26
MXP,Bucareste,Roménia,2023,3,19.3,55.791428571428575,51.89,2023-03-25 09:12:26
MXP,Nápoles,Itália,2023,2,19.3,32.24913043478261,26.67,2023-03-25 09:12:26
MXP,Catânia,Itália,2023,2,19.3,25.4795,26.67,2023-03-25 09:12:26
MXP,Brindisi,Itália,2023,2,19.3,36.846000000000004,26.71,2023-03-25 09:12:26
MXP,Olbia,Itália,2023,6,19.67,57.79421052631579,50.75,2023-03-25 09:12:26
MXP,Aarhus,Dinamarca,2023,1,21.12,35.712857142857146,21.15,2023-03-25 09:12:26
MXP,Palma de Maiorca,Espanha,2023,5,21.4,45.29986111111111,41.1,2023-03-25 09:12:26
MXP,Palermo,Itália,2023,3,21.54,38.166393442622955,28.295,2023-03-25 09:12:26
MXP,Budapeste,Hungria,2023,3,22.03,58.51,50.445,2023-03-25 09:12:26
MXP,Bari,Itália,2023,5,22.24,30.521481481481484,30.29,2023-03-25 09:12:26
MXP,Málaga,Espanha,2023,3,22.37,53.848045977011495,45.07,2023-03-25 09:12:26
MXP,Bari,Itália,2023,3,22.43,79.1,34.05,2023-03-25 09:12:26
MXP,Catânia,Itália,2023,4,22.77,54.48846153846154,38.26,2023-03-25 09:12:26
MXP,Catânia,Itália,2023,3,23.0,31.49506666666667,29.005000000000003,2023-03-25 09:12:26
MXP,Palma de Maiorca,Espanha,2023,3,23.15,34.2716393442623,28.81,2023-03-25 09:12:26
MXP,Manchester,Reino Unido,2023,3,24.23,70.75650943396226,52.24,2023-03-25 09:12:26
MXP,Barcelona,Espanha,2023,3,24.35,38.65073170731708,33.510000000000005,2023-03-25 09:12:26
MXP,Brindisi,Itália,2023,3,24.79,40.0731914893617,38.54,2023-03-25 09:12:26
MXP,Palermo,Itália,2023,2,24.79,28.451875,26.665,2023-03-25 09:12:26
MXP,Cagliari,Itália,2023,2,24.82,31.023636363636363,30.82,2023-03-25 09:12:26
MXP,Cagliari,Itália,2023,3,24.82,38.546176470588236,36.53,2023-03-25 09:12:26
MXP,Bari,Itália,2023,2,24.85,40.97222222222222,26.69,2023-03-25 09:12:26
MXP,Londres,Reino Unido,2023,5,25.38,37.61348837209302,35.72,2023-03-25 09:12:26
MXP,Porto,Portugal,2023,5,25.43,49.311616161616165,37.96,2023-03-25 09:12:26
MXP,Podgorica,Montenegro,2023,2,25.53,52.60516129032258,32.26,2023-03-25 09:12:26
MXP,Lamezia Terme,Itália,2023,2,25.74,27.746785714285714,26.69,2023-03-25 09:12:26
MXP,Podgorica,Montenegro,2023,4,25.75,132.0913888888889,144.16500000000002,2023-03-25 09:12:26
MXP,Barcelona,Espanha,2023,10,25.93,34.864444444444445,40.45,2023-03-25 09:12:26
MXP,Algueiro,Itália,2023,5,25.93,40.92078947368421,41.77,2023-03-25 09:12:26
MXP,Podgorica,Montenegro,2023,3,26.12,137.41347826086957,137.13,2023-03-25 09:12:26
MXP,Palma de Maiorca,Espanha,2023,4,26.33,32.964615384615385,30.35,2023-03-25 09:12:26
MXP,Manchester,Reino Unido,2023,2,26.61,89.122,55.31,2023-03-25 09:12:26
MXP,Palermo,Itália,2023,5,26.66,34.794464285714284,32.81,2023-03-25 09:12:26
MXP,Barcelona,Espanha,2023,2,26.68,40.229285714285716,39.55,2023-03-25 09:12:26
MXP,Málaga,Espanha,2023,5,26.69,53.13539682539683,52.78,2023-03-25 09:12:26
MXP,Bucareste,Roménia,2023,2,26.71,56.45944444444444,44.635000000000005,2023-03-25 09:12:26
MXP,Lamezia Terme,Itália,2023,5,26.85,29.322307692307692,29.0,2023-03-25 09:12:26
MXP,Bari,Itália,2023,4,27.06,52.645,32.03,2023-03-25 09:12:26
MXP,Lamezia Terme,Itália,2023,4,27.06,50.30520833333333,30.47,2023-03-25 09:12:26
MXP,Viena,Áustria,2023,3,27.13,48.454552845528454,41.49,2023-03-25 09:12:26
MXP,Barcelona,Espanha,2023,4,27.27,48.72209302325581,39.28,2023-03-25 09:12:26
MXP,Porto,Portugal,2023,3,27.53,59.614382022471915,46.72,2023-03-25 09:12:26
MXP,Cracóvia,Polónia,2023,3,27.99,100.60971962616823,74.34,2023-03-25 09:12:26
MXP,Bari,Itália,2023,6,28.12,40.99903225806452,32.65,2023-03-25 09:12:26
MXP,Algueiro,Itália,2023,3,28.2,47.73603174603174,39.83,2023-03-25 09:12:26
MXP,Algueiro,Itália,2023,4,28.21,50.00571428571429,43.02,2023-03-25 09:12:26
MXP,Lamezia Terme,Itália,2023,6,28.5,41.5715,41.52,2023-03-25 09:12:26
MXP,Budapeste,Hungria,2023,2,28.56,48.238571428571426,45.09,2023-03-25 09:12:26
MXP,Catânia,Itália,2023,5,28.94,37.85,34.56,2023-03-25 09:12:26
MXP,Paris,França,2023,5,29.14,49.5848275862069,50.26,2023-03-25 09:12:26
MXP,Nápoles,Itália,2023,6,29.41,39.145,36.11,2023-03-25 09:12:26
MXP,Budapeste,Hungria,2023,4,29.65,76.83346153846153,52.730000000000004,2023-03-25 09:12:26
MXP,Londres,Reino Unido,2023,4,29.86,44.574285714285715,40.76,2023-03-25 09:12:26
