CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
OPO,Barcelona,Espanha,2024,1,10.38,50.143103448275866,62.08,2023-05-23 09:19:31
OPO,Funchal,Portugal,2023,2,15.63,25.87344827586207,21.11,2023-05-23 09:19:31
OPO,Barcelona,Espanha,2023,4,16.75,52.94326923076923,50.63,2023-05-23 09:19:31
OPO,Luxemburgo,Luxemburgo,2023,3,17.86,42.150454545454544,30.875,2023-05-23 09:19:31
OPO,Agadir,Marrocos,2023,2,18.24,40.26468085106383,29.43,2023-05-23 09:19:31
OPO,Funchal,Portugal,2023,3,18.36,36.28442622950819,34.65,2023-05-23 09:19:31
OPO,Bérgamo,Itália,2023,3,18.41,46.98449438202247,40.27,2023-05-23 09:19:31
OPO,Madrid,Espanha,2023,3,18.41,39.38961538461538,29.425,2023-05-23 09:19:31
OPO,Milão,Itália,2023,3,18.41,43.98313131313131,33.64,2023-05-23 09:19:31
OPO,Paris,França,2023,3,18.53,35.34085271317829,33.64,2023-05-23 09:19:31
OPO,Toulouse,França,2023,3,18.63,89.93105769230769,45.85,2023-05-23 09:19:31
OPO,Bordéus,França,2023,3,18.63,58.924166666666665,51.955,2023-05-23 09:19:31
OPO,Bergerac,França,2023,2,18.71,40.14604166666667,32.205,2023-05-23 09:19:31
OPO,Nimes,França,2023,3,18.73,71.18708333333333,60.53,2023-05-23 09:19:31
OPO,Leeds,Reino Unido,2023,3,19.67,296.224,171.37,2023-05-23 09:19:31
OPO,Paris,França,2023,6,20.54,48.87320987654321,47.25,2023-05-23 09:19:31
OPO,Londres,Reino Unido,2023,3,21.1,42.178363636363635,27.66,2023-05-23 09:19:31
OPO,Las Palmas,Espanha,2023,2,21.88,50.961052631578944,41.474999999999994,2023-05-23 09:19:31
OPO,Paris,França,2023,2,22.03,24.585,25.28,2023-05-23 09:19:31
OPO,Agadir,Marrocos,2023,3,23.16,69.3651219512195,40.065,2023-05-23 09:19:31
OPO,Madrid,Espanha,2023,5,23.65,32.672117647058826,32.1,2023-05-23 09:19:31
OPO,Toulouse,França,2023,6,23.91,39.737671232876714,30.34,2023-05-23 09:19:31
OPO,Madrid,Espanha,2023,2,24.2,36.69714285714286,26.62,2023-05-23 09:19:31
OPO,Madrid,Espanha,2023,4,24.26,33.947978723404255,30.69,2023-05-23 09:19:31
OPO,Toulouse,França,2023,4,24.37,78.84504273504274,64.89,2023-05-23 09:19:31
