,depart_from,arrive_at,date,depart_time,arrival_time,price,airline,flight_duration
0,OPO,LIS,2023-01-20,12:00 ,3:15 ,$8,FlixBus,3h 15m
1,OPO,LIS,2023-01-20,6:40 ,11:30 ,$19,Comboios de Portugal,4h 50m
2,OPO,LIS,2023-01-20,12:00 ,12:55 ,$37,TAP AIR PORTUGAL,0h 55m
3,OPO,LIS,2023-01-20,8:00 ,9:00 ,$37,TAP AIR PORTUGAL,1h 00m
4,OPO,LIS,2023-01-20,9:00 ,10:00 ,$37,TAP AIR PORTUGAL,1h 00m
5,OPO,LIS,2023-01-20,2:00 ,3:00 ,$37,TAP AIR PORTUGAL,1h 00m
6,OPO,LIS,2023-01-20,10:00 ,11:00 ,$37,TAP AIR PORTUGAL,1h 00m
7,OPO,LIS,2023-01-20,11:00 ,12:00 ,$37,TAP AIR PORTUGAL,1h 00m
8,OPO,LIS,2023-01-20,7:00 ,8:00 ,$37,TAP AIR PORTUGAL,1h 00m
9,OPO,LIS,2023-01-20,8:10 ,7:25 ,$58,Air Europa,23h 15m
10,OPO,LIS,2023-01-20,4:00 ,5:00 ,$61,TAP AIR PORTUGAL,1h 00m
11,OPO,LIS,2023-01-20,9:50 ,5:40 ,$61,"Wizz Air, Ryanair ",19h 50m
12,OPO,LIS,2023-01-20,9:50 ,9:05 ,$62,"Wizz Air, Ryanair ",23h 15m
13,OPO,LIS,2023-01-20,7:00 ,8:05 ,$65,Ryanair,25h 05m
14,OPO,LIS,2023-01-20,8:10 ,6:50 ,$69,Air Europa,10h 40m
15,OPO,LIS,2023-01-21,2:00 ,5:15 ,$6,Bus,3h 15m
16,OPO,LIS,2023-01-21,7:37 ,11:00 ,$18,Comboios de Portugal,3h 23m
17,OPO,LIS,2023-01-21,6:40 ,8:05 ,$29,Ryanair,13h 25m
18,OPO,LIS,2023-01-21,12:00 ,12:55 ,$37,TAP AIR PORTUGAL,0h 55m
19,OPO,LIS,2023-01-21,10:00 ,11:00 ,$37,TAP AIR PORTUGAL,1h 00m
20,OPO,LIS,2023-01-21,6:00 ,7:00 ,$37,TAP AIR PORTUGAL,1h 00m
21,OPO,LIS,2023-01-21,2:00 ,3:00 ,$37,TAP AIR PORTUGAL,1h 00m
22,OPO,LIS,2023-01-21,5:00 ,6:00 ,$37,TAP AIR PORTUGAL,1h 00m
23,OPO,LIS,2023-01-21,7:00 ,8:00 ,$37,TAP AIR PORTUGAL,1h 00m
24,OPO,LIS,2023-01-21,9:00 ,10:00 ,$37,TAP AIR PORTUGAL,1h 00m
25,OPO,LIS,2023-01-21,8:00 ,9:00 ,$37,TAP AIR PORTUGAL,1h 00m
26,OPO,LIS,2023-01-21,11:00 ,12:00 ,$37,TAP AIR PORTUGAL,1h 00m
27,OPO,LIS,2023-01-21,4:00 ,5:00 ,$37,TAP AIR PORTUGAL,1h 00m
28,OPO,LIS,2023-01-21,9:45 ,8:10 ,$38,Ryanair,10h 25m
29,OPO,LIS,2023-01-21,11:35 ,6:50 ,$47,Air Europa,19h 15m
