CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
OPO,Enfidha,Tunísia,2023,6,178.94,264.6333333333333,264.66,2023-03-30 02:36:14
OPO,Varna,Bulgária,2023,6,190.0,433.24466666666666,492.76,2023-03-30 02:36:14
OPO,Aalborg,Dinamarca,2023,5,249.03,292.7742857142857,293.37,2023-03-30 02:36:14
OPO,Gazipasa,Turquia,2023,7,505.44,587.3422222222222,587.24,2023-03-30 02:36:14
OPO,Génova,Itália,2023,5,100.54,220.82199999999997,161.2,2023-03-30 02:36:14
OPO,Belgrado,Sérvia,2023,5,137.43,224.52581395348838,223.13,2023-03-30 02:36:14
OPO,San Juan,Porto Rico,2023,4,843.94,907.3699999999999,907.42,2023-03-30 02:36:14
OPO,Reiquiavique,Islândia,2023,6,167.87,261.66,223.47,2023-03-30 02:36:14
OPO,Luanda,Angola,2023,4,413.21,580.7543396226415,533.41,2023-03-30 02:36:14
OPO,Natal,Brasil,2023,4,1045.0,1310.014090909091,1311.335,2023-03-30 02:36:14
OPO,Dresden,Alemanha,2023,6,197.38,206.64,206.64,2023-03-30 02:36:14
OPO,Telavive,Israel,2023,6,169.71,236.8225,209.43,2023-03-30 02:36:14
OPO,Cardiff,Reino Unido,2023,9,215.83,233.4557142857143,235.32,2023-03-30 02:36:14
OPO,Billund,Dinamarca,2023,4,58.11,121.25303370786517,91.49,2023-03-30 02:36:14
OPO,Nantes,França,2023,4,98.69,183.78620689655173,179.2,2023-03-30 02:36:14
OPO,Nottingham,Reino Unido,2023,4,94.08,153.39666666666668,135.45,2023-03-30 02:36:14
OPO,Riade,Arábia Saudita,2023,6,166.02,211.78625,224.965,2023-03-30 02:36:14
OPO,Nuremberga,Alemanha,2023,11,205.68,205.94,205.94,2023-03-30 02:36:14
OPO,Saragoça,Espanha,2023,4,150.34,174.1325925925926,161.75,2023-03-30 02:36:14
OPO,San Sebastián de la Gomera,Espanha,2023,6,304.37,304.75,304.75,2023-03-30 02:36:14
OPO,Dole,França,2023,5,56.27,90.15928571428572,98.785,2023-03-30 02:36:14
OPO,Munique,Alemanha,2023,11,144.81,144.99,144.99,2023-03-30 02:36:14
OPO,Santa Cruz das Flores,Portugal,2024,3,185.39,185.62,185.62,2023-03-30 02:36:14
OPO,Osijek,Croácia,2023,6,411.36,411.87,411.87,2023-03-30 02:36:14
OPO,New Windsor,Estados Unidos,2023,6,387.38,766.536875,788.27,2023-03-30 02:36:14
OPO,Nova Iorque,Estados Unidos,2023,6,387.38,429.25120000000004,430.85,2023-03-30 02:36:14
OPO,Gibraltar,Gibraltar,2023,9,322.82,326.9053333333333,329.1,2023-03-30 02:36:14
OPO,Bordéus,França,2023,5,32.29,46.778275862068966,42.87,2023-03-30 02:36:14
OPO,Joanesburgo,África do Sul,2023,9,573.69,590.1077777777778,577.03,2023-03-30 02:36:14
OPO,Nova Orleães,Estados Unidos,2023,10,712.04,774.8986666666666,813.51,2023-03-30 02:36:14
OPO,Kuwait,Koweit,2023,8,679.76,680.6,680.6,2023-03-30 02:36:14
OPO,Fort-de-France,Martinica,2023,4,882.67,945.0812765957447,911.02,2023-03-30 02:36:14
OPO,Ocrida,Macedónia do Norte,2023,4,665.0,665.82,665.82,2023-03-30 02:36:14
OPO,Maputo,Moçambique,2023,9,949.08,970.472,969.87,2023-03-30 02:36:14
OPO,Bydgoszcz,Polónia,2023,4,243.5,890.5269230769231,1175.93,2023-03-30 02:36:14
OPO,Skýros,Grécia,2023,9,373.55,511.89235294117645,570.32,2023-03-30 02:36:14
OPO,Bissau,Guiné-Bissau,2023,11,1194.42,1196.988,1195.89,2023-03-30 02:36:14
OPO,Curitiba,Brasil,2023,12,1170.44,1171.88,1171.88,2023-03-30 02:36:14
OPO,Kutaisi,Geórgia,2023,10,349.57,350.94888888888886,351.6,2023-03-30 02:36:14
OPO,Calgary,Canadá,2023,7,1487.72,1491.83,1489.55,2023-03-30 02:36:14
OPO,Éilat,Israel,2023,10,219.52,220.12666666666667,219.79,2023-03-30 02:36:14
OPO,Podgorica,Montenegro,2023,4,219.52,498.24,586.5,2023-03-30 02:36:14
OPO,Duala,Camarões,2023,6,805.2,807.7757142857143,806.19,2023-03-30 02:36:14
OPO,Monterrei,México,2023,11,691.75,693.9628571428572,692.6,2023-03-30 02:36:14
OPO,Montego Bay,Jamaica,2023,6,1017.33,1020.5857142857143,1018.58,2023-03-30 02:36:14
OPO,Melbourne,Austrália,2023,5,1676.8,1678.86,1678.86,2023-03-30 02:36:14
OPO,Doha,Catar,2023,7,659.47,709.9431578947368,735.06,2023-03-30 02:36:14
OPO,Lihue,Estados Unidos,2023,6,1050.54,1055.05,1056.66,2023-03-30 02:36:14
OPO,Calamata,Grécia,2023,7,529.42,643.8158823529412,533.32,2023-03-30 02:36:14
OPO,Belo Horizonte,Brasil,2023,4,831.02,1092.1984337349397,1041.99,2023-03-30 02:36:14
OPO,Marsa Alam,Egito,2023,7,733.26,735.6042857142857,734.16,2023-03-30 02:36:14
OPO,Parikia,Grécia,2023,6,439.96,440.5,440.5,2023-03-30 02:36:14
OPO,Hat Yai,Tailândia,2023,7,1703.55,1710.2811111111112,1713.47,2023-03-30 02:36:14
OPO,Kiruna,Suécia,2023,5,456.56,457.53999999999996,457.12,2023-03-30 02:36:14
OPO,Puebla,México,2023,4,1019.18,1022.77,1022.77,2023-03-30 02:36:14
OPO,Atlanta,Estados Unidos,2023,4,611.51,638.1609090909092,620.63,2023-03-30 02:36:14
OPO,Tashkent,Uzbequistão,2023,5,766.46,935.4315384615384,1030.1799999999998,2023-03-30 02:36:14
OPO,Macapá,Brasil,2023,3,2258.79,2268.484,2271.94,2023-03-30 02:36:14
OPO,Paleochori,Grécia,2023,8,481.46,613.9547058823529,654.57,2023-03-30 02:36:14
OPO,Vasco da Gama,Índia,2023,4,856.85,860.528,861.84,2023-03-30 02:36:14
OPO,Koh Samui,Tailândia,2023,7,1501.56,1507.49,1510.3,2023-03-30 02:36:14
OPO,Abbotsford,Canadá,2023,6,1289.42,1439.2914814814815,1303.0,2023-03-30 02:36:14
OPO,Mumbai,Índia,2023,6,710.2,711.07,711.07,2023-03-30 02:36:14
OPO,Taipé,Taiwan,2023,8,1600.25,1649.4753846153847,1680.98,2023-03-30 02:36:14
OPO,Al Hoceima,Marrocos,2023,4,555.25,621.5694117647059,677.42,2023-03-30 02:36:14
OPO,Manado,Indonésia,2023,6,1559.67,1564.652857142857,1561.58,2023-03-30 02:36:14
OPO,Campo Grande,Brasil,2023,4,947.24,1031.107142857143,1025.95,2023-03-30 02:36:14
OPO,Dakhla,Sara Ocidental,2023,9,392.0,393.2514285714286,392.48,2023-03-30 02:36:14
OPO,Jacarta,Indonésia,2023,7,1306.95,2080.709,2164.76,2023-03-30 02:36:14
OPO,Traverse City,Estados Unidos,2023,6,1029.33,1032.955,1032.955,2023-03-30 02:36:14
OPO,Freeport,Bahamas,2023,4,1274.67,1322.378888888889,1282.09,2023-03-30 02:36:14
OPO,Incheon,Coreia do Sul,2023,5,988.74,1108.1599999999999,1142.56,2023-03-30 02:36:14
OPO,Seul,Coreia do Sul,2023,5,988.74,1108.1599999999999,1142.56,2023-03-30 02:36:14
OPO,Ponce,Porto Rico,2023,4,1340.15,1341.79,1341.79,2023-03-30 02:36:14
OPO,Petrolina,Brasil,2023,4,1413.94,1418.92,1418.92,2023-03-30 02:36:14
OPO,Kuching,Malásia,2023,4,1307.87,1312.475,1312.475,2023-03-30 02:36:14
OPO,Camberra,Austrália,2023,7,2329.81,2332.66,2332.66,2023-03-30 02:36:14
OPO,Mulhouse,França,2023,5,359.71,360.1499999999999,360.15,2023-03-30 02:36:14
OPO,Luxor,Egito,2024,1,719.42,721.4033333333333,720.3,2023-03-30 02:36:14
OPO,New Plymouth,Nova Zelândia,2023,4,3025.25,3034.9114285714286,3028.95,2023-03-30 02:36:14
OPO,Vaitape,Polinésia Francesa,2023,4,2616.66,2714.0481818181815,2761.39,2023-03-30 02:36:14
OPO,León,Espanha,2023,4,498.99,502.288,499.6,2023-03-30 02:36:14
OPO,Vientiane,Laos,2023,4,1374.28,1379.12,1379.12,2023-03-30 02:36:14
OPO,Akureyri,Islândia,2023,5,1259.91,1265.6636363636364,1267.24,2023-03-30 02:36:14
OPO,Kota Kinabalu,Malásia,2023,4,1342.0,1346.725,1346.725,2023-03-30 02:36:14
OPO,Debrecen,Hungria,2023,4,384.62,385.09,385.09,2023-03-30 02:36:14
OPO,Agios Kirykos,Grécia,2023,6,401.22,403.82437500000003,403.86,2023-03-30 02:36:14
OPO,Siem Reap,Cambodja,2023,6,884.52,886.414,885.6,2023-03-30 02:36:14
OPO,Tawau,Malásia,2023,4,1662.97,1668.825,1668.825,2023-03-30 02:36:14
OPO,Cracóvia,Polónia,2023,12,139.28,171.1833333333333,177.35,2023-03-30 02:36:14
OPO,San Andrés,Colômbia,2023,12,1196.27,1200.087142857143,1197.73,2023-03-30 02:36:14
OPO,Los Angeles,Estados Unidos,2023,10,704.67,705.53,705.53,2023-03-30 02:36:14
OPO,Pafos,Chipre,2023,7,352.34,566.9025,497.57,2023-03-30 02:36:14
OPO,Lourdes,França,2023,4,213.06,258.666,225.26,2023-03-30 02:36:14
OPO,Armênia,Colômbia,2023,4,1065.3,1165.3981818181817,1174.39,2023-03-30 02:36:14
OPO,Narvik,Noruega,2023,6,524.81,525.45,525.45,2023-03-30 02:36:14
OPO,Cavala,Grécia,2023,8,524.81,527.2081818181819,527.87,2023-03-30 02:36:14
OPO,Providenciales,Ilhas Turcas e Caicos,2023,11,1156.61,1159.084,1158.02,2023-03-30 02:36:14
