CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
MAD,Buenos Aires,Argentina,2023,11,218.78,828.3210416666667,832.565,2023-04-01 02:30:05
MAD,Córdova,Argentina,2023,8,400.79,1250.32,1219.17,2023-04-01 02:30:05
MAD,Chiang Mai,Tailândia,2024,2,874.19,1184.555,1182.72,2023-04-01 02:30:05
MAD,Errachidia,Marrocos,2023,9,249.12,341.0133333333333,361.02,2023-04-01 02:30:05
MAD,Assuão,Egito,2023,9,535.0,659.906875,664.8199999999999,2023-04-01 02:30:05
MAD,Chania,Grécia,2023,5,133.29,247.9895918367347,243.0,2023-04-01 02:30:05
MAD,Monastir,Tunísia,2023,7,331.85,629.8148717948718,547.03,2023-04-01 02:30:05
MAD,Taichung,Taiwan,2023,6,1291.52,1551.31375,1497.29,2023-04-01 02:30:05
MAD,George Town,Bahamas,2023,6,1388.04,1594.4533333333331,1594.54,2023-04-01 02:30:05
MAD,Estrasburgo,França,2023,9,125.94,223.21,165.81,2023-04-01 02:30:05
MAD,Balikpapan,Indonésia,2023,5,978.98,1093.77,1093.77,2023-04-01 02:30:05
MAD,Liverpool,Reino Unido,2023,5,45.05,103.13966101694915,84.55,2023-04-01 02:30:05
MAD,Montpellier,França,2023,6,201.32,238.202,238.89,2023-04-01 02:30:05
MAD,Cartagena,Colômbia,2023,8,893.5,1074.4825,1048.44,2023-04-01 02:30:05
MAD,Tromsø,Noruega,2023,12,271.18,361.0152380952381,349.3,2023-04-01 02:30:05
MAD,Turim,Itália,2023,7,67.11,126.20333333333333,132.82999999999998,2023-04-01 02:30:05
MAD,Da Nang,Vietname,2023,6,952.33,1018.7787500000001,1018.71,2023-04-01 02:30:05
MAD,Lima,Perú,2023,6,569.93,652.9025,637.9,2023-04-01 02:30:05
MAD,Eindhoven,Holanda,2023,5,59.75,84.95466666666667,86.41,2023-04-01 02:30:05
MAD,Telavive,Israel,2023,5,122.26,150.66385714285713,149.24,2023-04-01 02:30:05
MAD,Trondheim,Noruega,2023,11,251.87,267.1575,270.29,2023-04-01 02:30:05
MAD,Karlsruhe,Alemanha,2023,5,108.47,129.6265625,124.33,2023-04-01 02:30:05
MAD,Spokane,Estados Unidos,2023,4,791.46,998.472,808.0,2023-04-01 02:30:05
MAD,Pasco,Estados Unidos,2023,4,830.07,907.9072727272727,844.53,2023-04-01 02:30:05
