CityOrigin,City,Country,year_depart,month_depart,minPrice,meanPrice,medianPrice,timestamp
MXP,Bratislava,Eslováquia,2023,6,123.12,980.3723333333334,527.81,2023-05-05 02:33:46
MXP,Vilnius,Lituânia,2023,9,175.63,194.75,202.98,2023-05-05 02:33:46
MXP,Melinde,Quénia,2023,10,838.29,954.565,933.75,2023-05-05 02:33:46
MXP,Siem Reap,Cambodja,2023,5,951.44,1124.28,1166.78,2023-05-05 02:33:46
MXP,Quetta,Paquistão,2023,5,915.23,920.24,920.24,2023-05-05 02:33:46
MXP,Komatsu,Japão,2023,5,1345.24,1352.59,1352.59,2023-05-05 02:33:46
MXP,Amesterdão,Holanda,2023,9,86.91,93.62046153846154,91.96,2023-05-05 02:33:46
MXP,Belgrado,Sérvia,2023,6,96.87,152.9605,146.5,2023-05-05 02:33:46
MXP,Palermo,Itália,2023,9,28.97,35.41047619047619,33.59,2023-05-05 02:33:46
MXP,Reiquiavique,Islândia,2023,6,78.76,150.4244,84.45,2023-05-05 02:33:46
MXP,Verona,Itália,2023,6,99.58,123.02199999999998,138.39,2023-05-05 02:33:46
MXP,Escópia,Macedónia do Norte,2023,7,82.38,160.63894736842104,163.11,2023-05-05 02:33:46
MXP,Gdansk,Polónia,2023,12,145.75,153.095,155.52,2023-05-05 02:33:46
MXP,Nuremberga,Alemanha,2023,7,147.56,175.54814814814816,164.21,2023-05-05 02:33:46
MXP,Leeds,Reino Unido,2023,7,128.55,283.098,307.28,2023-05-05 02:33:46
MXP,Oujda,Marrocos,2023,6,220.89,319.74703703703705,249.72,2023-05-05 02:33:46
MXP,Alexandroupolis Dimokritos,Grécia,2023,9,266.15,266.27,266.27,2023-05-05 02:33:46
MXP,Szczecin,Polónia,2023,7,200.07,200.16,200.16,2023-05-05 02:33:46
MXP,Valladolid,Espanha,2023,5,155.71,219.03827586206899,250.04,2023-05-05 02:33:46
MXP,Basileia,Suíça,2023,10,178.34,429.51125,580.15,2023-05-05 02:33:46
MXP,Graz,Áustria,2023,6,334.95,335.1,335.1,2023-05-05 02:33:46
MXP,Gibraltar,Gibraltar,2023,9,268.87,423.31,268.99,2023-05-05 02:33:46
MXP,Enfidha,Tunísia,2023,10,291.5,307.61625000000004,293.1,2023-05-05 02:33:46
MXP,Argel,Argélia,2023,6,224.51,283.022,228.44,2023-05-05 02:33:46
MXP,Cardiff,Reino Unido,2023,5,112.26,275.01268656716417,276.56,2023-05-05 02:33:46
MXP,Aalborg,Dinamarca,2023,6,247.14,292.31333333333333,247.25,2023-05-05 02:33:46
MXP,Adıyaman,Turquia,2023,5,360.3,360.822,360.46,2023-05-05 02:33:46
MXP,Leknes,Noruega,2023,10,496.09,496.31,496.31,2023-05-05 02:33:46
MXP,Éilat,Israel,2023,11,270.68,270.8,270.8,2023-05-05 02:33:46
MXP,Porto,Portugal,2023,9,45.27,67.00807692307693,60.87,2023-05-05 02:33:46
MXP,Djanet,Argélia,2023,10,679.86,681.3000000000001,680.16,2023-05-05 02:33:46
MXP,Ivalo,Finlândia,2023,5,568.51,596.84,610.81,2023-05-05 02:33:46
MXP,Dalaman,Turquia,2023,7,181.96,318.5355294117647,236.96,2023-05-05 02:33:46
