City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Nosy Be,Madagáscar,2450,1748.27,Várias companhias aéreas,NOS,2023-08-01,2023-08-06,http://kayak.com/flights/MAD-NOS/2023-08-01/2023-08-06/,1748.27,1.0,2023,8,MAD,4779.16,5307.165,5309.08,2023-03-19 23:39:22,True,-3030.89,-63.41888532712861
Vail,Estados Unidos,1862,769.62,American Airlines,EGE,2023-12-02,2023-12-09,http://kayak.com/flights/MAD-EGE/2023-12-02/2023-12-09/,769.62,1.0,2023,12,MAD,1909.4,1912.950909090909,1910.85,2023-03-19 23:39:22,True,-1139.7800000000002,-59.6930973080549
Lampedusa,Itália,1685,150.93,Várias companhias aéreas,LMP,2023-10-15,2023-10-20,http://kayak.com/flights/MAD-LMP/2023-10-15/2023-10-20/,150.93,1.0,2023,10,MAD,362.05,362.05,362.05,2023-03-19 23:39:22,True,-211.12,-58.31238779174147
Skellefteå,Suécia,1500,276.54,Várias companhias aéreas,SFT,2023-04-28,2023-05-03,http://kayak.com/flights/MAD-SFT/2023-04-28/2023-05-03/,276.54,1.0,2023,4,MAD,646.55,648.6433333333333,646.91,2023-03-19 23:39:22,True,-370.00999999999993,-57.22836594230918
Zagora,Marrocos,2745,442.46,Várias companhias aéreas,OZG,2023-04-19,2023-04-23,http://kayak.com/flights/MAD-OZG/2023-04-19/2023-04-23/,442.46,1.0,2023,4,MAD,906.43,907.0025,906.4549999999999,2023-03-19 23:39:22,True,-463.96999999999997,-51.1865229526825
Exeter,Reino Unido,510,241.86,Várias companhias aéreas,EXT,2023-07-20,2023-07-24,http://kayak.com/flights/MAD-EXT/2023-07-20/2023-07-24/,241.86,1.0,2023,7,MAD,491.68,538.564375,497.85,2023-03-19 23:39:22,True,-249.82,-50.80946957370648
Torreón,México,1465,948.66,Várias companhias aéreas,TRC,2023-04-17,2023-04-24,http://kayak.com/flights/MAD-TRC/2023-04-17/2023-04-24/,948.66,1.0,2023,4,MAD,1775.09,1775.09,1775.09,2023-03-19 23:39:22,True,-826.43,-46.55707597924612
Burgas,Bulgária,1280,203.42,Ryanair,BOJ,2023-04-17,2023-04-24,http://kayak.com/flights/MAD-BOJ/2023-04-17/2023-04-24/,203.42,1.0,2023,4,MAD,361.87,380.91866666666664,363.19,2023-03-19 23:39:22,True,-158.45000000000002,-43.78644264514882
Freeport,Bahamas,1695,1196.14,Várias companhias aéreas,FPO,2023-06-02,2023-06-09,http://kayak.com/flights/MAD-FPO/2023-06-02/2023-06-09/,1196.14,1.0,2023,6,MAD,2109.77,2120.465,2124.03,2023-03-19 23:39:22,True,-913.6299999999999,-43.30472041976139
Klagenfurt,Áustria,1040,196.86,Várias companhias aéreas,KLU,2023-05-19,2023-05-24,http://kayak.com/flights/MAD-KLU/2023-05-19/2023-05-24/,196.86,1.0,2023,5,MAD,335.74,336.14000000000004,336.19,2023-03-19 23:39:22,True,-138.88,-41.365342229105856
Rennes,França,2305,179.05,Várias companhias aéreas,RNS,2023-10-05,2023-10-09,http://kayak.com/flights/MAD-RNS/2023-10-05/2023-10-09/,179.05,1.0,2023,10,MAD,299.63,299.63,299.63,2023-03-19 23:39:22,True,-120.57999999999998,-40.242966325134326
Aalborg,Dinamarca,2650,157.49,Várias companhias aéreas,AAL,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-AAL/2023-04-18/2023-04-25/,157.49,1.0,2023,4,MAD,259.77,385.01724137931035,303.57,2023-03-19 23:39:22,True,-102.27999999999997,-39.37329175809369
Biarritz,França,1490,163.11,Várias companhias aéreas,BIQ,2023-05-12,2023-05-17,http://kayak.com/flights/MAD-BIQ/2023-05-12/2023-05-17/,163.11,1.0,2023,5,MAD,265.3,434.8763636363637,266.84,2023-03-19 23:39:22,True,-102.19,-38.518658122879756
Ancona,Itália,1540,125.62,Ryanair,AOI,2023-05-31,2023-06-06,http://kayak.com/flights/MAD-AOI/2023-05-31/2023-06-06/,125.62,1.0,2023,5,MAD,203.39,203.43714285714285,203.39,2023-03-19 23:39:22,True,-77.76999999999998,-38.236884802595995
Leeds,Reino Unido,715,168.74,Ryanair,LBA,2023-09-18,2023-09-24,http://kayak.com/flights/MAD-LBA/2023-09-18/2023-09-24/,168.74,1.0,2023,9,MAD,264.62,265.20666666666665,265.5,2023-03-19 23:39:22,True,-95.88,-36.23308895775074
West Palm Beach,Estados Unidos,2007,657.13,British Airways,PBI,2023-12-02,2023-12-09,http://kayak.com/flights/MAD-PBI/2023-12-02/2023-12-09/,657.13,1.0,2023,12,MAD,1029.44,1029.905,1030.06,2023-03-19 23:39:22,True,-372.31000000000006,-36.16626515387007
Newcastle upon Tyne,Reino Unido,635,87.18,Ryanair,NCL,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-NCL/2023-04-18/2023-04-25/,87.18,1.0,2023,4,MAD,133.71,193.2987878787879,148.04,2023-03-19 23:39:22,True,-46.53,-34.799192281803904
Assiut,Egito,2170,714.31,Várias companhias aéreas,ATZ,2023-07-17,2023-07-23,http://kayak.com/flights/MAD-ATZ/2023-07-17/2023-07-23/,714.31,1.0,2023,7,MAD,1084.43,1145.6541666666667,1163.94,2023-03-19 23:39:22,True,-370.1200000000001,-34.13037263816015
