City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Aalborg,Dinamarca,870,275.56,Várias companhias aéreas,AAL,2023-04-13,2023-04-19,http://kayak.com/flights/LIS-AAL/2023-04-13/2023-04-19/,275.56,1.0,2023,4,LIS,420.37,421.025,421.005,2023-03-20 02:41:09,True,-144.81,-34.448224183457434
Leeds,Reino Unido,1045,147.15,Ryanair,LBA,2023-06-12,2023-06-19,http://kayak.com/flights/LIS-LBA/2023-06-12/2023-06-19/,147.15,1.0,2023,6,LIS,187.16,187.29250000000002,187.2,2023-03-20 02:41:09,True,-40.00999999999999,-21.377431075016023
Nador,Marrocos,1915,283.06,Várias companhias aéreas,NDR,2023-08-20,2023-08-25,http://kayak.com/flights/LIS-NDR/2023-08-20/2023-08-25/,283.06,1.0,2023,8,LIS,359.42,446.2494444444444,361.94,2023-03-20 02:41:09,True,-76.36000000000001,-21.245339713983643
Ponta Delgada,Portugal,155,56.24,Ryanair,PDL,2023-05-10,2023-05-17,http://kayak.com/flights/LIS-PDL/2023-05-10/2023-05-17/,56.24,1.0,2023,5,LIS,68.6,82.30499999999999,83.97,2023-03-20 02:41:09,True,-12.359999999999992,-18.017492711370252
Porto Alegre,Brasil,1095,865.1,Várias companhias aéreas,POA,2023-10-07,2023-10-14,http://kayak.com/flights/LIS-POA/2023-10-07/2023-10-14/,865.1,1.0,2023,10,LIS,897.52,900.0375,898.01,2023-03-20 02:41:09,True,-32.41999999999996,-3.6121757732418174
Astúrias,Espanha,90,88.11,Volotea,OVD,2023-08-25,2023-08-30,http://kayak.com/flights/LIS-OVD/2023-08-25/2023-08-30/,88.11,1.0,2023,8,LIS,91.09,157.73307692307694,155.08,2023-03-20 02:41:09,True,-2.980000000000004,-3.2714897354265053
Sófia,Bulgária,1350,112.48,Várias companhias aéreas,SOF,2023-05-04,2023-05-09,http://kayak.com/flights/LIS-SOF/2023-05-04/2023-05-09/,112.48,1.0,2023,5,LIS,113.83,158.2170588235294,147.65,2023-03-20 02:41:09,True,-1.3499999999999943,-1.185979091627861
Barcelona,Espanha,120,39.37,Vueling,BCN,2024-02-03,2024-02-10,http://kayak.com/flights/LIS-BCN/2024-02-03/2024-02-10/,39.37,1.0,2024,2,LIS,39.38,43.182500000000005,43.175,2023-03-20 02:41:09,True,-0.010000000000005116,-0.02539360081260822
Heraclião,Grécia,850,202.45,Várias companhias aéreas,HER,2023-08-30,2023-09-06,http://kayak.com/flights/LIS-HER/2023-08-30/2023-09-06/,202.45,1.0,2023,8,LIS,202.49,360.085,376.43,2023-03-20 02:41:09,True,-0.040000000000020464,-0.019754061928994253
Arrecife,Espanha,985,151.84,Vueling,ACE,2023-09-12,2023-09-19,http://kayak.com/flights/LIS-ACE/2023-09-12/2023-09-19/,151.84,1.0,2023,9,LIS,151.87,151.87,151.87,2023-03-20 02:41:09,True,-0.030000000000001137,-0.01975373674853568
