City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Nottingham,Reino Unido,725,153.92,Ryanair,EMA,2023-04-19,2023-04-26,http://kayak.com/flights/NAP-EMA/2023-04-19/2023-04-26/,153.92,1.0,2023,4,NAP,359.2,361.72625,361.29,2023-03-21 02:28:55,True,-205.28,-57.14922048997772
Joanesburgo,África do Sul,1625,540.12,Várias companhias aéreas,JNB,2023-04-24,2023-05-01,http://kayak.com/flights/NAP-JNB/2023-04-24/2023-05-01/,540.12,1.0,2023,4,NAP,930.18,2338.6240000000003,2938.16,2023-03-21 02:28:55,True,-390.05999999999995,-41.933819260788226
Munique,Alemanha,110,73.7,easyJet,MUC,2023-06-28,2023-07-05,http://kayak.com/flights/NAP-MUC/2023-06-28/2023-07-05/,73.7,1.0,2023,6,NAP,121.9,143.39000000000001,134.03,2023-03-21 02:28:55,True,-48.2,-39.54060705496308
Sófia,Bulgária,100,49.45,Várias companhias aéreas,SOF,2023-05-06,2023-05-11,http://kayak.com/flights/NAP-SOF/2023-05-06/2023-05-11/,49.45,1.0,2023,5,NAP,68.09,80.16130434782609,81.37,2023-03-21 02:28:55,True,-18.64,-27.37553238360993
Simpson Bay,São Martinho (Sint Maarten),3329,986.95,Delta,SXM,2023-08-15,2023-08-19,http://kayak.com/flights/NAP-SXM/2023-08-15/2023-08-19/,986.95,1.0,2023,8,NAP,1316.31,1319.06375,1317.67,2023-03-21 02:28:55,True,-329.3599999999999,-25.021461509826704
Reiquiavique,Islândia,1165,145.53,Várias companhias aéreas,REK,2023-04-16,2023-04-23,http://kayak.com/flights/NAP-REK/2023-04-16/2023-04-23/,145.53,1.0,2023,4,NAP,174.7,264.9164705882353,275.405,2023-03-21 02:28:55,True,-29.169999999999987,-16.69719519175729
Rodes,Grécia,140,49.45,Ryanair,RHO,2023-04-03,2023-04-07,http://kayak.com/flights/NAP-RHO/2023-04-03/2023-04-07/,49.45,1.0,2023,4,NAP,59.12,154.245,157.95,2023-03-21 02:28:55,True,-9.669999999999995,-16.356562922868733
Túnis,Tunísia,245,172.58,ITA Airways,TUN,2023-11-13,2023-11-20,http://kayak.com/flights/NAP-TUN/2023-11-13/2023-11-20/,172.58,1.0,2023,11,NAP,202.9,202.9025,202.9,2023-03-21 02:28:55,True,-30.319999999999993,-14.943321833415471
Dortmund,Alemanha,1525,193.1,Várias companhias aéreas,DTM,2023-04-06,2023-04-12,http://kayak.com/flights/NAP-DTM/2023-04-06/2023-04-12/,193.1,1.0,2023,4,NAP,218.14,281.26416666666665,264.05,2023-03-21 02:28:55,True,-25.039999999999992,-11.478866782800033
Ancara,Turquia,755,376.87,Turkish Airlines,ESB,2023-04-14,2023-04-18,http://kayak.com/flights/NAP-ESB/2023-04-14/2023-04-18/,376.87,1.0,2023,4,NAP,419.57,419.57,419.57,2023-03-21 02:28:55,True,-42.69999999999999,-10.177086064303928
Hurghada,Egito,960,291.98,easyJet,HRG,2023-09-30,2023-10-07,http://kayak.com/flights/NAP-HRG/2023-09-30/2023-10-07/,291.98,1.0,2023,9,NAP,323.71,396.8377777777778,416.84,2023-03-21 02:28:55,True,-31.72999999999996,-9.801983256618566
Santo Domingo,República Dominicana,1375,727.62,Delta,SDQ,2023-05-02,2023-05-09,http://kayak.com/flights/NAP-SDQ/2023-05-02/2023-05-09/,727.62,1.0,2023,5,NAP,780.78,781.37125,781.37,2023-03-21 02:28:55,True,-53.15999999999997,-6.808576039345267
Chicago,Estados Unidos,1331,583.96,Air France,ORD,2023-05-18,2023-05-22,http://kayak.com/flights/NAP-ORD/2023-05-18/2023-05-22/,583.96,1.0,2023,5,NAP,625.99,663.115,663.115,2023-03-21 02:28:55,True,-42.02999999999997,-6.714164763015379
Las Palmas,Espanha,1285,125.94,Ryanair,LPA,2023-06-07,2023-06-14,http://kayak.com/flights/NAP-LPA/2023-06-07/2023-06-14/,125.94,1.0,2023,6,NAP,133.15,205.945,210.94,2023-03-21 02:28:55,True,-7.210000000000008,-5.414945550131437
