City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Minneapolis,Estados Unidos,1070,776.82,Várias companhias aéreas,MSP,2023-06-06,2023-06-12,http://kayak.com/flights/OPO-MSP/2023-06-06/2023-06-12/,776.82,1,2023,6,OPO,983.9,987.0025,986.37,2023-03-22 02:31:35,True,-207.07999999999993,-21.046854355117382
Lilongwe,Malaui,1965,1603.88,Várias companhias aéreas,LLW,2023-04-19,2023-04-26,http://kayak.com/flights/OPO-LLW/2023-04-19/2023-04-26/,1603.88,1,2023,4,OPO,2025.2,2026.2575000000002,2025.2,2023-03-22 02:31:35,True,-421.31999999999994,-20.803871222595298
Bodrum,Turquia,780,450.28,Várias companhias aéreas,BJV,2023-08-31,2023-09-07,http://kayak.com/flights/OPO-BJV/2023-08-31/2023-09-07/,450.28,1,2023,8,OPO,529.86,530.415,530.415,2023-03-22 02:31:35,True,-79.58000000000004,-15.019061638923498
Florianópolis,Brasil,1420,907.07,Lufthansa,FLN,2023-11-13,2023-11-19,http://kayak.com/flights/OPO-FLN/2023-11-13/2023-11-19/,907.07,1,2023,11,OPO,1064.21,1064.21,1064.21,2023-03-22 02:31:35,True,-157.14,-14.765882673532477
Mahón,Espanha,1020,68.85,Várias companhias aéreas,MAH,2023-04-19,2023-04-26,http://kayak.com/flights/OPO-MAH/2023-04-19/2023-04-26/,68.85,1,2023,4,OPO,76.29,112.8625,106.18,2023-03-22 02:31:35,True,-7.440000000000012,-9.75226110892648
Iași,Roménia,845,104.2,Várias companhias aéreas,IAS,2023-05-17,2023-05-24,http://kayak.com/flights/OPO-IAS/2023-05-17/2023-05-24/,104.2,1,2023,5,OPO,114.48,156.457,114.73,2023-03-22 02:31:35,True,-10.280000000000001,-8.979734451432565
Málaga,Espanha,90,38.15,Ryanair,AGP,2023-04-13,2023-04-18,http://kayak.com/flights/OPO-AGP/2023-04-13/2023-04-18/,38.15,1,2023,4,OPO,41.74,69.46071428571429,66.95,2023-03-22 02:31:35,True,-3.5900000000000034,-8.600862482031632
Riga,Letónia,1605,161.88,Ryanair,RIX,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-RIX/2023-06-07/2023-06-11/,161.88,1,2023,6,OPO,175.47,271.1682222222222,220.67,2023-03-22 02:31:35,True,-13.590000000000003,-7.74491366045478
Arrecife,Espanha,1150,90.25,Várias companhias aéreas,ACE,2023-04-15,2023-04-20,http://kayak.com/flights/OPO-ACE/2023-04-15/2023-04-20/,90.25,1,2023,4,OPO,97.49,189.22641025641025,145.02,2023-03-22 02:31:35,True,-7.239999999999995,-7.426402707970044
Rapid City,Estados Unidos,2520,896.83,United Airlines,RAP,2023-06-08,2023-06-14,http://kayak.com/flights/OPO-RAP/2023-06-08/2023-06-14/,896.83,1,2023,6,OPO,946.01,946.01,946.01,2023-03-22 02:31:35,True,-49.17999999999995,-5.198676546759542
Saraievo,Bósnia-Herzegóvina,685,290.26,Várias companhias aéreas,SJJ,2023-05-17,2023-05-24,http://kayak.com/flights/OPO-SJJ/2023-05-17/2023-05-24/,290.26,1,2023,5,OPO,304.11,315.9909523809524,325.45,2023-03-22 02:31:35,True,-13.850000000000023,-4.554273124856144
Luxor,Egito,1715,774.96,Várias companhias aéreas,LXR,2023-08-07,2023-08-13,http://kayak.com/flights/OPO-LXR/2023-08-07/2023-08-13/,774.96,1,2023,8,OPO,806.9,871.1063636363637,808.67,2023-03-22 02:31:35,True,-31.93999999999994,-3.9583591523113073
Ontário,Estados Unidos,2970,743.33,British Airways,ONT,2023-03-28,2023-04-04,http://kayak.com/flights/OPO-ONT/2023-03-28/2023-04-04/,743.33,1,2023,3,OPO,763.96,942.5463333333333,812.595,2023-03-22 02:31:35,True,-20.629999999999995,-2.7004031624692386
Pafos,Chipre,1245,186.07,Ryanair,PFO,2023-06-14,2023-06-19,http://kayak.com/flights/OPO-PFO/2023-06-14/2023-06-19/,186.07,1,2023,6,OPO,190.06,255.65891891891889,210.4,2023-03-22 02:31:35,True,-3.990000000000009,-2.099337051457439
Sitia,Grécia,1485,326.55,Várias companhias aéreas,JSH,2023-05-31,2023-06-06,http://kayak.com/flights/OPO-JSH/2023-05-31/2023-06-06/,326.55,1,2023,5,OPO,330.28,348.3581818181818,332.51,2023-03-22 02:31:35,True,-3.7299999999999613,-1.1293447983529012
Thera,Grécia,1545,162.81,Várias companhias aéreas,JTR,2023-06-18,2023-06-22,http://kayak.com/flights/OPO-JTR/2023-06-18/2023-06-22/,162.81,1,2023,6,OPO,164.51,255.97212765957448,221.63,2023-03-22 02:31:35,True,-1.6999999999999886,-1.033371831499598
Liverpool,Reino Unido,145,40.94,Ryanair,LPL,2023-04-27,2023-05-01,http://kayak.com/flights/OPO-LPL/2023-04-27/2023-05-01/,40.94,1,2023,4,OPO,41.36,107.53362745098039,68.745,2023-03-22 02:31:35,True,-0.4200000000000017,-1.0154738878143175
Marselha,França,130,53.03,Ryanair,MRS,2023-06-03,2023-06-07,http://kayak.com/flights/OPO-MRS/2023-06-03/2023-06-07/,53.03,1,2023,6,OPO,53.29,68.69684210526316,63.42,2023-03-22 02:31:35,True,-0.259999999999998,-0.4878964158378646
Riade,Arábia Saudita,1235,260.49,Wizz Air,RUH,2023-03-25,2023-03-29,http://kayak.com/flights/OPO-RUH/2023-03-25/2023-03-29/,260.49,1,2023,3,OPO,261.75,333.93,270.49,2023-03-22 02:31:35,True,-1.259999999999991,-0.48137535816618565
Nimes,França,125,45.59,Ryanair,FNI,2023-04-20,2023-04-27,http://kayak.com/flights/OPO-FNI/2023-04-20/2023-04-27/,45.59,1,2023,4,OPO,45.81,116.36250000000001,80.15,2023-03-22 02:31:35,True,-0.21999999999999886,-0.4802444881030318
Poznań,Polónia,1435,172.11,Ryanair,POZ,2023-08-30,2023-09-05,http://kayak.com/flights/OPO-POZ/2023-08-30/2023-09-05/,172.11,1,2023,8,OPO,172.94,2032.49,2958.78,2023-03-22 02:31:35,True,-0.8299999999999841,-0.47993523765466867
Jidá,Arábia Saudita,1345,332.13,Várias companhias aéreas,JED,2023-04-26,2023-05-01,http://kayak.com/flights/OPO-JED/2023-04-26/2023-05-01/,332.13,1,2023,4,OPO,333.73,849.5172,949.1400000000001,2023-03-22 02:31:35,True,-1.6000000000000227,-0.4794294789200919
