City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Argostoli,Grécia,85,54.77,Volotea,EFL,2023-05-30,2023-06-06,http://kayak.com/flights/NAP-EFL/2023-05-30/2023-06-06/,54.77,1.0,2023,5,NAP,189.97,199.10000000000002,190.4,2023-04-13 02:31:12,True,-135.2,-71.1691319682055,Tuesday,Tuesday,7 days
Ponta Delgada,Portugal,840,227.27,Várias companhias aéreas,PDL,2023-09-25,2023-09-30,http://kayak.com/flights/NAP-PDL/2023-09-25/2023-09-30/,227.27,1.0,2023,9,NAP,311.09,362.94307692307694,374.28,2023-04-13 02:31:12,True,-83.81999999999996,-26.943971198045574,Monday,Saturday,5 days
Monastir,Tunísia,990,324.02,Air France,MIR,2023-07-15,2023-07-20,http://kayak.com/flights/NAP-MIR/2023-07-15/2023-07-20/,324.02,1.0,2023,7,NAP,433.88,434.264,433.88,2023-04-13 02:31:12,True,-109.86000000000001,-25.32036507790173,Saturday,Thursday,5 days
Verona,Itália,80,52.94,Ryanair,VRN,2023-08-25,2023-08-29,http://kayak.com/flights/NAP-VRN/2023-08-25/2023-08-29/,52.94,1.0,2023,8,NAP,59.6,91.8575,72.76,2023-04-13 02:31:12,True,-6.660000000000004,-11.174496644295308,Friday,Tuesday,4 days
Berlim,Alemanha,645,100.4,Ryanair,BER,2023-07-20,2023-07-26,http://kayak.com/flights/NAP-BER/2023-07-20/2023-07-26/,100.4,1.0,2023,7,NAP,111.89,111.89,111.89,2023-04-13 02:31:12,True,-11.489999999999995,-10.269014210385196,Thursday,Wednesday,6 days
Lamezia Terme,Itália,735,142.39,Ryanair,SUF,2023-04-26,2023-04-30,http://kayak.com/flights/NAP-SUF/2023-04-26/2023-04-30/,142.39,1.0,2023,4,NAP,156.84,203.4665,189.34500000000003,2023-04-13 02:31:12,True,-14.450000000000017,-9.21321091558277,Wednesday,Sunday,4 days
Túnis,Tunísia,1390,193.5,ITA Airways,TUN,2023-09-28,2023-10-05,http://kayak.com/flights/NAP-TUN/2023-09-28/2023-10-05/,193.5,1.0,2023,9,NAP,212.69,288.86,250.32,2023-04-13 02:31:12,True,-19.189999999999998,-9.022521040011283,Thursday,Thursday,7 days
Funchal,Portugal,1695,134.17,Ryanair,FNC,2023-04-25,2023-05-02,http://kayak.com/flights/NAP-FNC/2023-04-25/2023-05-02/,134.17,1.0,2023,4,NAP,146.56,301.62833333333333,272.39,2023-04-13 02:31:12,True,-12.390000000000015,-8.453875545851538,Tuesday,Tuesday,7 days
Fort-de-France,Martinica,990,860.7,Várias companhias aéreas,FDF,2023-05-12,2023-05-19,http://kayak.com/flights/NAP-FDF/2023-05-12/2023-05-19/,860.7,1.0,2023,5,NAP,931.56,931.56,931.56,2023-04-13 02:31:12,True,-70.8599999999999,-7.60659538838077,Friday,Friday,7 days
Busan,Coreia do Sul,1715,1172.85,Várias companhias aéreas,PUS,2023-05-11,2023-05-18,http://kayak.com/flights/NAP-PUS/2023-05-11/2023-05-18/,1172.85,1.0,2023,5,NAP,1239.12,1385.6638888888888,1427.09,2023-04-13 02:31:12,True,-66.26999999999998,-5.348150300213053,Thursday,Thursday,7 days
Hong Kong,Hong Kong,1735,586.88,Várias companhias aéreas,HKG,2023-11-06,2023-11-13,http://kayak.com/flights/NAP-HKG/2023-11-06/2023-11-13/,586.88,1.0,2023,11,NAP,605.83,745.5711764705883,865.15,2023-04-13 02:31:12,True,-18.950000000000045,-3.127940181238969,Monday,Monday,7 days
Phuket,Tailândia,1705,961.1,Turkish Airlines,HKT,2023-11-20,2023-11-26,http://kayak.com/flights/NAP-HKT/2023-11-20/2023-11-26/,961.1,1.0,2023,11,NAP,968.86,968.86,968.86,2023-04-13 02:31:12,True,-7.759999999999991,-0.800941312470325,Monday,Sunday,6 days
Wuhan,China,2390,1600.0,Várias companhias aéreas,WUH,2023-04-12,2023-04-19,http://kayak.com/flights/NAP-WUH/2023-04-12/2023-04-19/,1600.0,1.0,2023,4,NAP,1611.19,1611.19,1611.19,2023-04-13 02:31:12,True,-11.190000000000055,-0.694517716718702,Wednesday,Wednesday,7 days
Nadi,Fiji,2235,3589.73,Várias companhias aéreas,NAN,2023-04-12,2023-04-19,http://kayak.com/flights/NAP-NAN/2023-04-12/2023-04-19/,3589.73,1.0,2023,4,NAP,3614.83,3614.83,3614.83,2023-04-13 02:31:12,True,-25.09999999999991,-0.6943618372094928,Wednesday,Wednesday,7 days
Fukuoka,Japão,1690,1280.55,Várias companhias aéreas,FUK,2023-04-12,2023-04-19,http://kayak.com/flights/NAP-FUK/2023-04-12/2023-04-19/,1280.55,1.0,2023,4,NAP,1289.5,1391.6918181818182,1401.09,2023-04-13 02:31:12,True,-8.950000000000045,-0.6940674680108605,Wednesday,Wednesday,7 days
Aqaba,Jordânia,1465,439.94,Várias companhias aéreas,AQJ,2023-04-12,2023-04-19,http://kayak.com/flights/NAP-AQJ/2023-04-12/2023-04-19/,439.94,1.0,2023,4,NAP,443.01,602.0685294117646,499.21,2023-04-13 02:31:12,True,-3.069999999999993,-0.6929866142976441,Wednesday,Wednesday,7 days
Bordéus,França,140,41.99,Ryanair,BOD,2023-05-12,2023-05-19,http://kayak.com/flights/NAP-BOD/2023-05-12/2023-05-19/,41.99,1.0,2023,5,NAP,42.2,134.82225,140.14999999999998,2023-04-13 02:31:12,True,-0.21000000000000085,-0.49763033175355653,Friday,Friday,7 days
Memmingen,Alemanha,105,76.67,Ryanair,FMM,2023-06-22,2023-06-29,http://kayak.com/flights/NAP-FMM/2023-06-22/2023-06-29/,76.67,1.0,2023,6,NAP,77.05,115.93222222222224,102.05,2023-04-13 02:31:12,True,-0.37999999999999545,-0.49318624269953987,Thursday,Thursday,7 days
Frankfurt,Alemanha,470,103.14,Ryanair,FRA,2023-06-21,2023-06-28,http://kayak.com/flights/NAP-FRA/2023-06-21/2023-06-28/,103.14,1.0,2023,6,NAP,103.65,152.69545454545457,150.33,2023-04-13 02:31:12,True,-0.5100000000000051,-0.4920405209840859,Wednesday,Wednesday,7 days
Escíato,Grécia,105,54.77,Volotea,JSI,2023-05-31,2023-06-07,http://kayak.com/flights/NAP-JSI/2023-05-31/2023-06-07/,54.77,1.0,2023,5,NAP,55.04,155.07833333333335,77.0,2023-04-13 02:31:12,True,-0.269999999999996,-0.49055232558138817,Wednesday,Wednesday,7 days
Liverpool,Reino Unido,805,190.76,Ryanair,LPL,2023-09-21,2023-09-25,http://kayak.com/flights/NAP-LPL/2023-09-21/2023-09-25/,190.76,1.0,2023,9,NAP,191.7,191.89999999999998,191.89999999999998,2023-04-13 02:31:12,True,-0.9399999999999977,-0.4903495044340104,Thursday,Monday,4 days
Stavanger,Noruega,945,177.07,Lufthansa,SVG,2023-05-17,2023-05-22,http://kayak.com/flights/NAP-SVG/2023-05-17/2023-05-22/,177.07,1.0,2023,5,NAP,177.94,187.15,193.29,2023-04-13 02:31:12,True,-0.8700000000000045,-0.4889288524221673,Wednesday,Monday,5 days
Trieste,Itália,80,79.41,Ryanair,TRS,2023-07-30,2023-08-06,http://kayak.com/flights/NAP-TRS/2023-07-30/2023-08-06/,79.41,1.0,2023,7,NAP,79.8,79.8,79.8,2023-04-13 02:31:12,True,-0.39000000000000057,-0.4887218045112789,Sunday,Sunday,7 days
El Aiune,Sara Ocidental,1395,228.18,Royal Air Maroc,EUN,2023-04-21,2023-04-26,http://kayak.com/flights/NAP-EUN/2023-04-21/2023-04-26/,228.18,1.0,2023,4,NAP,229.3,229.39600000000002,229.3,2023-04-13 02:31:12,True,-1.1200000000000045,-0.48844308765809175,Friday,Wednesday,5 days
Copenhaga,Dinamarca,745,122.31,Ryanair,CPH,2023-09-13,2023-09-20,http://kayak.com/flights/NAP-CPH/2023-09-13/2023-09-20/,122.31,1.0,2023,9,NAP,122.91,131.54199999999997,133.7,2023-04-13 02:31:12,True,-0.5999999999999943,-0.48816206980717136,Wednesday,Wednesday,7 days
