City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Bogotá,Colômbia,2220,653.95,Delta,BOG,2024-02-12,2024-02-17,http://kayak.com/flights/MXP-BOG/2024-02-12/2024-02-17/,653.95,1.0,2024,2,MXP,1149.26,1149.26,1149.26,2023-04-27 02:34:11,True,-495.30999999999995,-43.098167516488864,Monday,Saturday,5 days
Reus,Espanha,760,151.47,Vueling,REU,2023-05-27,2023-05-31,http://kayak.com/flights/MXP-REU/2023-05-27/2023-05-31/,151.47,1.0,2023,5,MXP,184.41,282.2834693877551,262.24,2023-04-27 02:34:11,True,-32.94,-17.862371888726205,Saturday,Wednesday,4 days
Vila do Porto,Portugal,1565,473.46,Várias companhias aéreas,SMA,2023-07-23,2023-07-30,http://kayak.com/flights/MXP-SMA/2023-07-23/2023-07-30/,473.46,1.0,2023,7,MXP,482.22,482.22,482.22,2023-04-27 02:34:11,True,-8.760000000000048,-1.8165982331715913,Sunday,Sunday,7 days
Alta,Noruega,1650,453.51,Scandinavian Airlines,ALF,2023-08-02,2023-08-09,http://kayak.com/flights/MXP-ALF/2023-08-02/2023-08-09/,453.51,1.0,2023,8,MXP,461.83,465.741,462.08,2023-04-27 02:34:11,True,-8.319999999999993,-1.8015287010371768,Wednesday,Wednesday,7 days
Nápoles,Itália,95,30.84,Ryanair,NAP,2023-05-24,2023-05-31,http://kayak.com/flights/MXP-NAP/2023-05-24/2023-05-31/,30.84,1.0,2023,5,MXP,30.88,36.67142857142857,35.46,2023-04-27 02:34:11,True,-0.03999999999999915,-0.12953367875647392,Wednesday,Wednesday,7 days
Alicante,Espanha,130,24.49,Ryanair,ALC,2023-05-09,2023-05-16,http://kayak.com/flights/MXP-ALC/2023-05-09/2023-05-16/,24.49,1.0,2023,5,MXP,24.52,42.54965517241379,39.41,2023-04-27 02:34:11,True,-0.030000000000001137,-0.12234910277325096,Tuesday,Tuesday,7 days
Olbia,Itália,80,52.61,easyJet,OLB,2023-09-11,2023-09-15,http://kayak.com/flights/MXP-OLB/2023-09-11/2023-09-15/,52.61,1.0,2023,9,MXP,52.67,66.70761904761905,63.88,2023-04-27 02:34:11,True,-0.060000000000002274,-0.11391684070628871,Monday,Friday,4 days
Belgrado,Sérvia,105,97.05,Air Serbia,BEG,2023-05-28,2023-06-02,http://kayak.com/flights/MXP-BEG/2023-05-28/2023-06-02/,97.05,1.0,2023,5,MXP,97.16,154.68171875,146.5,2023-04-27 02:34:11,True,-0.10999999999999943,-0.113215314944421,Sunday,Friday,5 days
Estugarda,Alemanha,70,91.61,Eurowings,STR,2024-02-16,2024-02-20,http://kayak.com/flights/MXP-STR/2024-02-16/2024-02-20/,91.61,1.0,2024,2,MXP,91.71,91.71,91.71,2023-04-27 02:34:11,True,-0.09999999999999432,-0.10903936321011266,Friday,Tuesday,4 days
Paris,França,90,46.26,Vueling,PAR,2023-11-21,2023-11-28,http://kayak.com/flights/MXP-PAR/2023-11-21/2023-11-28/,46.26,1.0,2023,11,MXP,46.31,46.728571428571435,47.04,2023-04-27 02:34:11,True,-0.05000000000000426,-0.10796804145973711,Tuesday,Tuesday,7 days
