City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Pequim,China,1775,559.5,LOT,BJS,2024-02-02,2024-02-08,http://kayak.com/flights/MAD-BJS/2024-02-02/2024-02-08/,559.5,1,2024,2,MAD,723.64,736.14,736.14,2023-05-09 02:37:51,True,-164.14,-22.682549333922942,Friday,Thursday,6 days
Wenzhou,China,1570,797.99,China Southern,WNZ,2023-06-02,2023-06-08,http://kayak.com/flights/MAD-WNZ/2023-06-02/2023-06-08/,797.99,1,2023,6,MAD,966.83,1080.4418918918918,991.7,2023-05-09 02:37:51,True,-168.84000000000003,-17.46325620843375,Friday,Thursday,6 days
Abidjã,Costa do Marfim,750,369.07,Royal Air Maroc,ABJ,2023-10-04,2023-10-08,http://kayak.com/flights/MAD-ABJ/2023-10-04/2023-10-08/,369.07,1,2023,10,MAD,446.74,447.28249999999997,447.54499999999996,2023-05-09 02:37:51,True,-77.67000000000002,-17.385951560191614,Wednesday,Sunday,4 days
Porto de Espanha,Trinidad e Tobago,2460,1059.15,Várias companhias aéreas,POS,2023-08-25,2023-09-01,http://kayak.com/flights/MAD-POS/2023-08-25/2023-09-01/,1059.15,1,2023,8,MAD,1217.96,1373.4676000000002,1281.69,2023-05-09 02:37:51,True,-158.80999999999995,-13.039016059640707,Friday,Friday,7 days
Roterdão,Holanda,815,165.95,Várias companhias aéreas,RTM,2023-09-05,2023-09-12,http://kayak.com/flights/MAD-RTM/2023-09-05/2023-09-12/,165.95,1,2023,9,MAD,189.36,223.8345454545455,196.46,2023-05-09 02:37:51,True,-23.410000000000025,-12.362695395014798,Tuesday,Tuesday,7 days
Dubrovnik,Croácia,530,128.77,Várias companhias aéreas,DBV,2023-10-17,2023-10-24,http://kayak.com/flights/MAD-DBV/2023-10-17/2023-10-24/,128.77,1,2023,10,MAD,145.9,175.2323076923077,170.875,2023-05-09 02:37:51,True,-17.129999999999995,-11.74091843728581,Tuesday,Tuesday,7 days
Atenas,Grécia,1300,102.47,Ryanair,ATH,2023-10-18,2023-10-23,http://kayak.com/flights/MAD-ATH/2023-10-18/2023-10-23/,102.47,1,2023,10,MAD,111.01,132.47985294117646,133.42,2023-05-09 02:37:51,True,-8.540000000000006,-7.693000630573827,Wednesday,Monday,5 days
Cork,Irlanda,1135,109.73,Ryanair,ORK,2023-06-07,2023-06-14,http://kayak.com/flights/MAD-ORK/2023-06-07/2023-06-14/,109.73,1,2023,6,MAD,118.21,167.01000000000002,131.96,2023-05-09 02:37:51,True,-8.47999999999999,-7.1736739700532866,Wednesday,Wednesday,7 days
Nice,França,125,74.36,Iberia,NCE,2023-09-09,2023-09-13,http://kayak.com/flights/MAD-NCE/2023-09-09/2023-09-13/,74.36,1,2023,9,MAD,77.8,85.08636363636364,82.76,2023-05-09 02:37:51,True,-3.4399999999999977,-4.421593830334188,Saturday,Wednesday,4 days
Krabi,Tailândia,1785,875.07,Várias companhias aéreas,KBV,2024-02-19,2024-02-25,http://kayak.com/flights/MAD-KBV/2024-02-19/2024-02-25/,875.07,1,2024,2,MAD,898.63,901.9463636363636,902.6,2023-05-09 02:37:51,True,-23.559999999999945,-2.6217686923427825,Monday,Sunday,6 days
Houston,Estados Unidos,1235,639.3,Air Canada,IAH,2023-09-13,2023-09-19,http://kayak.com/flights/MAD-IAH/2023-09-13/2023-09-19/,639.3,1,2023,9,MAD,654.25,662.6366666666667,661.52,2023-05-09 02:37:51,True,-14.950000000000045,-2.285059228123813,Wednesday,Tuesday,6 days
St Peter Port,Guernsey,690,437.99,Várias companhias aéreas,GCI,2023-06-08,2023-06-14,http://kayak.com/flights/MAD-GCI/2023-06-08/2023-06-14/,437.99,1,2023,6,MAD,445.4,446.1466666666667,445.59,2023-05-09 02:37:51,True,-7.409999999999968,-1.663673102828911,Thursday,Wednesday,6 days
Tbilisi,Geórgia,725,262.98,LOT,TBS,2023-11-16,2023-11-23,http://kayak.com/flights/MAD-TBS/2023-11-16/2023-11-23/,262.98,1,2023,11,MAD,264.31,264.31,264.31,2023-05-09 02:37:51,True,-1.329999999999984,-0.5031970035185896,Thursday,Thursday,7 days
Curitiba,Brasil,1175,900.46,LATAM Airlines,CWB,2023-06-05,2023-06-12,http://kayak.com/flights/MAD-CWB/2023-06-05/2023-06-12/,900.46,1,2023,6,MAD,903.81,933.2371428571429,944.65,2023-05-09 02:37:51,True,-3.349999999999909,-0.3706531239972903,Monday,Monday,7 days
Cidade do México,México,1625,636.58,Air Canada,MEX,2023-09-28,2023-10-03,http://kayak.com/flights/MAD-MEX/2023-09-28/2023-10-03/,636.58,1,2023,9,MAD,638.84,692.3378947368421,691.56,2023-05-09 02:37:51,True,-2.259999999999991,-0.3537662012397456,Thursday,Tuesday,5 days
Bérgamo,Itália,140,48.07,Ryanair,BGY,2023-10-07,2023-10-14,http://kayak.com/flights/MAD-BGY/2023-10-07/2023-10-14/,48.07,1,2023,10,MAD,48.11,49.34625,48.89,2023-05-09 02:37:51,True,-0.03999999999999915,-0.08314279775514269,Saturday,Saturday,7 days
Santa Cruz de la Palma,Espanha,190,77.08,Iberia Express,SPC,2024-01-11,2024-01-18,http://kayak.com/flights/MAD-SPC/2024-01-11/2024-01-18/,77.08,1,2024,1,MAD,77.14,78.235,78.235,2023-05-09 02:37:51,True,-0.060000000000002274,-0.07778065854291195,Thursday,Thursday,7 days
Antália,Turquia,1745,207.66,Várias companhias aéreas,AYT,2023-06-06,2023-06-13,http://kayak.com/flights/MAD-AYT/2023-06-06/2023-06-13/,207.66,1,2023,6,MAD,207.81,272.83500000000004,264.52,2023-05-09 02:37:51,True,-0.15000000000000568,-0.07218131947452273,Tuesday,Tuesday,7 days
Plovdiv,Bulgária,1320,207.66,Ryanair,PDV,2023-06-06,2023-06-13,http://kayak.com/flights/MAD-PDV/2023-06-06/2023-06-13/,207.66,1,2023,6,MAD,207.81,320.95125,301.14,2023-05-09 02:37:51,True,-0.15000000000000568,-0.07218131947452273,Tuesday,Tuesday,7 days
Maastricht,Holanda,1180,153.25,Várias companhias aéreas,MST,2023-09-27,2023-10-01,http://kayak.com/flights/MAD-MST/2023-09-27/2023-10-01/,153.25,1,2023,9,MAD,153.36,260.9129411764706,355.32,2023-05-09 02:37:51,True,-0.11000000000001364,-0.07172665623370737,Wednesday,Sunday,4 days
Kaunas,Lituânia,245,111.54,Ryanair,KUN,2023-12-05,2023-12-09,http://kayak.com/flights/MAD-KUN/2023-12-05/2023-12-09/,111.54,1,2023,12,MAD,111.62,111.62,111.62,2023-05-09 02:37:51,True,-0.0799999999999983,-0.07167174341515704,Tuesday,Saturday,4 days
Heraclião,Grécia,1205,167.76,Várias companhias aéreas,HER,2023-10-06,2023-10-10,http://kayak.com/flights/MAD-HER/2023-10-06/2023-10-10/,167.76,1,2023,10,MAD,167.88,185.01749999999998,173.82,2023-05-09 02:37:51,True,-0.12000000000000455,-0.07147962830593552,Friday,Tuesday,4 days
Baltimore,Estados Unidos,1505,267.51,PLAY,BWI,2023-11-20,2023-11-26,http://kayak.com/flights/MAD-BWI/2023-11-20/2023-11-26/,267.51,1,2023,11,MAD,267.7,297.32140350877194,285.57,2023-05-09 02:37:51,True,-0.18999999999999773,-0.07097497198356284,Monday,Sunday,6 days
"Washington, D.C.",Estados Unidos,1505,267.51,PLAY,WAS,2023-11-20,2023-11-26,http://kayak.com/flights/MAD-WAS/2023-11-20/2023-11-26/,267.51,1,2023,11,MAD,267.7,303.18819672131144,285.58,2023-05-09 02:37:51,True,-0.18999999999999773,-0.07097497198356284,Monday,Sunday,6 days
Cochin,Índia,2570,651.99,Várias companhias aéreas,COK,2023-06-05,2023-06-12,http://kayak.com/flights/MAD-COK/2023-06-05/2023-06-12/,651.99,1,2023,6,MAD,652.45,784.1841666666668,652.45,2023-05-09 02:37:51,True,-0.4600000000000364,-0.07050348685723601,Monday,Monday,7 days
Guadalajara,México,946,694.61,Várias companhias aéreas,GDL,2024-02-19,2024-02-23,http://kayak.com/flights/MAD-GDL/2024-02-19/2024-02-23/,694.61,1,2024,2,MAD,695.1,759.8071428571428,776.14,2023-05-09 02:37:51,True,-0.4900000000000091,-0.07049345417925608,Monday,Friday,4 days
Kirkenes,Noruega,1550,425.29,Várias companhias aéreas,KKN,2023-09-05,2023-09-12,http://kayak.com/flights/MAD-KKN/2023-09-05/2023-09-12/,425.29,1,2023,9,MAD,425.59,425.59,425.59,2023-05-09 02:37:51,True,-0.2999999999999545,-0.07049037806338367,Tuesday,Tuesday,7 days
Rennes,França,1045,198.59,Várias companhias aéreas,RNS,2023-12-06,2023-12-11,http://kayak.com/flights/MAD-RNS/2023-12-06/2023-12-11/,198.59,1,2023,12,MAD,198.73,219.67000000000002,219.67000000000002,2023-05-09 02:37:51,True,-0.13999999999998636,-0.070447340612885,Wednesday,Monday,5 days
Milltown (Kerry),Irlanda,1760,170.48,Ryanair,KIR,2023-07-21,2023-07-28,http://kayak.com/flights/MAD-KIR/2023-07-21/2023-07-28/,170.48,1,2023,7,MAD,170.6,179.1585714285714,182.52,2023-05-09 02:37:51,True,-0.12000000000000455,-0.07033997655334381,Friday,Friday,7 days
Libreville,Gabão,1920,924.03,Turkish Airlines,LBV,2023-06-05,2023-06-12,http://kayak.com/flights/MAD-LBV/2023-06-05/2023-06-12/,924.03,1,2023,6,MAD,924.68,937.1841666666666,924.69,2023-05-09 02:37:51,True,-0.6499999999999773,-0.07029458839814609,Monday,Monday,7 days
Pointe-à-Pitre,Guadalupe,1735,810.68,Várias companhias aéreas,PTP,2023-12-05,2023-12-12,http://kayak.com/flights/MAD-PTP/2023-12-05/2023-12-12/,810.68,1,2023,12,MAD,811.25,1358.6057142857144,1457.42,2023-05-09 02:37:51,True,-0.57000000000005,-0.0702619414483883,Tuesday,Tuesday,7 days
Long Beach,Estados Unidos,1728,711.84,KLM,LGB,2024-03-04,2024-03-11,http://kayak.com/flights/MAD-LGB/2024-03-04/2024-03-11/,711.84,1,2024,3,MAD,712.34,781.6375,712.345,2023-05-09 02:37:51,True,-0.5,-0.07019120083106381,Monday,Monday,7 days
Jouf,Arábia Saudita,1580,726.35,Várias companhias aéreas,AJF,2023-05-22,2023-05-26,http://kayak.com/flights/MAD-AJF/2023-05-22/2023-05-26/,726.35,1,2023,5,MAD,726.86,726.86,726.86,2023-05-09 02:37:51,True,-0.5099999999999909,-0.07016481853451709,Monday,Friday,4 days
Vaxjo,Suécia,1895,641.11,Várias companhias aéreas,VXO,2023-05-16,2023-05-23,http://kayak.com/flights/MAD-VXO/2023-05-16/2023-05-23/,641.11,1,2023,5,MAD,641.56,641.56,641.56,2023-05-09 02:37:51,True,-0.4499999999999318,-0.07014153002056422,Tuesday,Tuesday,7 days
Porto Plata,República Dominicana,1927,1054.61,American Airlines,POP,2024-03-23,2024-03-30,http://kayak.com/flights/MAD-POP/2024-03-23/2024-03-30/,1054.61,1,2024,3,MAD,1055.35,1055.3542857142857,1055.35,2023-05-09 02:37:51,True,-0.7400000000000091,-0.07011891789453822,Saturday,Saturday,7 days
Yanbu,Arábia Saudita,1605,599.4,Várias companhias aéreas,YNB,2023-05-16,2023-05-23,http://kayak.com/flights/MAD-YNB/2023-05-16/2023-05-23/,599.4,1,2023,5,MAD,599.82,599.82,599.82,2023-05-09 02:37:51,True,-0.42000000000007276,-0.0700210063019027,Tuesday,Tuesday,7 days
Vancouver,Canadá,1746,599.4,Air Canada,YVR,2023-10-06,2023-10-12,http://kayak.com/flights/MAD-YVR/2023-10-06/2023-10-12/,599.4,1,2023,10,MAD,599.82,652.2406666666667,663.13,2023-05-09 02:37:51,True,-0.42000000000007276,-0.0700210063019027,Friday,Thursday,6 days
Mostar,Bósnia-Herzegóvina,2280,613.91,Várias companhias aéreas,OMO,2023-06-05,2023-06-12,http://kayak.com/flights/MAD-OMO/2023-06-05/2023-06-12/,613.91,1,2023,6,MAD,614.34,779.0883333333333,614.34,2023-05-09 02:37:51,True,-0.43000000000006366,-0.0699938145001243,Monday,Monday,7 days
Bacau,Roménia,1865,228.52,Várias companhias aéreas,BCM,2023-09-16,2023-09-23,http://kayak.com/flights/MAD-BCM/2023-09-16/2023-09-23/,228.52,1,2023,9,MAD,228.68,319.89000000000004,228.68,2023-05-09 02:37:51,True,-0.1599999999999966,-0.06996676578625004,Saturday,Saturday,7 days
Nagua,República Dominicana,2045,1086.35,Air Canada,AZS,2024-02-13,2024-02-20,http://kayak.com/flights/MAD-AZS/2024-02-13/2024-02-20/,1086.35,1,2024,2,MAD,1087.11,1499.88,1735.62,2023-05-09 02:37:51,True,-0.7599999999999909,-0.06991012868982817,Tuesday,Tuesday,7 days
Osh,Quirguizistão,765,671.94,Pegasus Airlines,OSS,2023-06-27,2023-07-04,http://kayak.com/flights/MAD-OSS/2023-06-27/2023-07-04/,671.94,1,2023,6,MAD,672.41,1351.423846153846,1408.05,2023-05-09 02:37:51,True,-0.4699999999999136,-0.06989783019287542,Tuesday,Tuesday,7 days
