City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Salalah,Omã,1585,548.19,Várias companhias aéreas,SLL,2023-06-16,2023-06-23,http://kayak.com/flights/LIS-SLL/2023-06-16/2023-06-23/,548.19,1.0,2023,6,LIS,796.8,856.3492156862744,871.12,2023-06-03 02:51:49,True,-248.6099999999999,-31.20105421686746,Friday,Friday,7 days
Frankfurt,Alemanha,1730,107.04,Ryanair,FRA,2023-10-03,2023-10-10,http://kayak.com/flights/LIS-FRA/2023-10-03/2023-10-10/,107.04,1.0,2023,10,LIS,125.83,142.095,138.025,2023-06-03 02:51:49,True,-18.789999999999992,-14.932845903202727,Tuesday,Tuesday,7 days
Dresden,Alemanha,950,228.96,Várias companhias aéreas,DRS,2023-07-16,2023-07-21,http://kayak.com/flights/LIS-DRS/2023-07-16/2023-07-21/,228.96,1.0,2023,7,LIS,239.6,372.67699999999996,336.79,2023-06-03 02:51:49,True,-10.639999999999986,-4.440734557595988,Sunday,Friday,5 days
Santo Domingo,República Dominicana,1740,908.38,Air Europa,SDQ,2023-07-02,2023-07-09,http://kayak.com/flights/LIS-SDQ/2023-07-02/2023-07-09/,908.38,1.0,2023,7,LIS,931.33,2566.3,3111.29,2023-06-03 02:51:49,True,-22.950000000000045,-2.4642178390044394,Sunday,Sunday,7 days
Islamabad,Paquistão,1565,728.75,Várias companhias aéreas,ISB,2023-06-09,2023-06-15,http://kayak.com/flights/LIS-ISB/2023-06-09/2023-06-15/,728.75,1.0,2023,6,LIS,746.04,873.559,889.93,2023-06-03 02:51:49,True,-17.289999999999964,-2.3175701034797016,Friday,Thursday,6 days
Richmond,Estados Unidos,2207,1124.3,American Airlines,RIC,2023-07-15,2023-07-22,http://kayak.com/flights/LIS-RIC/2023-07-15/2023-07-22/,1124.3,1.0,2023,7,LIS,1143.89,1150.5227272727273,1151.86,2023-06-03 02:51:49,True,-19.590000000000146,-1.7125772583028214,Saturday,Saturday,7 days
Luqa,Malta,210,76.32,Ryanair,MLA,2024-01-20,2024-01-27,http://kayak.com/flights/LIS-MLA/2024-01-20/2024-01-27/,76.32,1.0,2024,1,LIS,77.44,77.44,77.44,2023-06-03 02:51:49,True,-1.1200000000000045,-1.446280991735543,Saturday,Saturday,7 days
Santiago,Chile,2432,1183.87,Várias companhias aéreas,SCL,2023-07-06,2023-07-13,http://kayak.com/flights/LIS-SCL/2023-07-06/2023-07-13/,1183.87,1.0,2023,7,LIS,1191.03,1364.7841176470588,1302.37,2023-06-03 02:51:49,True,-7.160000000000082,-0.6011603402097413,Thursday,Thursday,7 days
San Luis Potosí,México,2254,821.82,British Airways,SLP,2023-06-02,2023-06-09,http://kayak.com/flights/LIS-SLP/2023-06-02/2023-06-09/,821.82,1.0,2023,6,LIS,826.4,826.4,826.4,2023-06-03 02:51:49,True,-4.579999999999927,-0.554211035817997,Friday,Friday,7 days
Munique,Alemanha,2600,179.63,Várias companhias aéreas,MUC,2023-09-29,2023-10-03,http://kayak.com/flights/LIS-MUC/2023-09-29/2023-10-03/,179.63,1.0,2023,9,LIS,180.46,206.59525,202.18,2023-06-03 02:51:49,True,-0.8300000000000125,-0.4599357198271154,Friday,Tuesday,4 days
Marselha,França,140,51.19,Ryanair,MRS,2023-10-11,2023-10-15,http://kayak.com/flights/LIS-MRS/2023-10-11/2023-10-15/,51.19,1.0,2023,10,LIS,51.32,60.598571428571425,56.85,2023-06-03 02:51:49,True,-0.13000000000000256,-0.2533125487139567,Wednesday,Sunday,4 days
Cagliari,Itália,665,102.38,Ryanair,CAG,2023-10-17,2023-10-24,http://kayak.com/flights/LIS-CAG/2023-10-17/2023-10-24/,102.38,1.0,2023,10,LIS,102.63,131.5048,126.87,2023-06-03 02:51:49,True,-0.25,-0.24359349118191564,Tuesday,Tuesday,7 days
Porto Santo,Portugal,105,90.28,easyJet,PXO,2023-09-24,2023-09-29,http://kayak.com/flights/LIS-PXO/2023-09-24/2023-09-29/,90.28,1.0,2023,9,LIS,90.5,167.85413793103447,136.2,2023-06-03 02:51:49,True,-0.21999999999999886,-0.24309392265193247,Sunday,Friday,5 days
Trondheim,Noruega,595,274.56,Várias companhias aéreas,TRD,2024-02-01,2024-02-08,http://kayak.com/flights/LIS-TRD/2024-02-01/2024-02-08/,274.56,1.0,2024,2,LIS,275.22,275.22,275.22,2023-06-03 02:51:49,True,-0.660000000000025,-0.23980815347722728,Thursday,Thursday,7 days
Argel,Argélia,125,183.35,Air Algerie,ALG,2023-10-05,2023-10-12,http://kayak.com/flights/LIS-ALG/2023-10-05/2023-10-12/,183.35,1.0,2023,10,LIS,183.79,183.79,183.79,2023-06-03 02:51:49,True,-0.4399999999999977,-0.2394036672289013,Thursday,Thursday,7 days
Stavanger,Noruega,845,287.59,Várias companhias aéreas,SVG,2023-07-11,2023-07-17,http://kayak.com/flights/LIS-SVG/2023-07-11/2023-07-17/,287.59,1.0,2023,7,LIS,288.28,345.16230769230765,289.2,2023-06-03 02:51:49,True,-0.6899999999999977,-0.23935063133065,Tuesday,Monday,6 days
Exeter,Reino Unido,1290,221.51,Ryanair,EXT,2023-06-25,2023-06-29,http://kayak.com/flights/LIS-EXT/2023-06-25/2023-06-29/,221.51,1.0,2023,6,LIS,222.04,634.3856363636363,653.17,2023-06-03 02:51:49,True,-0.5300000000000011,-0.23869573049900972,Sunday,Thursday,4 days
Split,Croácia,510,209.41,Várias companhias aéreas,SPU,2023-08-30,2023-09-06,http://kayak.com/flights/LIS-SPU/2023-08-30/2023-09-06/,209.41,1.0,2023,8,LIS,209.91,297.79617647058825,297.745,2023-06-03 02:51:49,True,-0.5,-0.23819732266209329,Wednesday,Wednesday,7 days
Las Palmas,Espanha,1615,117.27,Várias companhias aéreas,LPA,2023-09-12,2023-09-19,http://kayak.com/flights/LIS-LPA/2023-09-12/2023-09-19/,117.27,1.0,2023,9,LIS,117.55,158.83928571428572,161.29,2023-06-03 02:51:49,True,-0.28000000000000114,-0.23819651212250204,Tuesday,Tuesday,7 days
Bucareste,Roménia,570,142.4,SWISS,BUH,2023-11-14,2023-11-21,http://kayak.com/flights/LIS-BUH/2023-11-14/2023-11-21/,142.4,1.0,2023,11,LIS,142.74,155.685,151.19,2023-06-03 02:51:49,True,-0.3400000000000034,-0.23819532016253567,Tuesday,Tuesday,7 days
