City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Cancún,México,1230,432.08,Air Europa,CUN,2023-08-24,2023-08-28,http://kayak.com/flights/OPO-CUN/2023-08-24/2023-08-28/,432.08,1.0,2023,8,OPO,524.14,651.2266666666667,600.82,2023-03-20 02:40:41,True,-92.06,-17.564009615751516
Nador,Marrocos,1100,268.06,Várias companhias aéreas,NDR,2023-08-20,2023-08-25,http://kayak.com/flights/OPO-NDR/2023-08-20/2023-08-25/,268.06,1.0,2023,8,OPO,324.35,564.3050000000001,564.3050000000001,2023-03-20 02:40:41,True,-56.29000000000002,-17.35470941883768
Zaquinto,Grécia,1695,184.65,Várias companhias aéreas,ZTH,2023-09-12,2023-09-16,http://kayak.com/flights/OPO-ZTH/2023-09-12/2023-09-16/,184.65,1.0,2023,9,OPO,219.0,258.83612903225804,224.17,2023-03-20 02:40:41,True,-34.349999999999994,-15.684931506849312
Bolonha,Itália,170,89.04,Ryanair,BLQ,2023-10-07,2023-10-11,http://kayak.com/flights/OPO-BLQ/2023-10-07/2023-10-11/,89.04,1.0,2023,10,OPO,98.67,115.298,101.25,2023-03-20 02:40:41,True,-9.629999999999995,-9.75980541197932
San José del Cabo,México,1931,849.16,Várias companhias aéreas,SJD,2023-04-18,2023-04-25,http://kayak.com/flights/OPO-SJD/2023-04-18/2023-04-25/,849.16,1.0,2023,4,OPO,928.64,930.725,931.135,2023-03-20 02:40:41,True,-79.48000000000002,-8.558752584424537
Lisboa,Portugal,60,69.36,TAP AIR PORTUGAL,LIS,2023-07-13,2023-07-19,http://kayak.com/flights/OPO-LIS/2023-07-13/2023-07-19/,69.36,1.0,2023,7,OPO,73.52,110.78384615384616,99.6,2023-03-20 02:40:41,True,-4.159999999999997,-5.65832426550598
Lajes,Portugal,1520,88.11,Várias companhias aéreas,TER,2023-09-22,2023-09-29,http://kayak.com/flights/OPO-TER/2023-09-22/2023-09-29/,88.11,1.0,2023,9,OPO,92.87,111.03666666666668,107.15,2023-03-20 02:40:41,True,-4.760000000000005,-5.125444169268876
Luxemburgo,Luxemburgo,150,44.06,Várias companhias aéreas,LUX,2023-06-20,2023-06-25,http://kayak.com/flights/OPO-LUX/2023-06-20/2023-06-25/,44.06,1.0,2023,6,OPO,45.94,74.8475,70.07,2023-03-20 02:40:41,True,-1.8799999999999955,-4.092294296909002
Fort Lauderdale,Estados Unidos,1821,430.21,Várias companhias aéreas,FLL,2023-09-18,2023-09-25,http://kayak.com/flights/OPO-FLL/2023-09-18/2023-09-25/,430.21,1.0,2023,9,OPO,448.2,532.989375,505.01,2023-03-20 02:40:41,True,-17.99000000000001,-4.013833110218655
Buenos Aires,Argentina,2360,940.08,Várias companhias aéreas,BUE,2023-04-20,2023-04-24,http://kayak.com/flights/OPO-BUE/2023-04-20/2023-04-24/,940.08,1.0,2023,4,OPO,965.72,1046.0947222222223,1028.9,2023-03-20 02:40:41,True,-25.639999999999986,-2.655013875657539
Sevilha,Espanha,75,37.5,Ryanair,SVQ,2023-04-13,2023-04-19,http://kayak.com/flights/OPO-SVQ/2023-04-13/2023-04-19/,37.5,1.0,2023,4,OPO,38.48,87.00541666666668,61.545,2023-03-20 02:40:41,True,-0.9799999999999969,-2.546777546777539
Toulouse,França,105,24.37,Ryanair,TLS,2023-04-12,2023-04-19,http://kayak.com/flights/OPO-TLS/2023-04-12/2023-04-19/,24.37,1.0,2023,4,OPO,24.38,80.95661016949151,69.59,2023-03-20 02:40:41,True,-0.00999999999999801,-0.04101722723543073
Brive-la-Gaillarde,França,105,30.93,Ryanair,BVE,2023-06-23,2023-06-28,http://kayak.com/flights/OPO-BVE/2023-06-23/2023-06-28/,30.93,1.0,2023,6,OPO,30.94,221.31000000000003,207.33,2023-03-20 02:40:41,True,-0.010000000000001563,-0.03232062055591973
Dublin,Irlanda,435,68.42,TAP AIR PORTUGAL,DUB,2023-11-18,2023-11-24,http://kayak.com/flights/OPO-DUB/2023-11-18/2023-11-24/,68.42,1.0,2023,11,OPO,68.44,68.44,68.44,2023-03-20 02:40:41,True,-0.01999999999999602,-0.02922267679718881
Veneza,Itália,1270,78.73,Ryanair,VCE,2023-06-15,2023-06-20,http://kayak.com/flights/OPO-VCE/2023-06-15/2023-06-20/,78.73,1.0,2023,6,OPO,78.75,111.49208333333333,111.64,2023-03-20 02:40:41,True,-0.01999999999999602,-0.025396825396820342
Ponta Delgada,Portugal,150,82.48,Ryanair,PDL,2023-05-03,2023-05-09,http://kayak.com/flights/OPO-PDL/2023-05-03/2023-05-09/,82.48,1.0,2023,5,OPO,82.5,107.65875,105.35499999999999,2023-03-20 02:40:41,True,-0.01999999999999602,-0.02424242424241942
