City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Maceió,Brasil,1880,938.2,LATAM Airlines,MCZ,2023-04-18,2023-04-24,http://kayak.com/flights/MAD-MCZ/2023-04-18/2023-04-24/,938.2,1.0,2023,4,MAD,1350.81,1350.81,1350.81,2023-03-20 02:41:21,True,-412.6099999999999,-30.54537647781701
Leeds,Reino Unido,1335,75.92,Ryanair,LBA,2023-04-18,2023-04-25,http://kayak.com/flights/MAD-LBA/2023-04-18/2023-04-25/,75.92,1.0,2023,4,MAD,101.88,329.15270833333335,234.31,2023-03-20 02:41:21,True,-25.959999999999994,-25.480957989791907
Assiut,Egito,1365,464.89,Várias companhias aéreas,ATZ,2023-05-24,2023-05-31,http://kayak.com/flights/MAD-ATZ/2023-05-24/2023-05-31/,464.89,1.0,2023,5,MAD,605.31,800.4796296296297,863.04,2023-03-20 02:41:21,True,-140.41999999999996,-23.198030761097616
Argel,Argélia,1370,143.41,Várias companhias aéreas,ALG,2023-06-06,2023-06-13,http://kayak.com/flights/MAD-ALG/2023-06-06/2023-06-13/,143.41,1.0,2023,6,MAD,184.17,216.5188888888889,203.49,2023-03-20 02:41:21,True,-40.75999999999999,-22.13172612260411
Banja Luka,Bósnia-Herzegóvina,1315,164.03,Várias companhias aéreas,BNX,2023-05-20,2023-05-27,http://kayak.com/flights/MAD-BNX/2023-05-20/2023-05-27/,164.03,1.0,2023,5,MAD,209.36,209.8675,210.01,2023-03-20 02:41:21,True,-45.33000000000001,-21.651700420328627
Ioánnina,Grécia,2255,300.87,Várias companhias aéreas,IOA,2023-05-15,2023-05-21,http://kayak.com/flights/MAD-IOA/2023-05-15/2023-05-21/,300.87,1.0,2023,5,MAD,378.91,379.038,379.07,2023-03-20 02:41:21,True,-78.04000000000002,-20.595919875432163
Vaitape,Polinésia Francesa,2035,2502.49,Várias companhias aéreas,BOB,2023-11-02,2023-11-09,http://kayak.com/flights/MAD-BOB/2023-11-02/2023-11-09/,2502.49,1.0,2023,11,MAD,3034.6,3035.918,3034.6,2023-03-20 02:41:21,True,-532.1100000000001,-17.534765702234235
Antuérpia,Bélgica,1040,328.98,Várias companhias aéreas,ANR,2023-04-20,2023-04-24,http://kayak.com/flights/MAD-ANR/2023-04-20/2023-04-24/,328.98,1.0,2023,4,MAD,393.65,479.86487804878044,446.73,2023-03-20 02:41:21,True,-64.66999999999996,-16.428299250603317
Escópia,Macedónia do Norte,730,141.53,Várias companhias aéreas,SKP,2023-06-07,2023-06-14,http://kayak.com/flights/MAD-SKP/2023-06-07/2023-06-14/,141.53,1.0,2023,6,MAD,165.42,203.1809523809524,172.58,2023-03-20 02:41:21,True,-23.889999999999986,-14.442026357151486
Sohag,Egito,1370,454.58,Várias companhias aéreas,HMB,2023-05-24,2023-05-31,http://kayak.com/flights/MAD-HMB/2023-05-24/2023-05-31/,454.58,1.0,2023,5,MAD,522.86,629.77,614.25,2023-03-20 02:41:21,True,-68.28000000000003,-13.058945033087257
