City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Jidá,Arábia Saudita,1545,278.92,Várias companhias aéreas,JED,2023-09-04,2023-09-11,http://kayak.com/flights/LIS-JED/2023-09-04/2023-09-11/,278.92,1.0,2023,9,LIS,698.76,698.76,698.76,2023-03-21 02:29:05,True,-419.84,-60.083576621443704
Glasgow,Reino Unido,195,66.24,easyJet,GLA,2023-10-17,2023-10-24,http://kayak.com/flights/LIS-GLA/2023-10-17/2023-10-24/,66.24,1.0,2023,10,LIS,149.52,150.17249999999999,150.39,2023-03-21 02:29:05,True,-83.28000000000002,-55.69823434991975
Ancara,Turquia,1580,226.69,Air Serbia,ANK,2023-10-03,2023-10-10,http://kayak.com/flights/LIS-ANK/2023-10-03/2023-10-10/,226.69,1.0,2023,10,LIS,438.5,439.9222222222222,438.74,2023-03-21 02:29:05,True,-211.81,-48.30330672748004
Calamata,Grécia,1610,373.14,Várias companhias aéreas,KLX,2023-07-25,2023-08-01,http://kayak.com/flights/LIS-KLX/2023-07-25/2023-08-01/,373.14,1.0,2023,7,LIS,565.6,565.6,565.6,2023-03-21 02:29:05,True,-192.46000000000004,-34.027581329561535
Edimburgo,Reino Unido,1355,113.81,Várias companhias aéreas,EDI,2023-10-17,2023-10-24,http://kayak.com/flights/LIS-EDI/2023-10-17/2023-10-24/,113.81,1.0,2023,10,LIS,169.64,175.39999999999998,169.64,2023-03-21 02:29:05,True,-55.829999999999984,-32.91087007781183
Malmo,Suécia,1100,192.17,Várias companhias aéreas,MMA,2023-04-14,2023-04-18,http://kayak.com/flights/LIS-MMA/2023-04-14/2023-04-18/,192.17,1.0,2023,4,LIS,257.61,540.7184615384615,288.32,2023-03-21 02:29:05,True,-65.44000000000003,-25.40274057684097
Estocolmo,Suécia,680,128.74,Vueling,STO,2023-10-17,2023-10-23,http://kayak.com/flights/LIS-STO/2023-10-17/2023-10-23/,128.74,1.0,2023,10,LIS,170.59,170.6975,170.59,2023-03-21 02:29:05,True,-41.849999999999994,-24.532504836156864
Sharm El Sheikh,Egito,955,197.77,easyJet,SSH,2023-11-14,2023-11-21,http://kayak.com/flights/LIS-SSH/2023-11-14/2023-11-21/,197.77,1.0,2023,11,LIS,260.56,260.56,260.56,2023-03-21 02:29:05,True,-62.78999999999999,-24.09809640773718
Cidade da Guatemala,Guatemala,1325,765.87,Air Europa,GUA,2023-04-19,2023-04-26,http://kayak.com/flights/LIS-GUA/2023-04-19/2023-04-26/,765.87,1.0,2023,4,LIS,990.0,1130.7275,1130.0700000000002,2023-03-21 02:29:05,True,-224.13,-22.63939393939394
Mascate,Omã,1550,484.15,KLM,MCT,2023-05-05,2023-05-10,http://kayak.com/flights/LIS-MCT/2023-05-05/2023-05-10/,484.15,1.0,2023,5,LIS,612.97,636.2705,649.34,2023-03-21 02:29:05,True,-128.82000000000005,-21.01571039365712
