City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Busan,Coreia do Sul,1915,1389.9,Várias companhias aéreas,PUS,2023-03-29,2023-04-02,http://kayak.com/flights/MXP-PUS/2023-03-29/2023-04-02/,1389.9,1.0,2023,3,MXP,3566.02,3579.714285714286,3579.0,2023-03-22 02:32:04,True,-2176.12,-61.023774403957354
Bilbau,Espanha,120,39.08,Vueling,BIO,2023-05-03,2023-05-10,http://kayak.com/flights/MXP-BIO/2023-05-03/2023-05-10/,39.08,1.0,2023,5,MXP,74.49,144.92307692307693,99.295,2023-03-22 02:32:04,True,-35.41,-47.536582091555914
Baku,Azerbeijão,1045,217.7,LOT,GYD,2023-06-19,2023-06-24,http://kayak.com/flights/MXP-GYD/2023-06-19/2023-06-24/,217.7,1.0,2023,6,MXP,352.5,452.8107142857143,453.765,2023-03-22 02:32:04,True,-134.8,-38.24113475177305
São Sebastião,Espanha,1110,102.34,Várias companhias aéreas,EAS,2023-05-15,2023-05-22,http://kayak.com/flights/MXP-EAS/2023-05-15/2023-05-22/,102.34,1.0,2023,5,MXP,156.49,259.7635714285714,252.41500000000002,2023-03-22 02:32:04,True,-54.150000000000006,-34.60285002236565
Hamilton,Canadá,2060,586.11,Várias companhias aéreas,YHM,2023-10-10,2023-10-14,http://kayak.com/flights/MXP-YHM/2023-10-10/2023-10-14/,586.11,1.0,2023,10,MXP,890.06,892.9355555555555,890.54,2023-03-22 02:32:04,True,-303.94999999999993,-34.149383187650265
Fairbanks,Estados Unidos,1870,862.41,Várias companhias aéreas,FAI,2023-04-20,2023-04-26,http://kayak.com/flights/MXP-FAI/2023-04-20/2023-04-26/,862.41,1.0,2023,4,MXP,1281.59,1367.0938888888888,1366.7350000000001,2023-03-22 02:32:04,True,-419.17999999999995,-32.70780826941533
Tóquio,Japão,1390,621.46,Air China,TYO,2023-05-08,2023-05-14,http://kayak.com/flights/MXP-TYO/2023-05-08/2023-05-14/,621.46,1.0,2023,5,MXP,801.18,999.5045833333334,987.41,2023-03-22 02:32:04,True,-179.7199999999999,-22.431912928430556
Varsóvia,Polónia,840,80.01,Ryanair,WAW,2023-06-28,2023-07-04,http://kayak.com/flights/MXP-WAW/2023-06-28/2023-07-04/,80.01,1.0,2023,6,MXP,98.7,123.79666666666667,127.875,2023-03-22 02:32:04,True,-18.689999999999998,-18.936170212765955
Toronto,Canadá,1545,332.13,Scandinavian Airlines,YYZ,2023-09-26,2023-10-02,http://kayak.com/flights/MXP-YYZ/2023-09-26/2023-10-02/,332.13,1.0,2023,9,MXP,395.55,456.47666666666663,454.48,2023-03-22 02:32:04,True,-63.420000000000016,-16.033371255214263
Narvik,Noruega,640,252.12,Scandinavian Airlines,EVE,2023-10-27,2023-10-31,http://kayak.com/flights/MXP-EVE/2023-10-27/2023-10-31/,252.12,1.0,2023,10,MXP,300.04,370.69,394.24,2023-03-22 02:32:04,True,-47.920000000000016,-15.971203839488071
"Washington, D.C.",Estados Unidos,1530,361.9,Scandinavian Airlines,WAS,2023-11-15,2023-11-22,http://kayak.com/flights/MXP-WAS/2023-11-15/2023-11-22/,361.9,1.0,2023,11,MXP,429.27,434.7175,435.74,2023-03-22 02:32:04,True,-67.37,-15.694085307615255
Guadalajara,México,2180,769.38,Iberia,GDL,2023-03-31,2023-04-06,http://kayak.com/flights/MXP-GDL/2023-03-31/2023-04-06/,769.38,1.0,2023,3,MXP,896.7,1074.588125,897.0699999999999,2023-03-22 02:32:04,True,-127.32000000000005,-14.198728671796593
Calgary,Canadá,2110,697.74,Várias companhias aéreas,YYC,2023-09-09,2023-09-16,http://kayak.com/flights/MXP-YYC/2023-09-09/2023-09-16/,697.74,1.0,2023,9,MXP,811.69,3772.025882352941,6400.34,2023-03-22 02:32:04,True,-113.95000000000005,-14.038610799689542
Fayetteville,Estados Unidos,2317,534.94,British Airways,FAY,2023-04-19,2023-04-26,http://kayak.com/flights/MXP-FAY/2023-04-19/2023-04-26/,534.94,1.0,2023,4,MXP,592.36,690.6425,599.345,2023-03-22 02:32:04,True,-57.41999999999996,-9.693429671145918
Helsínquia,Finlândia,715,133.04,Air France,HEL,2023-10-14,2023-10-18,http://kayak.com/flights/MXP-HEL/2023-10-14/2023-10-18/,133.04,1.0,2023,10,MXP,147.01,147.01,147.01,2023-03-22 02:32:04,True,-13.969999999999999,-9.502754914631657
Adelaide,Austrália,1900,1595.5,Várias companhias aéreas,ADL,2023-04-05,2023-04-09,http://kayak.com/flights/MXP-ADL/2023-04-05/2023-04-09/,1595.5,1.0,2023,4,MXP,1754.56,2395.0461538461536,2658.91,2023-03-22 02:32:04,True,-159.05999999999995,-9.065520700346523
Nápoles,Itália,95,33.5,Ryanair,NAP,2023-07-09,2023-07-14,http://kayak.com/flights/MXP-NAP/2023-07-09/2023-07-14/,33.5,1.0,2023,7,MXP,36.5,37.80266666666667,37.62,2023-03-22 02:32:04,True,-3.0,-8.21917808219178
Leeds,Reino Unido,735,229.79,Várias companhias aéreas,LBA,2023-04-20,2023-04-27,http://kayak.com/flights/MXP-LBA/2023-04-20/2023-04-27/,229.79,1.0,2023,4,MXP,249.38,482.65267857142857,357.16,2023-03-22 02:32:04,True,-19.590000000000003,-7.855481594354
Katmandu,Nepal,2545,555.41,Várias companhias aéreas,KTM,2023-05-14,2023-05-21,http://kayak.com/flights/MXP-KTM/2023-05-14/2023-05-21/,555.41,1.0,2023,5,MXP,591.75,748.0845454545455,736.81,2023-03-22 02:32:04,True,-36.34000000000003,-6.14110688635404
Willemstad,Curaçao,1765,956.37,Várias companhias aéreas,CUR,2023-09-14,2023-09-21,http://kayak.com/flights/MXP-CUR/2023-09-14/2023-09-21/,956.37,1.0,2023,9,MXP,1012.86,1013.415,1013.415,2023-03-22 02:32:04,True,-56.49000000000001,-5.5772762277116295
Alicante,Espanha,130,47.45,Ryanair,ALC,2023-09-16,2023-09-23,http://kayak.com/flights/MXP-ALC/2023-09-16/2023-09-23/,47.45,1.0,2023,9,MXP,49.57,127.11,63.405,2023-03-22 02:32:04,True,-2.1199999999999974,-4.2767803106717714
Alexandria,Egito,240,93.04,Wizz Air,HBE,2023-05-04,2023-05-11,http://kayak.com/flights/MXP-HBE/2023-05-04/2023-05-11/,93.04,1.0,2023,5,MXP,97.12,165.23866666666666,130.69,2023-03-22 02:32:04,True,-4.079999999999998,-4.200988467874792
Dubai,Emirados Árabes Unidos,1295,280.96,Várias companhias aéreas,DXB,2023-06-05,2023-06-11,http://kayak.com/flights/MXP-DXB/2023-06-05/2023-06-11/,280.96,1.0,2023,6,MXP,290.58,367.235,355.14,2023-03-22 02:32:04,True,-9.620000000000005,-3.310620139032282
Toulouse,França,815,72.57,Ryanair,TLS,2023-04-18,2023-04-25,http://kayak.com/flights/MXP-TLS/2023-04-18/2023-04-25/,72.57,1.0,2023,4,MXP,74.63,165.595873015873,153.78,2023-03-22 02:32:04,True,-2.0600000000000023,-2.7602840680691445
Ajácio,França,1545,222.35,Várias companhias aéreas,AJA,2023-06-29,2023-07-06,http://kayak.com/flights/MXP-AJA/2023-06-29/2023-07-06/,222.35,1.0,2023,6,MXP,227.0,313.39528571428576,277.85,2023-03-22 02:32:04,True,-4.650000000000006,-2.048458149779738
Xangai,China,1825,757.29,British Airways,SHA,2023-10-09,2023-10-15,http://kayak.com/flights/MXP-SHA/2023-10-09/2023-10-15/,757.29,1.0,2023,10,MXP,771.47,855.4028571428571,865.81,2023-03-22 02:32:04,True,-14.180000000000064,-1.8380494380857406
Pagadian,Filipinas,1675,1417.81,Várias companhias aéreas,PAG,2023-03-24,2023-03-31,http://kayak.com/flights/MXP-PAG/2023-03-24/2023-03-31/,1417.81,1.0,2023,3,MXP,1430.98,1455.077142857143,1433.97,2023-03-22 02:32:04,True,-13.170000000000073,-0.9203482927783807
Columbus,Estados Unidos,2004,781.47,Várias companhias aéreas,CMH,2023-06-28,2023-07-02,http://kayak.com/flights/MXP-CMH/2023-06-28/2023-07-02/,781.47,1.0,2023,6,MXP,787.5,917.5324561403509,890.49,2023-03-22 02:32:04,True,-6.029999999999973,-0.7657142857142822
Thiruvananthapuram,Índia,840,1068.94,Qatar Airways,TRV,2023-11-30,2023-12-07,http://kayak.com/flights/MXP-TRV/2023-11-30/2023-12-07/,1068.94,1.0,2023,11,MXP,1075.95,1075.95,1075.95,2023-03-22 02:32:04,True,-7.009999999999991,-0.6515172638133734
Kythira,Grécia,1615,266.08,Várias companhias aéreas,KIT,2023-07-18,2023-07-23,http://kayak.com/flights/MXP-KIT/2023-07-18/2023-07-23/,266.08,1.0,2023,7,MXP,267.73,268.01,268.01,2023-03-22 02:32:04,True,-1.650000000000034,-0.6162925335225914
Palma de Maiorca,Espanha,105,21.4,Ryanair,PMI,2023-05-08,2023-05-12,http://kayak.com/flights/MXP-PMI/2023-05-08/2023-05-12/,21.4,1.0,2023,5,MXP,21.51,46.61707692307692,42.62,2023-03-22 02:32:04,True,-0.11000000000000298,-0.5113900511390189
Valência,Espanha,120,42.8,Ryanair,VLC,2023-06-14,2023-06-21,http://kayak.com/flights/MXP-VLC/2023-06-14/2023-06-21/,42.8,1.0,2023,6,MXP,43.01,92.0996875,55.375,2023-03-22 02:32:04,True,-0.21000000000000085,-0.4882585445245312
Rabate,Marrocos,770,80.01,Várias companhias aéreas,RBA,2023-05-09,2023-05-16,http://kayak.com/flights/MXP-RBA/2023-05-09/2023-05-16/,80.01,1.0,2023,5,MXP,80.4,182.07923076923075,174.45,2023-03-22 02:32:04,True,-0.39000000000000057,-0.4850746268656723
Zaquinto,Grécia,325,80.01,Várias companhias aéreas,ZTH,2023-06-19,2023-06-26,http://kayak.com/flights/MXP-ZTH/2023-06-19/2023-06-26/,80.01,1.0,2023,6,MXP,80.4,146.22227848101267,128.55,2023-03-22 02:32:04,True,-0.39000000000000057,-0.4850746268656723
Bruxelas,Bélgica,95,78.15,Brussels Airlines,BRU,2023-06-14,2023-06-19,http://kayak.com/flights/MXP-BRU/2023-06-14/2023-06-19/,78.15,1.0,2023,6,MXP,78.53,88.80142857142857,83.04,2023-03-22 02:32:04,True,-0.37999999999999545,-0.48389150643065765
Comiso,Itália,120,39.08,Ryanair,CIY,2023-03-28,2023-04-04,http://kayak.com/flights/MXP-CIY/2023-03-28/2023-04-04/,39.08,1.0,2023,3,MXP,39.27,53.9486075949367,44.58,2023-03-22 02:32:04,True,-0.19000000000000483,-0.48382989559461376
Timişoara,Roménia,925,144.2,Várias companhias aéreas,TSR,2023-05-22,2023-05-26,http://kayak.com/flights/MXP-TSR/2023-05-22/2023-05-26/,144.2,1.0,2023,5,MXP,144.9,194.12833333333333,198.745,2023-03-22 02:32:04,True,-0.700000000000017,-0.4830917874396253
Vitória,Espanha,685,113.5,Ryanair,VIT,2023-03-28,2023-04-03,http://kayak.com/flights/MXP-VIT/2023-03-28/2023-04-03/,113.5,1.0,2023,3,MXP,114.05,133.83,138.47,2023-03-22 02:32:04,True,-0.5499999999999972,-0.48224462954844116
Marselha,França,945,84.66,Várias companhias aéreas,MRS,2023-05-04,2023-05-08,http://kayak.com/flights/MXP-MRS/2023-05-04/2023-05-08/,84.66,1.0,2023,5,MXP,85.07,145.15699999999998,104.3,2023-03-22 02:32:04,True,-0.4099999999999966,-0.4819560362054739
Breslavia,Polónia,1270,101.41,Várias companhias aéreas,WRO,2023-05-10,2023-05-16,http://kayak.com/flights/MXP-WRO/2023-05-10/2023-05-16/,101.41,1.0,2023,5,MXP,101.9,144.66333333333333,121.58,2023-03-22 02:32:04,True,-0.4900000000000091,-0.48086359175663307
Newark,Estados Unidos,1480,285.61,Scandinavian Airlines,EWR,2023-10-14,2023-10-21,http://kayak.com/flights/MXP-EWR/2023-10-14/2023-10-21/,285.61,1.0,2023,10,MXP,286.99,349.32625,352.31,2023-03-22 02:32:04,True,-1.3799999999999955,-0.48085299139342674
Haugesund,Noruega,1085,285.61,Várias companhias aéreas,HAU,2023-04-27,2023-05-01,http://kayak.com/flights/MXP-HAU/2023-04-27/2023-05-01/,285.61,1.0,2023,4,MXP,286.99,467.91999999999996,488.0,2023-03-22 02:32:04,True,-1.3799999999999955,-0.48085299139342674
Nova Iorque,Estados Unidos,1480,285.61,Scandinavian Airlines,NYC,2023-10-14,2023-10-21,http://kayak.com/flights/MXP-NYC/2023-10-14/2023-10-21/,285.61,1.0,2023,10,MXP,286.99,338.277,351.96000000000004,2023-03-22 02:32:04,True,-1.3799999999999955,-0.48085299139342674
Ancona,Itália,345,253.05,Várias companhias aéreas,AOI,2023-04-20,2023-04-27,http://kayak.com/flights/MXP-AOI/2023-04-20/2023-04-27/,253.05,1.0,2023,4,MXP,254.27,576.8925,641.45,2023-03-22 02:32:04,True,-1.2199999999999989,-0.4798049317654457
Munique,Alemanha,70,143.27,Lufthansa,MUC,2023-04-20,2023-04-27,http://kayak.com/flights/MXP-MUC/2023-04-20/2023-04-27/,143.27,1.0,2023,4,MXP,143.96,201.7497619047619,186.7,2023-03-22 02:32:04,True,-0.6899999999999977,-0.4792998055015266
