City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct
Argostoli,Grécia,85,41.87,Volotea,EFL,2023-06-06,2023-06-13,http://kayak.com/flights/NAP-EFL/2023-06-06/2023-06-13/,41.87,1.0,2023,6,NAP,87.31,179.0113043478261,136.17,2023-03-22 02:32:20,True,-45.440000000000005,-52.04443935402588
Pau,França,1015,320.97,KLM,PUF,2023-07-09,2023-07-13,http://kayak.com/flights/NAP-PUF/2023-07-09/2023-07-13/,320.97,1.0,2023,7,NAP,662.41,662.41,662.41,2023-03-22 02:32:20,True,-341.43999999999994,-51.545115562868915
Zanzibar,Tanzânia,1875,606.57,Turkish Airlines,ZNZ,2024-01-27,2024-02-03,http://kayak.com/flights/NAP-ZNZ/2024-01-27/2024-02-03/,606.57,1.0,2024,1,NAP,729.49,730.3299999999999,729.49,2023-03-22 02:32:20,True,-122.91999999999996,-16.85012817173641
Cairo,Egito,1390,308.87,Várias companhias aéreas,CAI,2023-12-11,2023-12-16,http://kayak.com/flights/NAP-CAI/2023-12-11/2023-12-16/,308.87,1.0,2023,12,NAP,369.46,369.46,369.46,2023-03-22 02:32:20,True,-60.589999999999975,-16.39961024197477
São Sebastião,Espanha,1445,230.72,Várias companhias aéreas,EAS,2023-07-27,2023-08-03,http://kayak.com/flights/NAP-EAS/2023-07-27/2023-08-03/,230.72,1.0,2023,7,NAP,271.17,271.35555555555555,271.38,2023-03-22 02:32:20,True,-40.45000000000002,-14.916841833536163
Victoria,Seicheles,1380,668.91,Várias companhias aéreas,SEZ,2023-06-06,2023-06-12,http://kayak.com/flights/NAP-SEZ/2023-06-06/2023-06-12/,668.91,1.0,2023,6,NAP,777.38,870.46,803.83,2023-03-22 02:32:20,True,-108.47000000000003,-13.953278962669483
Cagliari,Itália,80,31.64,Volotea,CAG,2023-06-07,2023-06-14,http://kayak.com/flights/NAP-CAG/2023-06-07/2023-06-14/,31.64,1.0,2023,6,NAP,35.94,60.82954545454545,58.92,2023-03-22 02:32:20,True,-4.299999999999997,-11.964385086254863
Rodes,Grécia,140,44.66,Ryanair,RHO,2023-04-17,2023-04-21,http://kayak.com/flights/NAP-RHO/2023-04-17/2023-04-21/,44.66,1.0,2023,4,NAP,49.45,149.2547619047619,148.89,2023-03-22 02:32:20,True,-4.790000000000006,-9.68655207280082
Leipzig,Alemanha,1365,236.31,Lufthansa,LEJ,2023-04-28,2023-05-02,http://kayak.com/flights/NAP-LEJ/2023-04-28/2023-05-02/,236.31,1.0,2023,4,NAP,251.31,251.856,251.57,2023-03-22 02:32:20,True,-15.0,-5.968723886832995
Bilbau,Espanha,1050,117.23,Várias companhias aéreas,BIO,2023-04-18,2023-04-25,http://kayak.com/flights/NAP-BIO/2023-04-18/2023-04-25/,117.23,1.0,2023,4,NAP,123.84,159.9711627906977,136.73,2023-03-22 02:32:20,True,-6.609999999999999,-5.337532299741602
Santa Marta,Colômbia,1812,1248.49,Várias companhias aéreas,SMR,2023-03-21,2023-03-28,http://kayak.com/flights/NAP-SMR/2023-03-21/2023-03-28/,1248.49,1.0,2023,3,NAP,1257.81,1257.81,1257.81,2023-03-22 02:32:20,True,-9.319999999999936,-0.740970416835606
Calamata,Grécia,1235,347.94,Várias companhias aéreas,KLX,2023-04-20,2023-04-24,http://kayak.com/flights/NAP-KLX/2023-04-20/2023-04-24/,347.94,1.0,2023,4,NAP,349.62,418.64285714285717,402.95,2023-03-22 02:32:20,True,-1.6800000000000068,-0.4805217092843679
Túnis,Tunísia,405,172.11,Várias companhias aéreas,TUN,2023-04-03,2023-04-07,http://kayak.com/flights/NAP-TUN/2023-04-03/2023-04-07/,172.11,1.0,2023,4,NAP,172.94,239.915,231.32999999999998,2023-03-22 02:32:20,True,-0.8299999999999841,-0.47993523765466867
Espargos,Cabo Verde,1885,633.55,Várias companhias aéreas,SID,2023-11-06,2023-11-12,http://kayak.com/flights/NAP-SID/2023-11-06/2023-11-12/,633.55,1.0,2023,11,NAP,636.6,793.6266666666667,872.14,2023-03-22 02:32:20,True,-3.050000000000068,-0.4791077599748772
Comiso,Itália,465,213.98,Várias companhias aéreas,CIY,2023-04-20,2023-04-27,http://kayak.com/flights/NAP-CIY/2023-04-20/2023-04-27/,213.98,1.0,2023,4,NAP,215.01,215.01,215.01,2023-03-22 02:32:20,True,-1.0300000000000011,-0.47904748616343484
Brest,França,995,284.68,Air France,BES,2023-10-28,2023-11-01,http://kayak.com/flights/NAP-BES/2023-10-28/2023-11-01/,284.68,1.0,2023,10,NAP,286.05,286.05,286.05,2023-03-22 02:32:20,True,-1.3700000000000045,-0.4789372487327406
Rayong,Tailândia,2725,1040.1,Várias companhias aéreas,UTP,2023-09-18,2023-09-24,http://kayak.com/flights/NAP-UTP/2023-09-18/2023-09-24/,1040.1,1.0,2023,9,NAP,1045.1,1045.1,1045.1,2023-03-22 02:32:20,True,-5.0,-0.47842311740503307
Providenciales,Ilhas Turcas e Caicos,1700,1277.33,British Airways,PLS,2023-08-16,2023-08-23,http://kayak.com/flights/NAP-PLS/2023-08-16/2023-08-23/,1277.33,1.0,2023,8,NAP,1283.47,1283.47,1283.47,2023-03-22 02:32:20,True,-6.1400000000001,-0.47839061294771984
Pequim,China,1415,1144.3,Várias companhias aéreas,BJS,2023-08-05,2023-08-11,http://kayak.com/flights/NAP-BJS/2023-08-05/2023-08-11/,1144.3,1.0,2023,8,NAP,1149.8,1149.8,1149.8,2023-03-22 02:32:20,True,-5.5,-0.4783440598364933
Abidjã,Costa do Marfim,935,923.81,ITA Airways,ABJ,2023-08-11,2023-08-17,http://kayak.com/flights/NAP-ABJ/2023-08-11/2023-08-17/,923.81,1.0,2023,8,NAP,928.25,928.25,928.25,2023-03-22 02:32:20,True,-4.440000000000055,-0.4783194182601728
Santa Cruz de la Palma,Espanha,1275,427.02,Várias companhias aéreas,SPC,2023-07-01,2023-07-07,http://kayak.com/flights/NAP-SPC/2023-07-01/2023-07-07/,427.02,1.0,2023,7,NAP,429.07,429.07,429.07,2023-03-22 02:32:20,True,-2.0500000000000114,-0.47777751881977565
Béziers,França,755,386.09,Várias companhias aéreas,BZR,2023-04-20,2023-04-27,http://kayak.com/flights/NAP-BZR/2023-04-20/2023-04-27/,386.09,1.0,2023,4,NAP,387.94,387.94,387.94,2023-03-22 02:32:20,True,-1.8500000000000227,-0.47687786771150764
Riade,Arábia Saudita,325,65.13,Wizz Air,RUH,2023-04-10,2023-04-17,http://kayak.com/flights/NAP-RUH/2023-04-10/2023-04-17/,65.13,1.0,2023,4,NAP,65.44,219.8014814814815,227.04,2023-03-22 02:32:20,True,-0.3100000000000023,-0.4737163814180964
Tirana,Albânia,80,50.24,Wizz Air,TIA,2023-05-17,2023-05-24,http://kayak.com/flights/NAP-TIA/2023-05-17/2023-05-24/,50.24,1.0,2023,5,NAP,50.38,77.98533333333333,78.74,2023-03-22 02:32:20,True,-0.14000000000000057,-0.2778880508138161
Thera,Grécia,120,68.85,Várias companhias aéreas,JTR,2023-09-21,2023-09-26,http://kayak.com/flights/NAP-JTR/2023-09-21/2023-09-26/,68.85,1.0,2023,9,NAP,69.04,124.81315789473683,109.4,2023-03-22 02:32:20,True,-0.19000000000001194,-0.275202780996541
Astúrias,Espanha,930,108.85,Várias companhias aéreas,OVD,2023-05-09,2023-05-13,http://kayak.com/flights/NAP-OVD/2023-05-09/2023-05-13/,108.85,1.0,2023,5,NAP,109.15,138.695,146.22,2023-03-22 02:32:20,True,-0.30000000000001137,-0.2748511223087598
Sibiu,Roménia,420,200.02,Lufthansa,SBZ,2023-12-06,2023-12-11,http://kayak.com/flights/NAP-SBZ/2023-12-06/2023-12-11/,200.02,1.0,2023,12,NAP,200.57,201.187,201.52,2023-03-22 02:32:20,True,-0.549999999999983,-0.2742184773395737
Varna,Bulgária,1405,219.56,Austrian Airlines,VAR,2023-04-18,2023-04-25,http://kayak.com/flights/NAP-VAR/2023-04-18/2023-04-25/,219.56,1.0,2023,4,NAP,220.16,220.836,221.2,2023-03-22 02:32:20,True,-0.5999999999999943,-0.2725290697674393
Aberdeen,Reino Unido,985,281.89,KLM,ABZ,2023-07-26,2023-08-02,http://kayak.com/flights/NAP-ABZ/2023-07-26/2023-08-02/,281.89,1.0,2023,7,NAP,282.66,283.527,283.99,2023-03-22 02:32:20,True,-0.7700000000000387,-0.2724120851907021
Salzburgo,Áustria,705,227.0,Lufthansa,SZG,2023-07-22,2023-07-26,http://kayak.com/flights/NAP-SZG/2023-07-22/2023-07-26/,227.0,1.0,2023,7,NAP,227.62,277.7,277.755,2023-03-22 02:32:20,True,-0.6200000000000045,-0.2723837975573344
Paris,França,150,62.34,Ryanair,PAR,2023-10-02,2023-10-06,http://kayak.com/flights/NAP-PAR/2023-10-02/2023-10-06/,62.34,1.0,2023,10,NAP,62.51,76.96583333333334,77.8,2023-03-22 02:32:20,True,-0.1699999999999946,-0.27195648696207747
Caen,França,985,377.71,Air France,CFR,2023-04-06,2023-04-13,http://kayak.com/flights/NAP-CFR/2023-04-06/2023-04-13/,377.71,1.0,2023,4,NAP,378.74,379.256,378.74,2023-03-22 02:32:20,True,-1.0300000000000296,-0.27195437503301195
Madrid,Espanha,165,66.06,Iberia Express,MAD,2023-12-14,2023-12-18,http://kayak.com/flights/NAP-MAD/2023-12-14/2023-12-18/,66.06,1.0,2023,12,NAP,66.24,66.31,66.31,2023-03-22 02:32:20,True,-0.1799999999999926,-0.27173913043477144
Almaty,Cazaquistão,960,488.42,Turkish Airlines,ALA,2023-04-20,2023-04-27,http://kayak.com/flights/NAP-ALA/2023-04-20/2023-04-27/,488.42,1.0,2023,4,NAP,489.75,616.4444444444445,496.89,2023-03-22 02:32:20,True,-1.329999999999984,-0.2715671260847339
Kutaisi,Geórgia,1225,282.82,Várias companhias aéreas,KUT,2023-04-16,2023-04-22,http://kayak.com/flights/NAP-KUT/2023-04-16/2023-04-22/,282.82,1.0,2023,4,NAP,283.59,375.06,284.18,2023-03-22 02:32:20,True,-0.7699999999999818,-0.2715187418456158
Friedrichshafen,Alemanha,710,301.43,Lufthansa,FDH,2023-04-06,2023-04-13,http://kayak.com/flights/NAP-FDH/2023-04-06/2023-04-13/,301.43,1.0,2023,4,NAP,302.25,371.19126984126984,338.83,2023-03-22 02:32:20,True,-0.8199999999999932,-0.27129859387923677
Baltimore,Estados Unidos,980,610.29,British Airways,BWI,2023-06-05,2023-06-11,http://kayak.com/flights/NAP-BWI/2023-06-05/2023-06-11/,610.29,1.0,2023,6,NAP,611.95,899.0482352941176,1072.48,2023-03-22 02:32:20,True,-1.6600000000000819,-0.27126399215623526
Debrecen,Hungria,335,393.53,Lufthansa,DEB,2023-05-01,2023-05-05,http://kayak.com/flights/NAP-DEB/2023-05-01/2023-05-05/,393.53,1.0,2023,5,NAP,394.6,395.63750000000005,395.94500000000005,2023-03-22 02:32:20,True,-1.07000000000005,-0.2711606690319437
Tromsø,Noruega,1540,338.64,Várias companhias aéreas,TOS,2023-11-12,2023-11-19,http://kayak.com/flights/NAP-TOS/2023-11-12/2023-11-19/,338.64,1.0,2023,11,NAP,339.56,339.91499999999996,339.91499999999996,2023-03-22 02:32:20,True,-0.9200000000000159,-0.2709388620567841
Insbruque,Áustria,465,173.04,Várias companhias aéreas,INN,2023-06-07,2023-06-12,http://kayak.com/flights/NAP-INN/2023-06-07/2023-06-12/,173.04,1.0,2023,6,NAP,173.51,174.049,174.34,2023-03-22 02:32:20,True,-0.46999999999999886,-0.2708777592069615
Perpinhã,França,630,261.42,Várias companhias aéreas,PGF,2023-04-19,2023-04-26,http://kayak.com/flights/NAP-PGF/2023-04-19/2023-04-26/,261.42,1.0,2023,4,NAP,262.13,295.22740740740744,270.68,2023-03-22 02:32:20,True,-0.7099999999999795,-0.2708579712356386
Newcastle upon Tyne,Reino Unido,780,280.03,Várias companhias aéreas,NCL,2023-04-20,2023-04-27,http://kayak.com/flights/NAP-NCL/2023-04-20/2023-04-27/,280.03,1.0,2023,4,NAP,280.79,280.9866666666667,280.79,2023-03-22 02:32:20,True,-0.7600000000000477,-0.27066490971902407
Urgench,Uzbequistão,1230,1127.55,Várias companhias aéreas,UGC,2023-05-01,2023-05-06,http://kayak.com/flights/NAP-UGC/2023-05-01/2023-05-06/,1127.55,1.0,2023,5,NAP,1130.61,1134.094,1135.96,2023-03-22 02:32:20,True,-3.0599999999999454,-0.2706503568869854
Ancara,Turquia,755,375.85,Turkish Airlines,ANK,2023-04-14,2023-04-18,http://kayak.com/flights/NAP-ANK/2023-04-14/2023-04-18/,375.85,1.0,2023,4,NAP,376.87,391.23499999999996,377.265,2023-03-22 02:32:20,True,-1.0199999999999818,-0.2706503568869854
Malmo,Suécia,1255,187.93,Várias companhias aéreas,MMA,2023-05-06,2023-05-10,http://kayak.com/flights/NAP-MMA/2023-05-06/2023-05-10/,187.93,1.0,2023,5,NAP,188.44,188.696,188.44,2023-03-22 02:32:20,True,-0.5099999999999909,-0.27064317554658823
Xangai,China,1635,950.79,Várias companhias aéreas,SHA,2023-06-16,2023-06-23,http://kayak.com/flights/NAP-SHA/2023-06-16/2023-06-23/,950.79,1.0,2023,6,NAP,953.37,954.0333333333333,953.37,2023-03-22 02:32:20,True,-2.580000000000041,-0.2706189622077515
Bastia,França,695,287.47,Várias companhias aéreas,BIA,2023-07-09,2023-07-16,http://kayak.com/flights/NAP-BIA/2023-07-09/2023-07-16/,287.47,1.0,2023,7,NAP,288.25,288.646,288.25,2023-03-22 02:32:20,True,-0.7799999999999727,-0.270598438855151
Simpson Bay,São Martinho (Sint Maarten),3329,984.28,Delta,SXM,2023-08-15,2023-08-19,http://kayak.com/flights/NAP-SXM/2023-08-15/2023-08-19/,984.28,1.0,2023,8,NAP,986.95,1208.5308333333335,1317.67,2023-03-22 02:32:20,True,-2.6700000000000728,-0.27053042200720123
Koh Samui,Tailândia,1890,1419.67,Várias companhias aéreas,USM,2023-08-07,2023-08-13,http://kayak.com/flights/NAP-USM/2023-08-07/2023-08-13/,1419.67,1.0,2023,8,NAP,1423.52,1569.5685714285714,1656.36,2023-03-22 02:32:20,True,-3.849999999999909,-0.27045633359558763
Acra,Gana,1275,826.13,Várias companhias aéreas,ACC,2023-12-13,2023-12-18,http://kayak.com/flights/NAP-ACC/2023-12-13/2023-12-18/,826.13,1.0,2023,12,NAP,828.37,828.8025,828.37,2023-03-22 02:32:20,True,-2.240000000000009,-0.27041056532708924
Santa Ana,Estados Unidos,1728,829.85,Várias companhias aéreas,SNA,2023-10-02,2023-10-09,http://kayak.com/flights/NAP-SNA/2023-10-02/2023-10-09/,829.85,1.0,2023,10,NAP,832.1,833.2360000000001,832.1,2023-03-22 02:32:20,True,-2.25,-0.2704001922845812
Sydney,Austrália,2415,1272.68,Air France,SYD,2023-05-24,2023-05-31,http://kayak.com/flights/NAP-SYD/2023-05-24/2023-05-31/,1272.68,1.0,2023,5,NAP,1276.13,2435.236,1278.8,2023-03-22 02:32:20,True,-3.4500000000000455,-0.2703486321926485
Cancún,México,1715,638.2,Várias companhias aéreas,CUN,2023-04-11,2023-04-18,http://kayak.com/flights/NAP-CUN/2023-04-11/2023-04-18/,638.2,1.0,2023,4,NAP,639.93,811.8275,880.17,2023-03-22 02:32:20,True,-1.7299999999999045,-0.2703420686637452
Greensboro,Estados Unidos,1993,1815.06,Iberia,GSO,2023-08-11,2023-08-16,http://kayak.com/flights/NAP-GSO/2023-08-11/2023-08-16/,1815.06,1.0,2023,8,NAP,1819.98,1825.5900000000001,1828.6,2023-03-22 02:32:20,True,-4.920000000000073,-0.27033264101803717
Granada,Espanha,635,106.99,Vueling,GRX,2023-12-13,2023-12-17,http://kayak.com/flights/NAP-GRX/2023-12-13/2023-12-17/,106.99,1.0,2023,12,NAP,107.28,107.39500000000001,107.39500000000001,2023-03-22 02:32:20,True,-0.29000000000000625,-0.2703206562267023
Figari,França,1255,213.98,Várias companhias aéreas,FSC,2023-06-18,2023-06-25,http://kayak.com/flights/NAP-FSC/2023-06-18/2023-06-25/,213.98,1.0,2023,6,NAP,214.56,214.6725,214.56,2023-03-22 02:32:20,True,-0.5800000000000125,-0.2703206562267023
Orlando,Estados Unidos,1427,859.62,Delta,MCO,2023-12-28,2024-01-03,http://kayak.com/flights/NAP-MCO/2023-12-28/2024-01-03/,859.62,1.0,2023,12,NAP,861.95,864.606,866.03,2023-03-22 02:32:20,True,-2.330000000000041,-0.27031730378792745
Joanesburgo,África do Sul,1625,538.66,Várias companhias aéreas,JNB,2023-04-24,2023-05-01,http://kayak.com/flights/NAP-JNB/2023-04-24/2023-05-01/,538.66,1.0,2023,4,NAP,540.12,1824.8464285714285,1937.49,2023-03-22 02:32:20,True,-1.4600000000000364,-0.2703103014145072
Reus,Espanha,490,431.67,Várias companhias aéreas,REU,2023-08-06,2023-08-13,http://kayak.com/flights/NAP-REU/2023-08-06/2023-08-13/,431.67,1.0,2023,8,NAP,432.84,433.29499999999996,433.29499999999996,2023-03-22 02:32:20,True,-1.169999999999959,-0.27030773495979094
Tânger,Marrocos,1370,221.42,Royal Air Maroc,TNG,2023-08-21,2023-08-28,http://kayak.com/flights/NAP-TNG/2023-08-21/2023-08-28/,221.42,1.0,2023,8,NAP,222.02,354.57966666666664,375.95,2023-03-22 02:32:20,True,-0.6000000000000227,-0.2702459237906597
Knoxville,Estados Unidos,2005,560.99,American Airlines,TYS,2023-04-18,2023-04-25,http://kayak.com/flights/NAP-TYS/2023-04-18/2023-04-25/,560.99,1.0,2023,4,NAP,562.51,564.241,565.17,2023-03-22 02:32:20,True,-1.5199999999999818,-0.27021741835700375
Vaitape,Polinésia Francesa,3295,2827.25,Várias companhias aéreas,BOB,2023-07-10,2023-07-16,http://kayak.com/flights/NAP-BOB/2023-07-10/2023-07-16/,2827.25,1.0,2023,7,NAP,2834.91,3059.6575,2892.21,2023-03-22 02:32:20,True,-7.6599999999998545,-0.2702025813870583
Cidade da Guatemala,Guatemala,1935,797.29,United Airlines,GUA,2023-04-19,2023-04-26,http://kayak.com/flights/NAP-GUA/2023-04-19/2023-04-26/,797.29,1.0,2023,4,NAP,799.45,799.8675000000001,799.45,2023-03-22 02:32:20,True,-2.160000000000082,-0.2701857527049949
Toowoomba,Austrália,2975,2993.77,Várias companhias aéreas,WTB,2023-06-10,2023-06-16,http://kayak.com/flights/NAP-WTB/2023-06-10/2023-06-16/,2993.77,1.0,2023,6,NAP,3001.88,3011.1420000000003,3016.11,2023-03-22 02:32:20,True,-8.110000000000127,-0.2701640305408653
Hanói,Vietname,1500,1842.04,Várias companhias aéreas,HAN,2023-08-17,2023-08-24,http://kayak.com/flights/NAP-HAN/2023-08-17/2023-08-24/,1842.04,1.0,2023,8,NAP,1847.03,1852.7259999999999,1855.78,2023-03-22 02:32:20,True,-4.990000000000009,-0.2701634515952643
Burbank,Estados Unidos,1840,1384.32,Várias companhias aéreas,BUR,2023-10-02,2023-10-09,http://kayak.com/flights/NAP-BUR/2023-10-02/2023-10-09/,1384.32,1.0,2023,10,NAP,1388.07,1389.966,1388.07,2023-03-22 02:32:20,True,-3.75,-0.2701592859149755
Denver,Estados Unidos,1100,694.02,British Airways,DEN,2023-04-19,2023-04-26,http://kayak.com/flights/NAP-DEN/2023-04-19/2023-04-26/,694.02,1.0,2023,4,NAP,695.9,716.3927272727273,699.2,2023-03-22 02:32:20,True,-1.8799999999999955,-0.27015375772381023
Manágua,Nicarágua,3291,819.62,Várias companhias aéreas,MGA,2023-04-18,2023-04-25,http://kayak.com/flights/NAP-MGA/2023-04-18/2023-04-25/,819.62,1.0,2023,4,NAP,821.84,824.3710000000001,825.73,2023-03-22 02:32:20,True,-2.2200000000000273,-0.2701255718874753
Pereira,Colômbia,2297,937.77,Várias companhias aéreas,PEI,2023-07-09,2023-07-16,http://kayak.com/flights/NAP-PEI/2023-07-09/2023-07-16/,937.77,1.0,2023,7,NAP,940.31,940.9633333333333,940.31,2023-03-22 02:32:20,True,-2.5399999999999636,-0.27012368261530384
Rochester,Estados Unidos,1586,963.82,Várias companhias aéreas,ROC,2023-06-09,2023-06-14,http://kayak.com/flights/NAP-ROC/2023-06-09/2023-06-14/,963.82,1.0,2023,6,NAP,966.43,967.1033333333334,966.43,2023-03-22 02:32:20,True,-2.6099999999999,-0.27006611963617644
