City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Ancona,Itália,1475,199.47,Várias companhias aéreas,AOI,2023-05-25,2023-05-31,http://kayak.com/flights/LIS-AOI/2023-05-25/2023-05-31/,199.47,1,2023,5,LIS,455.84,1631.45,632.345,2023-03-24 20:14:07,True,-256.37,-56.24122499122499,Thursday,Wednesday,6 days
Bangor,Estados Unidos,2511,784.07,American Airlines,BGR,2023-04-23,2023-04-30,http://kayak.com/flights/LIS-BGR/2023-04-23/2023-04-30/,784.07,1,2023,4,LIS,1555.27,1565.6933333333334,1566.37,2023-03-24 20:14:07,True,-771.1999999999999,-49.5862454750622,Sunday,Sunday,7 days
Nimes,França,2140,161.78,Várias companhias aéreas,FNI,2023-04-23,2023-04-30,http://kayak.com/flights/LIS-FNI/2023-04-23/2023-04-30/,161.78,1,2023,4,LIS,310.68,311.0022222222222,310.85,2023-03-24 20:14:07,True,-148.9,-47.92712759109051,Sunday,Sunday,7 days
Klagenfurt,Áustria,1480,191.19,Várias companhias aéreas,KLU,2023-04-03,2023-04-10,http://kayak.com/flights/LIS-KLU/2023-04-03/2023-04-10/,191.19,1,2023,4,LIS,326.82,355.68,329.3,2023-03-24 20:14:07,True,-135.63,-41.49990820635212,Monday,Monday,7 days
Catânia,Itália,610,143.4,Várias companhias aéreas,CTA,2023-07-05,2023-07-11,http://kayak.com/flights/LIS-CTA/2023-07-05/2023-07-11/,143.4,1,2023,7,LIS,204.92,209.3625,205.55,2023-03-24 20:14:07,True,-61.51999999999998,-30.021471793870774,Wednesday,Tuesday,6 days
Régio da Calábria,Itália,1035,241.75,Várias companhias aéreas,REG,2023-06-08,2023-06-12,http://kayak.com/flights/LIS-REG/2023-06-08/2023-06-12/,241.75,1,2023,6,LIS,332.38,334.32625,334.44,2023-03-24 20:14:07,True,-90.63,-27.266983573018834,Thursday,Monday,4 days
Dublin,Irlanda,170,76.3,Ryanair,DUB,2023-08-17,2023-08-22,http://kayak.com/flights/LIS-DUB/2023-08-17/2023-08-22/,76.3,1,2023,8,LIS,103.92,103.92,103.92,2023-03-24 20:14:07,True,-27.620000000000005,-26.57813702848345,Thursday,Tuesday,5 days
Abu Dhabi,Emirados Árabes Unidos,1620,193.03,Várias companhias aéreas,AUH,2023-12-12,2023-12-18,http://kayak.com/flights/LIS-AUH/2023-12-12/2023-12-18/,193.03,1,2023,12,LIS,249.32,276.375,249.36,2023-03-24 20:14:07,True,-56.28999999999999,-22.577410556714263,Tuesday,Monday,6 days
Dubai,Emirados Árabes Unidos,1475,454.08,Várias companhias aéreas,DXB,2023-04-11,2023-04-18,http://kayak.com/flights/LIS-DXB/2023-04-11/2023-04-18/,454.08,1,2023,4,LIS,583.52,1618.4566666666667,664.82,2023-03-24 20:14:07,True,-129.44,-22.18261584864272,Tuesday,Tuesday,7 days
Trapani,Itália,665,173.73,Ryanair,TPS,2023-07-13,2023-07-19,http://kayak.com/flights/LIS-TPS/2023-07-13/2023-07-19/,173.73,1,2023,7,LIS,220.03,229.87555555555556,237.64,2023-03-24 20:14:07,True,-46.30000000000001,-21.04258510203155,Thursday,Wednesday,6 days
Cidade do Cabo,África do Sul,1495,592.88,KLM,CPT,2023-09-02,2023-09-08,http://kayak.com/flights/LIS-CPT/2023-09-02/2023-09-08/,592.88,1,2023,9,LIS,743.82,853.61,853.61,2023-03-24 20:14:07,True,-150.94000000000005,-20.292543895028373,Saturday,Friday,6 days
Siālkot,Paquistão,2165,1158.17,Várias companhias aéreas,SKT,2023-04-23,2023-04-29,http://kayak.com/flights/LIS-SKT/2023-04-23/2023-04-29/,1158.17,1,2023,4,LIS,1446.4,1449.824,1450.68,2023-03-24 20:14:07,True,-288.23,-19.92740597345133,Sunday,Saturday,6 days
San Jose,Estados Unidos,1997,606.66,British Airways,SJC,2023-09-30,2023-10-07,http://kayak.com/flights/LIS-SJC/2023-09-30/2023-10-07/,606.66,1,2023,9,LIS,754.7,754.7,754.7,2023-03-24 20:14:07,True,-148.04000000000008,-19.61574135418048,Saturday,Saturday,7 days
Seul,Coreia do Sul,2085,776.71,Finnair,SEL,2023-10-17,2023-10-24,http://kayak.com/flights/LIS-SEL/2023-10-17/2023-10-24/,776.71,1,2023,10,LIS,956.01,1012.245,1012.245,2023-03-24 20:14:07,True,-179.29999999999995,-18.755033943159585,Tuesday,Tuesday,7 days
Incheon,Coreia do Sul,2085,776.71,Finnair,ICN,2023-10-17,2023-10-24,http://kayak.com/flights/LIS-ICN/2023-10-17/2023-10-24/,776.71,1,2023,10,LIS,956.01,956.01,956.01,2023-03-24 20:14:07,True,-179.29999999999995,-18.755033943159585,Tuesday,Tuesday,7 days
Frankfurt,Alemanha,1500,148.91,Várias companhias aéreas,FRA,2023-06-16,2023-06-20,http://kayak.com/flights/LIS-FRA/2023-06-16/2023-06-20/,148.91,1,2023,6,LIS,180.47,207.14333333333335,182.33,2023-03-24 20:14:07,True,-31.560000000000002,-17.487671081066107,Friday,Tuesday,4 days
Berlim,Alemanha,415,125.01,Ryanair,BER,2023-09-27,2023-10-04,http://kayak.com/flights/LIS-BER/2023-09-27/2023-10-04/,125.01,1,2023,9,LIS,150.47,169.3875,170.43,2023-03-24 20:14:07,True,-25.459999999999994,-16.920316342127993,Wednesday,Wednesday,7 days
Oakland,Estados Unidos,3495,849.33,Air France,OAK,2023-09-30,2023-10-07,http://kayak.com/flights/LIS-OAK/2023-09-30/2023-10-07/,849.33,1,2023,9,LIS,997.18,1300.6321428571428,1465.185,2023-03-24 20:14:07,True,-147.8499999999999,-14.826811608736628,Saturday,Saturday,7 days
