City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Münster,Alemanha,460,417.39,Lufthansa,FMO,2023-05-17,2023-05-21,http://kayak.com/flights/OPO-FMO/2023-05-17/2023-05-21/,417.39,1.0,2023,5,OPO,10695.48,10840.189565217392,10737.58,2023-03-31 02:35:34,True,-10278.09,-96.09751035016662,Wednesday,Sunday,4 days
Aalborg,Dinamarca,1185,271.21,Ryanair,AAL,2023-06-25,2023-06-29,http://kayak.com/flights/OPO-AAL/2023-06-25/2023-06-29/,271.21,1.0,2023,6,OPO,364.69,365.1275,364.69,2023-03-31 02:35:34,True,-93.48000000000002,-25.632729167237933,Sunday,Thursday,4 days
São Luís,Brasil,2040,1050.82,LATAM Airlines,SLZ,2023-12-05,2023-12-12,http://kayak.com/flights/OPO-SLZ/2023-12-05/2023-12-12/,1050.82,1.0,2023,12,OPO,1296.05,1304.575,1310.17,2023-03-31 02:35:34,True,-245.23000000000002,-18.921337911346015,Tuesday,Tuesday,7 days
Amã,Jordânia,2765,196.75,Várias companhias aéreas,AMM,2023-12-11,2023-12-17,http://kayak.com/flights/OPO-AMM/2023-12-11/2023-12-17/,196.75,1.0,2023,12,OPO,231.46,415.36571428571426,446.63,2023-03-31 02:35:34,True,-34.71000000000001,-14.996111639160118,Monday,Sunday,6 days
Dusseldorf,Alemanha,1060,85.5,Ryanair,DUS,2023-06-16,2023-06-21,http://kayak.com/flights/OPO-DUS/2023-06-16/2023-06-21/,85.5,1.0,2023,6,OPO,94.68,160.25375,172.39,2023-03-31 02:35:34,True,-9.180000000000007,-9.695817490494303,Friday,Wednesday,5 days
Antália,Turquia,2255,229.84,Várias companhias aéreas,AYT,2023-06-25,2023-06-29,http://kayak.com/flights/OPO-AYT/2023-06-25/2023-06-29/,229.84,1.0,2023,6,OPO,250.04,323.3028,318.67,2023-03-31 02:35:34,True,-20.19999999999999,-8.078707406814905,Sunday,Thursday,4 days
Krabi,Tailândia,2395,1254.0,Emirates,KBV,2023-08-25,2023-09-01,http://kayak.com/flights/OPO-KBV/2023-08-25/2023-09-01/,1254.0,1.0,2023,8,OPO,1362.42,1362.42,1362.42,2023-03-31 02:35:34,True,-108.42000000000007,-7.9578984454133135,Friday,Friday,7 days
Colónia,Alemanha,440,82.75,Ryanair,CGN,2023-05-17,2023-05-22,http://kayak.com/flights/OPO-CGN/2023-05-17/2023-05-22/,82.75,1.0,2023,5,OPO,84.08,113.21764705882353,101.485,2023-03-31 02:35:34,True,-1.3299999999999983,-1.581826831588961,Wednesday,Monday,5 days
Dortmund,Alemanha,1040,99.29,Ryanair,DTM,2023-05-17,2023-05-21,http://kayak.com/flights/OPO-DTM/2023-05-17/2023-05-21/,99.29,1.0,2023,5,OPO,100.54,211.08588235294118,146.83,2023-03-31 02:35:34,True,-1.25,-1.2432862542271732,Wednesday,Sunday,4 days
Olbia,Itália,1035,107.57,Várias companhias aéreas,OLB,2023-06-05,2023-06-09,http://kayak.com/flights/OPO-OLB/2023-06-05/2023-06-09/,107.57,1.0,2023,6,OPO,108.88,157.77027777777778,151.79500000000002,2023-03-31 02:35:34,True,-1.3100000000000023,-1.2031594415870706,Monday,Friday,4 days
Lamezia Terme,Itália,590,115.84,Várias companhias aéreas,SUF,2023-06-15,2023-06-22,http://kayak.com/flights/OPO-SUF/2023-06-15/2023-06-22/,115.84,1.0,2023,6,OPO,116.22,262.42880952380955,249.56,2023-03-31 02:35:34,True,-0.37999999999999545,-0.3269660987781754,Thursday,Thursday,7 days
Argel,Argélia,400,240.87,Iberia,ALG,2023-07-10,2023-07-17,http://kayak.com/flights/OPO-ALG/2023-07-10/2023-07-17/,240.87,1.0,2023,7,OPO,241.66,505.93,322.72,2023-03-31 02:35:34,True,-0.789999999999992,-0.326905569808819,Monday,Monday,7 days
Trieste,Itália,1105,201.34,Várias companhias aéreas,TRS,2023-07-10,2023-07-14,http://kayak.com/flights/OPO-TRS/2023-07-10/2023-07-14/,201.34,1.0,2023,7,OPO,202.0,366.7075675675676,280.64,2023-03-31 02:35:34,True,-0.6599999999999966,-0.326732673267325,Monday,Friday,4 days
Sharm El Sheikh,Egito,870,256.5,Várias companhias aéreas,SSH,2023-11-25,2023-11-30,http://kayak.com/flights/OPO-SSH/2023-11-25/2023-11-30/,256.5,1.0,2023,11,OPO,257.34,257.34,257.34,2023-03-31 02:35:34,True,-0.839999999999975,-0.32641641408252703,Saturday,Thursday,5 days
Kukës,Albânia,1660,256.5,Várias companhias aéreas,KFZ,2023-06-09,2023-06-14,http://kayak.com/flights/OPO-KFZ/2023-06-09/2023-06-14/,256.5,1.0,2023,6,OPO,257.34,257.6433333333333,257.65,2023-03-31 02:35:34,True,-0.839999999999975,-0.32641641408252703,Friday,Wednesday,5 days
Génova,Itália,850,159.05,Várias companhias aéreas,GOA,2023-09-13,2023-09-17,http://kayak.com/flights/OPO-GOA/2023-09-13/2023-09-17/,159.05,1.0,2023,9,OPO,159.57,159.57,159.57,2023-03-31 02:35:34,True,-0.5199999999999818,-0.32587579118880855,Wednesday,Sunday,4 days
Rijeka,Croácia,1065,257.42,Várias companhias aéreas,RJK,2023-07-06,2023-07-13,http://kayak.com/flights/OPO-RJK/2023-07-06/2023-07-13/,257.42,1.0,2023,7,OPO,258.26,258.26,258.26,2023-03-31 02:35:34,True,-0.839999999999975,-0.32525362038255057,Thursday,Thursday,7 days
