City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Nova Deli,Índia,1355,364.02,SAUDIA,DEL,2023-11-18,2023-11-22,http://kayak.com/flights/MXP-DEL/2023-11-18/2023-11-22/,364.02,1.0,2023,11,MXP,602.78,1296.8700000000001,1296.115,2023-04-01 02:29:34,True,-238.76,-39.60980789010916,Saturday,Wednesday,4 days
Fort-de-France,Martinica,2690,785.95,Várias companhias aéreas,FDF,2023-08-20,2023-08-27,http://kayak.com/flights/MXP-FDF/2023-08-20/2023-08-27/,785.95,1.0,2023,8,MXP,1209.92,1209.92,1209.92,2023-04-01 02:29:34,True,-423.97,-35.04115974609891,Sunday,Sunday,7 days
Norfolk,Estados Unidos,1891,831.91,Várias companhias aéreas,ORF,2023-07-14,2023-07-21,http://kayak.com/flights/MXP-ORF/2023-07-14/2023-07-21/,831.91,1.0,2023,7,MXP,1154.06,1155.1219999999998,1155.83,2023-04-01 02:29:34,True,-322.15,-27.914493180597194,Friday,Friday,7 days
Basseterre,São Cristóvão e Neves,3377,1300.72,American Airlines,SKB,2023-04-09,2023-04-16,http://kayak.com/flights/MXP-SKB/2023-04-09/2023-04-16/,1300.72,1.0,2023,4,MXP,1746.03,1845.55,1870.43,2023-04-01 02:29:34,True,-445.30999999999995,-25.504143685961868,Sunday,Sunday,7 days
Montpellier,França,785,212.35,Air France,MPL,2023-05-18,2023-05-23,http://kayak.com/flights/MXP-MPL/2023-05-18/2023-05-23/,212.35,1.0,2023,5,MXP,281.45,281.8688888888889,281.46,2023-04-01 02:29:34,True,-69.1,-24.551430094155265,Thursday,Tuesday,5 days
Krabi,Tailândia,2045,714.25,Várias companhias aéreas,KBV,2023-04-30,2023-05-07,http://kayak.com/flights/MXP-KBV/2023-04-30/2023-05-07/,714.25,1.0,2023,4,MXP,892.48,1020.9371794871796,949.7,2023-04-01 02:29:34,True,-178.23000000000002,-19.970195410541415,Sunday,Sunday,7 days
Orlando,Estados Unidos,1135,493.63,Várias companhias aéreas,MCO,2023-09-17,2023-09-23,http://kayak.com/flights/MXP-MCO/2023-09-17/2023-09-23/,493.63,1.0,2023,9,MXP,598.55,608.4133333333333,613.32,2023-04-01 02:29:34,True,-104.91999999999996,-17.529028485506633,Sunday,Saturday,6 days
Kota Bharu,Malásia,1880,978.07,Várias companhias aéreas,KBR,2023-04-07,2023-04-11,http://kayak.com/flights/MXP-KBR/2023-04-07/2023-04-11/,978.07,1.0,2023,4,MXP,1185.33,1185.33,1185.33,2023-04-01 02:29:34,True,-207.25999999999988,-17.485425999510674,Friday,Tuesday,4 days
Burbank,Estados Unidos,1170,596.59,American Airlines,BUR,2023-10-06,2023-10-10,http://kayak.com/flights/MXP-BUR/2023-10-06/2023-10-10/,596.59,1.0,2023,10,MXP,691.36,906.3992307692308,1039.47,2023-04-01 02:29:34,True,-94.76999999999998,-13.707764406387406,Friday,Tuesday,4 days
Incheon,Coreia do Sul,2325,569.01,LOT,ICN,2023-10-20,2023-10-27,http://kayak.com/flights/MXP-ICN/2023-10-20/2023-10-27/,569.01,1.0,2023,10,MXP,641.47,730.924255319149,728.69,2023-04-01 02:29:34,True,-72.46000000000004,-11.295929661558613,Friday,Friday,7 days
Seul,Coreia do Sul,2325,569.01,LOT,SEL,2023-10-20,2023-10-27,http://kayak.com/flights/MXP-SEL/2023-10-20/2023-10-27/,569.01,1.0,2023,10,MXP,641.47,732.0084782608695,730.8900000000001,2023-04-01 02:29:34,True,-72.46000000000004,-11.295929661558613,Friday,Friday,7 days
