City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Frejorgues,França,900,244.53,Air France,MPL,2023-05-05,2023-05-12,http://kayak.com/flights/NAP-MPL/2023-05-05/2023-05-12/,244.53,1.0,2023,5,NAP,289.26,412.841,426.53,2023-05-04 02:33:22,True,-44.72999999999999,-15.463596764156812,Friday,Friday,7 days
Toronto,Canadá,2344,561.51,Austrian Airlines,YYZ,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-YYZ/2023-06-02/2023-06-09/,561.51,1.0,2023,6,NAP,611.28,797.9741176470588,804.67,2023-05-04 02:33:22,True,-49.76999999999998,-8.141931684334509,Friday,Friday,7 days
Pristina,Kosovo,395,171.17,Várias companhias aéreas,PRN,2023-05-31,2023-06-07,http://kayak.com/flights/NAP-PRN/2023-05-31/2023-06-07/,171.17,1.0,2023,5,NAP,172.04,172.04,172.04,2023-05-04 02:33:22,True,-0.8700000000000045,-0.5056963496861222,Wednesday,Wednesday,7 days
Castletown,Ilha de Man,1655,169.36,Várias companhias aéreas,IOM,2023-06-22,2023-06-27,http://kayak.com/flights/NAP-IOM/2023-06-22/2023-06-27/,169.36,1.0,2023,6,NAP,170.22,232.1575,170.675,2023-05-04 02:33:22,True,-0.8599999999999852,-0.5052285277875603,Thursday,Tuesday,5 days
Estocolmo,Suécia,740,177.51,Várias companhias aéreas,STO,2023-07-30,2023-08-06,http://kayak.com/flights/NAP-STO/2023-07-30/2023-08-06/,177.51,1.0,2023,7,NAP,178.41,236.72142857142856,235.14,2023-05-04 02:33:22,True,-0.9000000000000057,-0.5044560282495408,Sunday,Sunday,7 days
Porto,Portugal,470,132.23,Ryanair,OPO,2023-07-12,2023-07-18,http://kayak.com/flights/NAP-OPO/2023-07-12/2023-07-18/,132.23,1.0,2023,7,NAP,132.9,221.90333333333334,185.29,2023-05-04 02:33:22,True,-0.6700000000000159,-0.5041384499623897,Wednesday,Tuesday,6 days
Bacau,Roménia,970,209.21,Várias companhias aéreas,BCM,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-BCM/2023-06-02/2023-06-09/,209.21,1.0,2023,6,NAP,210.27,210.27,210.27,2023-05-04 02:33:22,True,-1.0600000000000023,-0.504113758500976,Friday,Friday,7 days
Inverness,Reino Unido,565,217.36,Várias companhias aéreas,INV,2023-06-01,2023-06-08,http://kayak.com/flights/NAP-INV/2023-06-01/2023-06-08/,217.36,1.0,2023,6,NAP,218.46,218.46,218.46,2023-05-04 02:33:22,True,-1.0999999999999943,-0.5035246727089602,Thursday,Thursday,7 days
Edimburgo,Reino Unido,205,65.21,Ryanair,EDI,2023-06-08,2023-06-15,http://kayak.com/flights/NAP-EDI/2023-06-08/2023-06-15/,65.21,1.0,2023,6,NAP,65.54,161.92815789473684,152.48,2023-05-04 02:33:22,True,-0.3300000000000125,-0.5035093072932751,Thursday,Thursday,7 days
Argel,Argélia,745,183.85,Várias companhias aéreas,ALG,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-ALG/2023-06-02/2023-06-09/,183.85,1.0,2023,6,NAP,184.78,184.78,184.78,2023-05-04 02:33:22,True,-0.9300000000000068,-0.5033012230760942,Friday,Friday,7 days
Perpinhã,França,2250,215.55,Ryanair,PGF,2023-06-02,2023-06-09,http://kayak.com/flights/NAP-PGF/2023-06-02/2023-06-09/,215.55,1.0,2023,6,NAP,216.64,295.45,306.64,2023-05-04 02:33:22,True,-1.089999999999975,-0.5031388478581864,Friday,Friday,7 days
