City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice,year_depart,month_depart,CityOrigin,minPrice,meanPrice,medianPrice,timestamp,is_smaller,difPrice,difPricePct,weekday_depart,weekday_return,diff_days
Châlons-en-Champagne,França,595,251.69,Várias companhias aéreas,XCR,2023-08-07,2023-08-11,http://kayak.com/flights/MAD-XCR/2023-08-07/2023-08-11/,251.69,1,2023,8,MAD,3025.33,3088.5750000000003,3025.365,2023-05-21 09:18:27,True,-2773.64,-91.68057699490633,Monday,Friday,4 days
Errachidia,Marrocos,309,272.04,Royal Air Maroc,ERH,2024-01-22,2024-01-26,http://kayak.com/flights/MAD-ERH/2024-01-22/2024-01-26/,272.04,1,2024,1,MAD,455.43,479.18375000000003,482.46500000000003,2023-05-21 09:18:27,True,-183.39,-40.26743956261116,Monday,Friday,4 days
Tours,França,1545,140.65,Ryanair,TUF,2023-08-21,2023-08-25,http://kayak.com/flights/MAD-TUF/2023-08-21/2023-08-25/,140.65,1,2023,8,MAD,223.43,244.87391304347827,231.95,2023-05-21 09:18:27,True,-82.78,-37.0496352325113,Monday,Friday,4 days
Birmingham,Reino Unido,150,67.55,Ryanair,BHX,2023-09-22,2023-09-27,http://kayak.com/flights/MAD-BHX/2023-09-22/2023-09-27/,67.55,1,2023,9,MAD,90.76,113.86857142857143,120.82,2023-05-21 09:18:27,True,-23.210000000000008,-25.572939620978413,Friday,Wednesday,5 days
Al Qurayyāt,Arábia Saudita,1385,679.18,Várias companhias aéreas,URY,2023-09-11,2023-09-18,http://kayak.com/flights/MAD-URY/2023-09-11/2023-09-18/,679.18,1,2023,9,MAD,772.15,776.67625,776.94,2023-05-21 09:18:27,True,-92.97000000000003,-12.040406656737684,Monday,Monday,7 days
Colombo,Sri Lanka,2040,589.42,Várias companhias aéreas,CMB,2023-06-09,2023-06-16,http://kayak.com/flights/MAD-CMB/2023-06-09/2023-06-16/,589.42,1,2023,6,MAD,662.64,758.5432038834952,736.6,2023-05-21 09:18:27,True,-73.22000000000003,-11.049740432210555,Friday,Friday,7 days
Paramaribo,Suriname,1355,707.86,KLM,PBM,2023-05-28,2023-06-03,http://kayak.com/flights/MAD-PBM/2023-05-28/2023-06-03/,707.86,1,2023,5,MAD,783.4,1000.5992156862744,912.88,2023-05-21 09:18:27,True,-75.53999999999996,-9.642583609905536,Sunday,Saturday,6 days
Agadir,Marrocos,135,116.59,Ryanair,AGA,2023-08-10,2023-08-17,http://kayak.com/flights/MAD-AGA/2023-08-10/2023-08-17/,116.59,1,2023,8,MAD,126.68,227.7375,245.58,2023-05-21 09:18:27,True,-10.090000000000003,-7.964951057783394,Thursday,Thursday,7 days
Denpasar,Indonésia,1610,769.85,Iberia,DPS,2024-02-05,2024-02-11,http://kayak.com/flights/MAD-DPS/2024-02-05/2024-02-11/,769.85,1,2024,2,MAD,835.14,877.6775,894.175,2023-05-21 09:18:27,True,-65.28999999999996,-7.817850899250421,Monday,Sunday,6 days
Marraquexe,Marrocos,125,62.0,Ryanair,RAK,2023-11-12,2023-11-16,http://kayak.com/flights/MAD-RAK/2023-11-12/2023-11-16/,62.0,1,2023,11,MAD,66.24,66.24,66.24,2023-05-21 09:18:27,True,-4.239999999999995,-6.400966183574871,Sunday,Thursday,4 days
Nadi,Fiji,1870,1299.13,Várias companhias aéreas,NAN,2023-09-16,2023-09-23,http://kayak.com/flights/MAD-NAN/2023-09-16/2023-09-23/,1299.13,1,2023,9,MAD,1359.42,2122.9666666666667,1801.41,2023-05-21 09:18:27,True,-60.289999999999964,-4.43497962366303,Saturday,Saturday,7 days
San Juan,Porto Rico,1880,699.53,American Airlines,SJU,2023-06-04,2023-06-11,http://kayak.com/flights/MAD-SJU/2023-06-04/2023-06-11/,699.53,1,2023,6,MAD,728.57,762.76,732.64,2023-05-21 09:18:27,True,-29.040000000000077,-3.9858901684121055,Sunday,Sunday,7 days
Santa Cruz da Serra,Bolívia,1700,761.53,LATAM Airlines,VVI,2023-11-13,2023-11-20,http://kayak.com/flights/MAD-VVI/2023-11-13/2023-11-20/,761.53,1,2023,11,MAD,787.48,893.4447619047619,897.03,2023-05-21 09:18:27,True,-25.950000000000045,-3.295321785950125,Monday,Monday,7 days
Cartagena,Colômbia,2598,774.48,Delta,CTG,2024-02-06,2024-02-13,http://kayak.com/flights/MAD-CTG/2024-02-06/2024-02-13/,774.48,1,2024,2,MAD,800.13,823.0385714285713,802.04,2023-05-21 09:18:27,True,-25.649999999999977,-3.2057290690262805,Tuesday,Tuesday,7 days
Salónica,Grécia,970,139.73,Várias companhias aéreas,SKG,2023-09-19,2023-09-26,http://kayak.com/flights/MAD-SKG/2023-09-19/2023-09-26/,139.73,1,2023,9,MAD,144.02,180.9892857142857,150.15,2023-05-21 09:18:27,True,-4.2900000000000205,-2.9787529509790445,Tuesday,Tuesday,7 days
"Washington, D.C.",Estados Unidos,1001,404.36,Várias companhias aéreas,WAS,2023-09-14,2023-09-19,http://kayak.com/flights/MAD-WAS/2023-09-14/2023-09-19/,404.36,1,2023,9,MAD,415.72,468.55882352941177,472.08,2023-05-21 09:18:27,True,-11.360000000000014,-2.7326084864812885,Thursday,Tuesday,5 days
Viena,Áustria,190,104.56,Ryanair,VIE,2024-01-31,2024-02-07,http://kayak.com/flights/MAD-VIE/2024-01-31/2024-02-07/,104.56,1,2024,1,MAD,107.05,110.94,110.94,2023-05-21 09:18:27,True,-2.489999999999995,-2.326015880429701,Wednesday,Wednesday,7 days
Willemstad,Curaçao,990,918.83,Várias companhias aéreas,CUR,2024-01-15,2024-01-22,http://kayak.com/flights/MAD-CUR/2024-01-15/2024-01-22/,918.83,1,2024,1,MAD,934.0,934.0,934.0,2023-05-21 09:18:27,True,-15.169999999999959,-1.6241970021413235,Monday,Monday,7 days
Cochabamba,Bolívia,2280,977.12,Várias companhias aéreas,CBB,2023-10-23,2023-10-30,http://kayak.com/flights/MAD-CBB/2023-10-23/2023-10-30/,977.12,1,2023,10,MAD,984.48,1011.5959999999999,984.51,2023-05-21 09:18:27,True,-7.360000000000014,-0.7476027953843667,Monday,Monday,7 days
Phuket,Tailândia,2035,731.92,Air China,HKT,2024-01-30,2024-02-06,http://kayak.com/flights/MAD-HKT/2024-01-30/2024-02-06/,731.92,1,2024,1,MAD,735.84,812.054,805.97,2023-05-21 09:18:27,True,-3.9200000000000728,-0.5327245053272549,Tuesday,Tuesday,7 days
Nuremberga,Alemanha,880,136.02,Ryanair,NUE,2023-07-06,2023-07-10,http://kayak.com/flights/MAD-NUE/2023-07-06/2023-07-10/,136.02,1,2023,7,MAD,136.2,158.12962962962962,150.21,2023-05-21 09:18:27,True,-0.1799999999999784,-0.1321585903083542,Thursday,Monday,4 days
Éilat,Israel,1550,160.08,Várias companhias aéreas,ETM,2024-01-12,2024-01-16,http://kayak.com/flights/MAD-ETM/2024-01-12/2024-01-16/,160.08,1,2024,1,MAD,160.29,314.634,331.68,2023-05-21 09:18:27,True,-0.20999999999997954,-0.13101253977165112,Friday,Tuesday,4 days
Valladolid,Espanha,530,138.8,Várias companhias aéreas,VLL,2023-06-12,2023-06-17,http://kayak.com/flights/MAD-VLL/2023-06-12/2023-06-17/,138.8,1,2023,6,MAD,138.98,222.24962962962962,220.39,2023-05-21 09:18:27,True,-0.1799999999999784,-0.12951503813496792,Monday,Saturday,5 days
Pristina,Kosovo,745,278.52,Várias companhias aéreas,PRN,2023-08-23,2023-08-29,http://kayak.com/flights/MAD-PRN/2023-08-23/2023-08-29/,278.52,1,2023,8,MAD,278.88,367.4371428571429,364.57,2023-05-21 09:18:27,True,-0.36000000000001364,-0.12908777969019422,Wednesday,Tuesday,6 days
Sylt,Alemanha,1280,457.1,Várias companhias aéreas,GWT,2023-08-21,2023-08-28,http://kayak.com/flights/MAD-GWT/2023-08-21/2023-08-28/,457.1,1,2023,8,MAD,457.69,592.152142857143,614.34,2023-05-21 09:18:27,True,-0.589999999999975,-0.128908212982581,Monday,Monday,7 days
Calvi,França,355,256.31,Várias companhias aéreas,CLY,2023-09-13,2023-09-17,http://kayak.com/flights/MAD-CLY/2023-09-13/2023-09-17/,256.31,1,2023,9,MAD,256.64,364.2476923076923,393.7,2023-05-21 09:18:27,True,-0.3299999999999841,-0.128584788029919,Wednesday,Sunday,4 days
Shenzhen,China,1315,801.31,Várias companhias aéreas,SZX,2024-02-12,2024-02-18,http://kayak.com/flights/MAD-SZX/2024-02-12/2024-02-18/,801.31,1,2024,2,MAD,802.34,1152.5463636363636,1342.46,2023-05-21 09:18:27,True,-1.0300000000000864,-0.12837450457413146,Monday,Sunday,6 days
Oranjestad,Aruba,1700,661.59,Várias companhias aéreas,AUA,2023-10-04,2023-10-08,http://kayak.com/flights/MAD-AUA/2023-10-04/2023-10-08/,661.59,1,2023,10,MAD,662.44,839.8773684210527,844.58,2023-05-21 09:18:27,True,-0.8500000000000227,-0.12831350763843105,Wednesday,Sunday,4 days
Rorvik,Noruega,1390,708.78,Várias companhias aéreas,RVK,2023-06-15,2023-06-22,http://kayak.com/flights/MAD-RVK/2023-06-15/2023-06-22/,708.78,1,2023,6,MAD,709.69,910.8604545454546,795.66,2023-05-21 09:18:27,True,-0.9100000000000819,-0.12822499964774503,Thursday,Thursday,7 days
Erfurt,Alemanha,1180,498.74,Várias companhias aéreas,ERF,2023-06-19,2023-06-26,http://kayak.com/flights/MAD-ERF/2023-06-19/2023-06-26/,498.74,1,2023,6,MAD,499.38,520.2190909090909,527.5,2023-05-21 09:18:27,True,-0.6399999999999864,-0.12815891705714813,Monday,Monday,7 days
